,Z3__1,Z3__2,Z3__3,Z3__4,Z3__5,Z3__6,Z3__7,Z3__8,Z3__9,Z3__10,Z3__11,Z3__12,Z3__13,Z3__14,Z3__15,Z3__16,Z3__17,Z3__18,Z3__19,Z3__20,Z3__21,Z3__22,Z3__23,Z3__24,Z3__25,Z3__26,Z3__27,Z3__28,Z3__29,Z3__30,y
peptide_nm_1,-1.04504,0.09195,0.85416,0.75182,-0.54865,0.33988,-0.79249,0.12616,-0.20211,-0.37802,0.05149,-0.86148,0.24919,-0.36718,0.36475,-0.99235,-0.50177,-0.96087,0.44095,-0.64055,0.74057,1.0147,0.12186,0.00162,0.52781,0.1004,0.91362,0.64985,-0.11662,-1.07731,0
peptide_nm_2,0.03199,-1.74075,0.39057,-0.4797,-0.89989,1.37356,-0.65351,0.42894,0.4929,0.03183,-0.36855,0.38872,-0.46281,1.18625,-0.44021,-1.37167,0.08768,0.26384,0.71392,0.08262,0.23696,-0.50637,0.23072,0.02347,-1.03864,0.62735,-1.34861,-1.25207,-0.09955,0.02202,0
peptide_nm_3,-0.89603,-0.61699,0.74234,-0.9412,-0.41903,0.0941,-0.45244,1.32234,0.63654,-0.58387,0.85525,-0.67032,-0.34466,-0.37724,-0.90458,1.01441,2.05911,1.81424,1.00946,1.5593,0.2055,-0.93633,-1.16291,0.57698,-0.27101,-0.24257,-0.11237,-1.01083,-0.37347,-0.59128,0
peptide_nm_4,-0.66938,0.32624,0.83012,0.30665,-0.23085,-0.65561,-0.95562,-0.93779,-0.55442,-0.94592,-0.01157,0.32717,-0.68125,-0.83757,-0.14922,-0.25904,1.03478,-0.08913,-0.11463,-0.364,0.64387,0.38775,0.27187,0.51683,0.21486,-0.83243,-0.3856,-0.27246,0.19463,-0.31192,0
peptide_nm_5,-0.34708,-1.60472,0.28546,0.457,-1.43883,0.89493,-0.33234,-0.26417,-0.4918,0.33307,0.68354,-0.79051,-0.43197,0.12358,-1.07765,-1.29284,-0.44817,-0.80932,-0.18779,-0.73642,0.68858,-0.68419,-0.22518,0.10553,-0.48321,-0.49062,-0.90266,0.36144,-0.16178,0.1653,0
peptide_nm_6,0.52628,0.2871,0.07523,0.09937,-1.28323,0.07622,0.1545,0.7737,-0.61273,-0.58945,0.41371,-0.49313,-0.64186,-1.07704,0.05442,-1.09642,-0.33051,0.08213,-0.23726,0.0218,1.21301,-0.25172,-0.6254,0.35865,0.05637,-0.59042,-0.33892,-1.00655,-0.36747,-0.56437,0
peptide_nm_7,0.11552,-0.77431,-0.84478,0.91409,0.05878,1.3665,-0.85221,-0.81077,0.16962,0.71671,-0.07598,0.25806,-0.48684,-0.88826,-1.22113,-0.43233,-1.19406,-1.10003,0.12855,-0.2855,-0.54952,1.65465,-0.47479,0.31358,-0.01823,-0.31547,0.28231,0.45975,-0.03356,-0.16356,0
peptide_nm_8,-0.28017,-1.181,0.92855,-1.99339,-0.67177,1.12091,-0.32394,-0.07538,-0.36858,-0.77252,0.85164,0.84135,-1.25615,0.10412,-1.59087,0.28887,0.95055,-1.35752,-1.8823,-0.95625,0.97501,0.76882,0.48672,-0.33384,0.59542,-0.42575,0.37626,0.6388,0.05057,-0.15169,0
peptide_nm_9,0.34877,0.83757,0.05364,0.01471,-1.07702,0.88721,0.69532,-0.82671,-0.04628,0.03912,0.79876,-0.37916,0.51016,0.5083,1.51956,-0.19467,-1.39532,-0.52079,-0.73918,-0.46428,-0.69099,1.00701,-1.41303,1.00992,-0.45153,0.5279,0.77006,1.00532,-0.72975,-0.84057,0
peptide_nm_10,-0.89785,1.47446,1.21678,0.49193,-0.08991,0.16757,0.63902,0.64031,0.42345,0.82993,-1.62818,-1.95545,-1.35742,-0.98372,-1.21633,-1.14637,-0.22176,-0.60614,-0.91141,0.48753,-1.8456,-2.61978,0.87763,2.07677,0.25991,2.04071,1.02125,-2.7591,-0.84064,0.1266,0
