,Instability_index,y
Neg_446,0.29031,0
Neg_2228,0.0752,0
Neg_2386,1.28115,0
Neg_2835,1.82853,0
Neg_2149,-0.40234,0
Neg_2248,0.14601,0
Neg_2739,0.04457,0
Neg_2580,0.39053,0
Neg_2765,-0.47342,0
Neg_939,0.76106,0
Neg_1859,-0.62581,0
Neg_1088,-0.36369,0
Neg_448,-1.00453,0
Neg_2831,0.47394,0
Neg_358,-1.38642,0
Neg_2287,0.51719,0
Neg_2597,1.13566,0
Neg_2648,0.08986,0
Neg_152,-0.50055,0
Neg_2086,0.44892,0
Neg_966,-0.05219,0
Neg_2081,0.49197,0
Neg_2579,-1.31354,0
Neg_542,1.53769,0
Neg_270,0.92219,0
Neg_447,0.9621,0
Neg_2242,-0.05857,0
Neg_1615,-0.42404,0
Neg_103,1.23162,0
Neg_1048,0.76942,0
Neg_628,-1.68381,0
Neg_2169,-0.86978,0
Neg_599,0.01736,0
Neg_2490,0.12559,0
Neg_62,0.97803,0
Neg_1129,-0.13403,0
Neg_190,2.50055,0
Neg_1522,-0.78584,0
Neg_165,0.99579,0
Neg_1152,-0.94334,0
Neg_217,-0.51237,0
Neg_1140,-0.01863,0
Neg_2378,-0.2561,0
Neg_1569,0.14077,0
Neg_662,-0.52258,0
Neg_688,0.0246,0
Neg_541,-0.43953,0
Neg_624,-0.88663,0
Neg_2108,0.4198,0
Neg_2808,-0.53499,0
Neg_2794,-0.69077,0
Neg_2286,-0.05366,0
Neg_373,-0.46194,0
Neg_2612,-0.81941,0
Neg_937,-0.37106,0
Neg_1345,0.49381,0
Neg_2671,-1.24061,0
Neg_2855,0.16693,0
Neg_279,0.42174,0
Neg_706,-0.75391,0
Neg_2921,-0.01449,0
Neg_994,-0.056,0
Neg_2453,-1.69729,0
Neg_2074,0.27059,0
Neg_1803,0.29866,0
Neg_653,1.01133,0
Neg_1943,0.7877,0
Neg_1283,-0.7971,0
Neg_1383,-0.89901,0
Neg_325,2.39572,0
Neg_2702,0.90471,0
Neg_2180,-0.59467,0
Neg_585,-0.22704,0
Neg_2047,-0.06341,0
Neg_2392,-0.19843,0
Neg_919,0.39272,0
Neg_2566,-0.47549,0
Neg_404,-1.58351,0
Neg_953,1.54133,0
Neg_1257,-0.54341,0
Neg_1680,-1.01344,0
Neg_1098,1.65678,0
Neg_1404,-0.85283,0
Neg_79,-0.6248,0
Neg_2483,-1.36959,0
Neg_2866,-1.50806,0
Neg_133,-0.69168,0
Neg_1514,1.16045,0
Neg_1790,-0.58672,0
Neg_2219,-0.93646,0
Neg_2758,0.79774,0
Neg_621,-1.39186,0
Neg_904,-0.85919,0
Neg_736,0.65596,0
Neg_431,-0.4153,0
Neg_2469,-0.21011,0
Neg_2895,0.74311,0
Neg_202,0.50097,0
Neg_478,0.18734,0
Neg_1929,-0.25249,0
Neg_1179,0.31304,0
Neg_116,0.56027,0
Neg_2854,-0.16073,0
Neg_2229,-0.45658,0
Neg_301,0.23269,0
Neg_2264,1.46369,0
Neg_58,-0.87286,0
Neg_37,2.50505,0
Neg_1299,-0.3275,0
Neg_2238,0.00452,0
Neg_1065,-0.38723,0
Neg_2393,-0.66254,0
Neg_1063,-0.42641,0
Neg_2681,0.36536,0
Neg_1206,0.40954,0
Neg_926,0.65121,0
Neg_1834,-0.94334,0
Neg_219,0.97136,0
Neg_1051,1.26349,0
Neg_2732,4.22834,0
Neg_22,-0.5632,0
Neg_2672,0.03551,0
Neg_1925,-0.05274,0
Neg_1046,-1.1492,0
Neg_2602,0.81542,0
Neg_2626,-0.10719,0
Neg_664,-0.43547,0
Neg_1033,0.32983,0
Neg_1541,-0.45995,0
Neg_352,0.91532,0
Neg_2763,0.77556,0
Neg_2198,-0.13925,0
Neg_260,-0.58997,0
Neg_743,1.04777,0
Neg_1798,0.82922,0
Neg_805,1.09192,0
Neg_2446,-1.34606,0
Neg_1456,0.85552,0
Neg_853,0.20969,0
Neg_1866,0.84525,0
Neg_1972,0.80219,0
Neg_1250,0.15341,0
Neg_2893,0.30848,0
Neg_415,0.0492,0
Neg_2440,-0.05036,0
Neg_1947,-0.14612,0
Neg_2296,-1.25333,0
Neg_1491,0.05872,0
Neg_1592,0.82859,0
Neg_833,-0.19695,0
Neg_2254,4.2727,0
Neg_2786,-0.46166,0
Neg_1307,-1.51399,0
Neg_1022,1.83084,0
Neg_2289,0.95373,0
Neg_2564,0.65945,0
Neg_1131,0.61358,0
Neg_2814,-0.09111,0
Neg_2346,0.78413,0
Neg_2538,-1.30333,0
Neg_503,1.00658,0
Neg_614,-0.21595,0
Neg_2227,0.43126,0
Neg_1977,0.69205,0
Neg_1151,-0.27015,0
Neg_2315,-1.37874,0
