,Gravy,y
Neg_446,-0.23336,0
Neg_2228,-1.32896,0
Neg_2386,-0.94209,0
Neg_2835,2.00681,0
Neg_2149,-0.58796,0
Neg_2248,-0.84394,0
Neg_2739,0.10722,0
Neg_2580,0.56589,0
Neg_2765,-1.12181,0
Neg_939,-0.26147,0
Neg_1859,0.36517,0
Neg_1088,-0.94857,0
Neg_448,0.42104,0
Neg_2831,-1.16806,0
Neg_358,-0.27684,0
Neg_2287,-0.32014,0
Neg_2597,0.54626,0
Neg_2648,-0.35906,0
Neg_152,-1.403,0
Neg_2086,0.52045,0
Neg_966,0.49755,0
Neg_2081,-0.64533,0
Neg_2579,0.39275,0
Neg_542,-0.89168,0
Neg_270,-0.24843,0
Neg_447,2.93698,0
Neg_2242,-0.23492,0
Neg_1615,-0.37754,0
Neg_103,-0.58904,0
Neg_1048,-0.44075,0
Neg_628,-1.19136,0
Neg_2169,1.99647,0
Neg_599,-0.37253,0
Neg_2490,-0.32919,0
Neg_62,-0.17716,0
Neg_1129,-0.01652,0
Neg_190,1.41276,0
Neg_1522,0.24378,0
Neg_165,-0.04379,0
Neg_1152,-0.37746,0
Neg_217,0.17535,0
Neg_1140,-0.49047,0
Neg_2378,0.46213,0
Neg_1569,-0.35075,0
Neg_662,-1.16032,0
Neg_688,0.8877,0
Neg_541,1.99307,0
Neg_624,-0.72076,0
Neg_2108,-0.36049,0
Neg_2808,-0.10613,0
Neg_2794,-0.90961,0
Neg_2286,-0.04892,0
Neg_373,-0.53372,0
Neg_2612,-0.35922,0
Neg_937,0.15924,0
Neg_1345,-0.66915,0
Neg_2671,-0.1525,0
Neg_2855,0.68714,0
Neg_279,-0.75177,0
Neg_706,0.09473,0
Neg_2921,-0.88029,0
Neg_994,-0.04281,0
Neg_2453,-0.63452,0
Neg_2074,-0.83719,0
Neg_1803,-0.30392,0
Neg_653,1.14951,0
Neg_1943,0.31067,0
Neg_1283,-1.27569,0
Neg_1383,-0.65528,0
Neg_325,-0.56079,0
Neg_2702,-1.04212,0
Neg_2180,-0.9765,0
Neg_585,0.33535,0
Neg_2047,0.00194,0
Neg_2392,-0.05978,0
Neg_919,1.36175,0
Neg_2566,-0.27304,0
Neg_404,-0.01222,0
Neg_953,-0.82657,0
Neg_1257,-0.57249,0
Neg_1680,-1.28708,0
Neg_1098,2.12324,0
Neg_1404,0.49539,0
Neg_79,-0.03942,0
Neg_2483,-0.06751,0
Neg_2866,1.55088,0
Neg_133,-0.06586,0
Neg_1514,0.5518,0
Neg_1790,-0.81845,0
Neg_2219,-1.41925,0
Neg_2758,0.15851,0
Neg_621,-0.45067,0
Neg_904,1.38573,0
Neg_736,-0.72158,0
Neg_431,-1.44475,0
Neg_2469,-0.4578,0
Neg_2895,0.11962,0
Neg_202,-0.45444,0
Neg_478,0.26788,0
Neg_1929,-0.39894,0
Neg_1179,-0.65439,0
Neg_116,-0.32003,0
Neg_2854,0.26828,0
Neg_2229,0.08509,0
Neg_301,2.1736,0
Neg_2264,-0.41149,0
Neg_58,-0.55475,0
Neg_37,0.06945,0
Neg_1299,1.41084,0
Neg_2238,1.34514,0
Neg_1065,-0.75122,0
Neg_2393,0.21048,0
Neg_1063,-0.45248,0
Neg_2681,0.2642,0
Neg_1206,0.16572,0
Neg_926,-0.67983,0
Neg_1834,0.93305,0
Neg_219,-0.50195,0
Neg_1051,-0.70033,0
Neg_2732,1.03458,0
Neg_22,2.88264,0
Neg_2672,-0.69249,0
Neg_1925,-1.02776,0
Neg_1046,1.77994,0
Neg_2602,-1.30591,0
Neg_2626,-0.78214,0
Neg_664,-0.38763,0
Neg_1033,-0.30084,0
Neg_1541,-0.40765,0
Neg_352,-1.36295,0
Neg_2763,1.72442,0
Neg_2198,-0.3168,0
Neg_260,0.18628,0
Neg_743,-1.09124,0
Neg_1798,0.82001,0
Neg_805,-0.00768,0
Neg_2446,-0.29561,0
Neg_1456,0.93012,0
Neg_853,2.02379,0
Neg_1866,0.26724,0
Neg_1972,-0.60995,0
Neg_1250,-0.07843,0
Neg_2893,0.16006,0
Neg_415,0.12072,0
Neg_2440,0.62231,0
Neg_1947,-0.31102,0
Neg_2296,-1.17294,0
Neg_1491,-1.09371,0
Neg_1592,-0.01198,0
Neg_833,-1.3383,0
Neg_2254,1.55208,0
Neg_2786,0.66702,0
Neg_1307,-0.12698,0
Neg_1022,-0.05797,0
Neg_2289,0.13247,0
Neg_2564,-1.24982,0
Neg_1131,-0.33934,0
Neg_2814,-1.23756,0
Neg_2346,-1.08931,0
Neg_2538,0.37449,0
Neg_503,0.96751,0
Neg_614,-0.11312,0
Neg_2227,-0.27821,0
Neg_1977,-1.04235,0
Neg_1151,-0.48538,0
Neg_2315,-0.84704,0
Neg_1180,-0.77409,0
Neg_308,-0.28344,0
Neg_1426,-1.16729,0
Neg_12,-1.15528,0
Neg_506,0.1946,0
Neg_136,-0.65466,0
Neg_378,-0.40966,0
Neg_2058,-0.25745,0
Neg_2336,-0.64732,0
Neg_2220,-1.15545,0
Neg_262,-1.24719,0
Neg_1888,0.76341,0
Neg_2552,-1.04559,0
Neg_1340,-0.10557,0
Neg_1753,1.21738,0
Neg_941,-0.37094,0
Neg_689,-1.09427,0
Neg_403,-0.98213,0
Neg_2524,-1.10446,0
Neg_1006,-0.93754,0
Neg_89,0.75303,0
Neg_1956,1.10255,0
Neg_2723,-0.92362,0
Neg_34,-0.48276,0
Neg_757,0.56341,0
Neg_1170,-0.25179,0
Neg_1405,-0.58198,0
Neg_1634,-0.03743,0
Neg_835,-0.61405,0
Neg_1809,-1.23661,0
Neg_296,-0.59868,0
Neg_1989,-0.89731,0
Neg_636,-0.17594,0
Neg_1350,0.16718,0
Neg_160,-0.42381,0
Neg_1524,-0.38313,0
Neg_836,-1.12764,0
Neg_1885,-0.86986,0
Neg_1723,-0.18049,0
Neg_1139,-1.05435,0
Neg_531,-0.32714,0
Neg_131,-1.02256,0
Neg_226,-0.36522,0
Neg_2031,-1.32298,0
Neg_1050,0.05809,0
Neg_2215,0.87896,0
Neg_1008,0.83489,0
Neg_755,1.18258,0
Neg_1309,2.33278,0
Neg_1348,-1.01657,0
Neg_2829,-0.18199,0
Neg_1281,-0.55909,0
Neg_2879,-0.71613,0
Neg_2182,-1.26283,0
Neg_513,1.24,0
Neg_2222,-1.0569,0
Neg_2348,-0.82797,0
Neg_549,1.20712,0
Neg_2669,0.96454,0
Neg_1248,-0.3726,0
Neg_19,-0.52765,0
Neg_1763,-1.30865,0
Neg_2832,-0.89007,0
Neg_1992,-0.88171,0
Neg_2675,-0.35912,0
Neg_203,-0.35203,0
Neg_2314,-0.72277,0
Neg_460,-0.80764,0
Neg_248,-0.91109,0
Neg_418,-0.40306,0
Neg_1007,-1.46938,0
Neg_2178,-0.22175,0
Neg_537,-1.3303,0
Neg_97,-0.85875,0
Neg_1719,-0.74606,0
Neg_1777,-0.63596,0
Neg_771,-0.96946,0
Neg_2070,-0.38681,0
Neg_1418,0.17159,0
Neg_1167,-1.14453,0
Neg_2477,-0.71632,0
Neg_715,-0.25697,0
Neg_616,-0.70401,0
Neg_558,0.23057,0
Neg_64,0.21877,0
Neg_1316,-0.18213,0
Neg_1507,-0.19628,0
Neg_1101,-0.63393,0
Neg_1796,-0.81867,0
Neg_1223,-1.15779,0
Neg_538,-0.11689,0
Neg_302,-0.53348,0
Neg_200,-0.87748,0
Neg_1730,-0.68024,0
Neg_876,-0.92541,0
Neg_326,0.68966,0
Neg_1436,-0.90105,0
Neg_727,-0.53385,0
Neg_1831,-0.32424,0
Neg_900,-0.27918,0
Neg_1637,-0.84202,0
Neg_2635,0.29358,0
