,Aliphatic_Index,y
Neg_446,-0.58366,0
Neg_2228,-0.50504,0
Neg_2386,-1.129,0
Neg_2835,0.27979,0
Neg_2149,0.62885,0
Neg_2248,-1.14478,0
Neg_2739,0.04625,0
Neg_2580,-1.00326,0
Neg_2765,0.65685,0
Neg_939,-1.10248,0
Neg_1859,1.91351,0
Neg_1088,-0.02209,0
Neg_448,0.2464,0
Neg_2831,-0.34313,0
Neg_358,1.42641,0
Neg_2287,0.59592,0
Neg_2597,0.60206,0
Neg_2648,0.51836,0
Neg_152,1.35957,0
Neg_2086,0.68966,0
Neg_966,0.55787,0
Neg_2081,-0.04158,0
Neg_2579,1.25483,0
Neg_542,0.06587,0
Neg_270,0.38506,0
Neg_447,1.23871,0
Neg_2242,1.67073,0
Neg_1615,1.21346,0
Neg_103,-0.79752,0
Neg_1048,-0.14929,0
Neg_628,0.64773,0
Neg_2169,2.20122,0
Neg_599,0.81664,0
Neg_2490,0.00261,0
Neg_62,0.69619,0
Neg_1129,-0.92837,0
Neg_190,0.01843,0
Neg_1522,1.53646,0
Neg_165,0.03373,0
Neg_1152,2.57943,0
Neg_217,-0.23124,0
Neg_1140,0.21133,0
Neg_2378,1.49337,0
Neg_1569,0.17671,0
Neg_662,-0.70084,0
Neg_688,-1.2194,0
Neg_541,0.77149,0
Neg_624,-0.0609,0
Neg_2108,1.15765,0
Neg_2808,0.99426,0
Neg_2794,-1.21363,0
Neg_2286,0.30875,0
Neg_373,1.33393,0
Neg_2612,0.4774,0
Neg_937,0.53659,0
Neg_1345,0.56101,0
Neg_2671,1.5192,0
Neg_2855,1.80912,0
Neg_279,0.14957,0
Neg_706,0.88655,0
Neg_2921,1.30636,0
Neg_994,-0.29605,0
Neg_2453,2.31551,0
Neg_2074,-0.38317,0
Neg_1803,1.31566,0
Neg_653,0.40528,0
Neg_1943,1.67143,0
Neg_1283,0.6434,0
Neg_1383,2.63202,0
Neg_325,-1.47009,0
Neg_2702,0.36851,0
Neg_2180,0.65731,0
Neg_585,-0.32498,0
Neg_2047,0.92336,0
Neg_2392,-1.68146,0
Neg_919,0.50078,0
Neg_2566,0.45019,0
Neg_404,0.67204,0
Neg_953,0.61929,0
Neg_1257,-0.00624,0
Neg_1680,0.93264,0
Neg_1098,-1.68996,0
Neg_1404,0.0075,0
Neg_79,1.18445,0
Neg_2483,0.01168,0
Neg_2866,-0.72102,0
Neg_133,0.92015,0
Neg_1514,-1.75052,0
Neg_1790,1.16211,0
Neg_2219,0.20667,0
Neg_2758,0.02714,0
Neg_621,1.70279,0
Neg_904,1.05324,0
Neg_736,-0.47673,0
Neg_431,0.09302,0
Neg_2469,-0.05971,0
Neg_2895,0.38862,0
Neg_202,-0.29241,0
Neg_478,-1.02175,0
Neg_1929,0.89671,0
Neg_1179,-1.0185,0
Neg_116,1.1057,0
Neg_2854,0.13062,0
Neg_2229,1.29887,0
Neg_301,1.12033,0
Neg_2264,-1.11185,0
Neg_58,0.67464,0
Neg_37,-0.78805,0
Neg_1299,3.99387,0
Neg_2238,0.00236,0
Neg_1065,0.57751,0
Neg_2393,0.69609,0
Neg_1063,0.07854,0
Neg_2681,-0.70793,0
Neg_1206,0.63077,0
Neg_926,-1.77451,0
Neg_1834,2.40679,0
Neg_219,-1.00046,0
Neg_1051,-0.39974,0
Neg_2732,-0.48445,0
Neg_22,1.25766,0
Neg_2672,0.08241,0
Neg_1925,0.54053,0
Neg_1046,0.01168,0
Neg_2602,-0.49854,0
Neg_2626,0.24583,0
Neg_664,1.01539,0
Neg_1033,1.12198,0
Neg_1541,0.51656,0
Neg_352,-0.41079,0
Neg_2763,0.21271,0
Neg_2198,1.12506,0
Neg_260,0.90132,0
Neg_743,-1.34058,0
Neg_1798,-1.13936,0
Neg_805,0.28192,0
Neg_2446,0.52484,0
Neg_1456,-1.09411,0
Neg_853,1.68858,0
Neg_1866,-1.3196,0
Neg_1972,-0.02532,0
Neg_1250,0.45548,0
Neg_2893,0.02095,0
Neg_415,0.85988,0
Neg_2440,0.77341,0
Neg_1947,0.48822,0
Neg_2296,-0.40498,0
Neg_1491,-0.06495,0
Neg_1592,1.3312,0
Neg_833,-0.36168,0
Neg_2254,-1.43976,0
Neg_2786,-0.1975,0
Neg_1307,0.94827,0
Neg_1022,-1.56595,0
Neg_2289,1.03906,0
Neg_2564,-1.22755,0
Neg_1131,0.29587,0
Neg_2814,0.54024,0
Neg_2346,-0.6799,0
Neg_2538,0.37302,0
Neg_503,-0.03327,0
Neg_614,0.94488,0
Neg_2227,-0.10141,0
Neg_1977,0.58605,0
Neg_1151,0.32298,0
Neg_2315,0.32288,0
Neg_1180,-1.02663,0
Neg_308,1.24795,0
Neg_1426,0.09037,0
Neg_12,1.4234,0
Neg_506,-0.47077,0
Neg_136,0.19692,0
Neg_378,-1.89483,0
Neg_2058,0.41791,0
Neg_2336,1.84157,0
Neg_2220,1.48815,0
Neg_262,-1.18665,0
Neg_1888,0.65862,0
Neg_2552,0.77539,0
Neg_1340,0.03463,0
Neg_1753,2.12112,0
Neg_941,1.34674,0
Neg_689,0.31531,0
Neg_403,1.62228,0
Neg_2524,0.27269,0
Neg_1006,0.11691,0
Neg_89,0.31531,0
Neg_1956,0.9809,0
Neg_2723,0.93989,0
Neg_34,-0.09713,0
Neg_757,0.10548,0
Neg_1170,1.15236,0
Neg_1405,1.16711,0
Neg_1634,0.93989,0
Neg_835,-0.0252,0
Neg_1809,-1.85664,0
Neg_296,1.54618,0
Neg_1989,-0.123,0
Neg_636,0.10221,0
Neg_1350,1.00635,0
Neg_160,0.50078,0
Neg_1524,1.17519,0
Neg_836,-0.01617,0
Neg_1885,1.39535,0
Neg_1723,0.14224,0
Neg_1139,-0.81619,0
Neg_531,0.00956,0
Neg_131,0.45474,0
Neg_226,0.82114,0
Neg_2031,-1.14741,0
Neg_1050,-0.01243,0
Neg_2215,-0.59353,0
Neg_1008,1.35342,0
Neg_755,0.09224,0
Neg_1309,1.09665,0
Neg_1348,-1.31315,0
Neg_2829,0.23375,0
Neg_1281,0.46424,0
Neg_2879,-1.59307,0
Neg_2182,-0.57259,0
Neg_513,0.66741,0
Neg_2222,0.03118,0
Neg_2348,0.25859,0
Neg_549,2.17396,0
Neg_2669,-1.23187,0
Neg_1248,0.13062,0
Neg_19,-0.6081,0
Neg_1763,-0.26894,0
Neg_2832,1.34735,0
Neg_1992,-0.61241,0
Neg_2675,0.19692,0
Neg_203,-0.54383,0
Neg_2314,0.89303,0
Neg_460,-1.27373,0
Neg_248,0.42752,0
Neg_418,-0.50093,0
Neg_1007,1.17445,0
Neg_2178,1.32257,0
Neg_537,0.87542,0
Neg_97,-0.82986,0
Neg_1719,0.65589,0
Neg_1777,0.77968,0
Neg_771,-1.20433,0
Neg_2070,-0.26052,0
Neg_1418,-0.12989,0
Neg_1167,0.32951,0
Neg_2477,-1.11376,0
Neg_715,0.10548,0
Neg_616,1.0903,0
Neg_558,0.82362,0
Neg_64,-0.63178,0
Neg_1316,-0.28103,0
Neg_1507,1.47549,0
Neg_1101,1.06165,0
Neg_1796,0.04014,0
Neg_1223,-0.90028,0
Neg_538,-0.23184,0
Neg_302,0.63641,0
Neg_200,0.64646,0
Neg_1730,1.15724,0
Neg_876,2.0242,0
Neg_326,-0.25965,0
Neg_1436,-1.85376,0
Neg_727,-0.6081,0
Neg_1831,-0.13456,0
Neg_900,-0.46604,0
Neg_1637,0.16535,0
Neg_2635,-1.00068,0
Neg_2454,-0.03257,0
Neg_1216,0.61127,0
