,Shannon-Entropy,y
Neg_446,0.58208,0
Neg_2228,0.87094,0
Neg_2386,0.09056,0
Neg_2835,-0.14938,0
Neg_2149,1.08992,0
Neg_2248,1.13185,0
Neg_2739,1.43468,0
Neg_2580,-0.35904,0
Neg_2765,1.12253,0
Neg_939,1.07827,0
Neg_1859,-0.24489,0
Neg_1088,0.82901,0
Neg_448,1.2227,0
Neg_2831,0.97344,0
Neg_358,0.58674,0
Neg_2287,0.6939,0
Neg_2597,0.59373,0
Neg_2648,0.84765,0
Neg_152,0.39572,0
Neg_2086,0.21402,0
Neg_966,-0.01427,0
Neg_2081,0.45396,0
Neg_2579,0.76378,0
Neg_542,0.13016,0
Neg_270,0.98509,0
Neg_447,-0.93443,0
Neg_2242,1.00372,0
Neg_1615,0.51453,0
Neg_103,0.06493,0
Neg_1048,1.25065,0
Neg_628,0.73117,0
Neg_2169,0.33283,0
Neg_599,0.69157,0
Neg_2490,-0.0166,0
Neg_62,0.99208,0
Neg_1129,0.81503,0
Neg_190,-1.37004,0
Neg_1522,-0.59665,0
Neg_165,0.93617,0
Neg_1152,0.11851,0
Neg_217,1.02469,0
Neg_1140,1.27628,0
Neg_2378,0.91986,0
Neg_1569,0.76844,0
Neg_662,-0.14938,0
Neg_688,0.8127,0
Neg_541,-0.02825,0
Neg_624,0.80805,0
Neg_2108,0.95015,0
Neg_2808,0.8127,0
Neg_2794,0.4889,0
Neg_2286,0.49356,0
Neg_373,0.94083,0
Neg_2612,0.6706,0
Neg_937,1.14349,0
Neg_1345,1.20173,0
Neg_2671,1.08293,0
Neg_2855,-0.29847,0
Neg_279,0.71021,0
Neg_706,1.01304,0
Neg_2921,0.95247,0
Neg_994,0.35146,0
Neg_2453,0.00902,0
Neg_2074,0.77543,0
Neg_1803,-0.6479,0
Neg_653,0.15578,0
Neg_1943,-0.0166,0
Neg_1283,1.14349,0
Neg_1383,-0.07018,0
Neg_325,-1.8406,0
Neg_2702,-0.19364,0
Neg_2180,0.35379,0
Neg_585,0.85697,0
Neg_2047,0.51453,0
Neg_2392,-0.04688,0
Neg_919,-1.54709,0
Neg_2566,0.83367,0
Neg_404,-0.70148,0
Neg_953,0.96878,0
Neg_1257,1.16912,0
Neg_1680,0.99441,0
Neg_1098,-1.99901,0
Neg_1404,-0.04688,0
Neg_79,0.84532,0
Neg_2483,0.62867,0
Neg_2866,-1.72879,0
Neg_133,1.25764,0
Neg_1514,-3.29655,0
Neg_1790,0.03931,0
Neg_2219,1.01071,0
Neg_2758,0.44697,0
Neg_621,-0.05387,0
Neg_904,-1.15806,0
Neg_736,0.46794,0
Neg_431,0.34913,0
Neg_2469,0.80572,0
Neg_2895,0.64498,0
Neg_202,0.7964,0
Neg_478,0.98043,0
Neg_1929,1.25997,0
Neg_1179,-0.39398,0
Neg_116,0.69157,0
Neg_2854,0.69157,0
Neg_2229,0.26993,0
Neg_301,0.54481,0
Neg_2264,0.61936,0
Neg_58,0.56112,0
Neg_37,-1.31181,0
Neg_1299,-1.99202,0
Neg_2238,0.95247,0
Neg_1065,1.15281,0
Neg_2393,1.13418,0
Neg_1063,1.20406,0
Neg_2681,0.06726,0
Neg_1206,1.07128,0
Neg_926,-0.44989,0
Neg_1834,-1.78703,0
Neg_219,0.25129,0
Neg_1051,1.24366,0
Neg_2732,-1.89651,0
Neg_22,0.15112,0
Neg_2672,0.44697,0
Neg_1925,0.77077,0
Neg_1046,-1.22561,0
Neg_2602,-0.08649,0
Neg_2626,1.25531,0
Neg_664,1.26696,0
Neg_1033,0.00437,0
Neg_1541,0.36311,0
Neg_352,-0.24023,0
Neg_2763,-0.09347,0
Neg_2198,0.75447,0
Neg_260,0.05328,0
Neg_743,-0.51744,0
Neg_1798,-0.33574,0
Neg_805,0.4493,0
Neg_2446,1.03634,0
Neg_1456,0.04164,0
Neg_853,-1.24425,0
Neg_1866,0.60305,0
Neg_1972,0.74515,0
Neg_1250,1.29025,0
Neg_2893,0.15578,0
Neg_415,0.85231,0
Neg_2440,-0.44756,0
Neg_1947,0.23499,0
Neg_2296,-0.21228,0
Neg_1491,1.53252,0
Neg_1592,1.02236,0
Neg_833,0.96878,0
Neg_2254,-1.71947,0
Neg_2786,0.21868,0
Neg_1307,1.24133,0
Neg_1022,-0.24722,0
Neg_2289,-0.10279,0
Neg_2564,0.49822,0
Neg_1131,0.49123,0
Neg_2814,0.8989,0
Neg_2346,0.31652,0
Neg_2538,0.66827,0
Neg_503,-0.09347,0
Neg_614,0.46095,0
Neg_2227,0.22334,0
Neg_1977,0.91986,0
Neg_1151,1.08526,0
Neg_2315,0.51919,0
Neg_1180,0.5518,0
Neg_308,0.43299,0
Neg_1426,0.67293,0
Neg_12,0.94083,0
Neg_506,0.8127,0
Neg_136,1.08293,0
Neg_378,-0.73875,0
Neg_2058,0.0463,0
Neg_2336,0.08823,0
Neg_2220,0.72418,0
Neg_262,-3.38507,0
Neg_1888,0.42601,0
Neg_2552,0.76844,0
Neg_1340,1.51855,0
Neg_1753,0.05561,0
Neg_941,0.85464,0
Neg_689,-0.17501,0
Neg_403,0.7335,0
Neg_2524,1.12719,0
Neg_1006,0.23499,0
Neg_89,0.10919,0
Neg_1956,0.31652,0
Neg_2723,0.49589,0
Neg_34,0.91753,0
Neg_757,0.67992,0
Neg_1170,-0.52676,0
Neg_1405,0.83833,0
Neg_1634,0.53782,0
Neg_835,1.51156,0
Neg_1809,-0.62227,0
Neg_296,1.041,0
Neg_1989,1.35781,0
Neg_636,-0.34273,0
Neg_1350,-0.0795,0
Neg_160,-2.71184,0
Neg_1524,0.41669,0
Neg_836,0.76844,0
Neg_1885,-0.18898,0
Neg_1723,1.42071,0
Neg_1139,0.6543,0
Neg_531,0.91054,0
Neg_131,1.16446,0
Neg_226,1.15281,0
Neg_2031,0.09755,0
Neg_1050,0.8989,0
Neg_2215,-0.28216,0
Neg_1008,0.77543,0
Neg_755,-0.11211,0
Neg_1309,-0.66886,0
Neg_1348,0.51686,0
Neg_2829,-1.33044,0
Neg_1281,0.74748,0
Neg_2879,-0.45688,0
Neg_2182,0.85231,0
Neg_513,0.61004,0
Neg_2222,-1.02528,0
Neg_2348,0.5285,0
Neg_549,-0.30779,0
Neg_2669,0.67992,0
Neg_1248,0.80339,0
Neg_19,1.07594,0
Neg_1763,0.04164,0
Neg_2832,0.023,0
Neg_1992,0.92918,0
Neg_2675,0.89657,0
Neg_203,1.5069,0
Neg_2314,0.75913,0
Neg_460,1.06895,0
Neg_248,-0.03757,0
Neg_418,0.27692,0
Neg_1007,1.11088,0
Neg_2178,0.67992,0
Neg_537,1.0573,0
Neg_97,0.95015,0
Neg_1719,0.80572,0
Neg_1777,0.97344,0
Neg_771,1.23435,0
Neg_2070,0.7335,0
Neg_1418,0.28857,0
Neg_1167,1.35548,0
Neg_2477,0.39339,0
Neg_715,1.21105,0
Neg_616,0.69623,0
Neg_558,0.5914,0
Neg_64,0.42834,0
Neg_1316,0.36078,0
Neg_1507,-2.11549,0
Neg_1101,0.9152,0
Neg_1796,0.8127,0
Neg_1223,0.92219,0
Neg_538,0.09056,0
Neg_302,0.66827,0
Neg_200,0.90588,0
Neg_1730,0.86861,0
Neg_876,0.55413,0
Neg_326,-0.24955,0
Neg_1436,-2.80036,0
Neg_727,0.52152,0
Neg_1831,1.03168,0
Neg_900,-1.0113,0
Neg_1637,0.06493,0
Neg_2635,-0.46154,0
Neg_2454,0.77077,0
Neg_1216,0.91054,0
Neg_2191,1.2623,0
Neg_1275,0.35379,0
Neg_2151,1.10622,0
Neg_1402,-1.57038,0
Neg_717,-0.7504,0
Neg_1862,-0.29614,0
Neg_158,0.81969,0
Neg_1740,0.89191,0
Neg_1424,-0.12609,0
Neg_943,0.30254,0
Neg_1688,-2.5115,0
Neg_148,1.21804,0
Neg_2796,0.92918,0
Neg_1887,1.14815,0
Neg_2811,0.4889,0
Neg_859,-3.0007,0
Neg_2155,0.80106,0
Neg_2045,-0.34972,0
Neg_1104,0.96878,0
Neg_2638,0.71952,0
Neg_962,1.33684,0
Neg_2828,0.48424,0
Neg_1944,0.51686,0
Neg_523,-1.15806,0
Neg_1319,-0.04222,0
Neg_562,0.64265,0
Neg_2456,0.04863,0
Neg_1500,1.02469,0
Neg_1913,0.62867,0
Neg_286,-0.00495,0
Neg_2871,-0.02825,0
Neg_456,1.06196,0
Neg_984,1.22736,0
Neg_1837,1.13418,0
Neg_2617,1.11787,0
Neg_139,-1.55408,0
Neg_1815,1.12486,0
Neg_1157,1.28094,0
Neg_1317,0.72884,0
Neg_2405,0.72185,0
Neg_45,0.8989,0
Neg_1797,0.62634,0
Neg_2769,0.30254,0
Neg_1390,0.95247,0
Neg_1018,0.69157,0
Neg_602,-1.6985,0
Neg_182,0.78009,0
Neg_1056,0.10686,0
Neg_2567,0.35379,0
Neg_849,-0.35438,0
Neg_2338,-0.38233,0
Neg_422,0.80339,0
Neg_1421,0.99208,0
Neg_2439,0.32351,0
Neg_563,0.24896,0
Neg_1622,1.12486,0
Neg_1578,0.56345,0
Neg_1939,0.51686,0
Neg_163,0.14879,0
Neg_287,0.5914,0
Neg_787,-0.16802,0
Neg_1846,0.27459,0
Neg_1280,0.3701,0
Neg_1918,-1.45158,0
Neg_999,0.0626,0
Neg_314,0.73117,0
Neg_2192,0.90123,0
Neg_605,0.64498,0
Neg_413,-0.45222,0
Neg_1861,0.87327,0
Neg_342,-0.44523,0
Neg_398,1.13884,0
Neg_96,0.78708,0
Neg_1924,-0.41495,0
Neg_592,0.80572,0
Neg_1985,0.77776,0
Neg_1045,0.81037,0
Neg_2542,-0.13541,0
Neg_2165,0.32817,0
Neg_1526,-0.28449,0
Neg_2709,0.57277,0
Neg_2230,1.11088,0
Neg_2137,0.45629,0
Neg_2068,1.19474,0
Neg_2163,0.85464,0
Neg_2247,1.2623,0
Neg_529,-0.29847,0
Neg_936,1.14582,0
Neg_2418,0.72418,0
Neg_2487,1.03401,0
Neg_703,1.19008,0
Neg_1742,0.06726,0
Neg_305,0.78242,0
Neg_1078,1.26696,0
Neg_1672,0.3468,0
Neg_2568,0.35845,0
Neg_1911,1.11554,0
Neg_2397,0.64731,0
Neg_992,1.08992,0
Neg_1161,-0.78534,0
Neg_2581,1.09923,0
Neg_701,1.02003,0
Neg_464,0.24896,0
Neg_1692,0.2443,0
Neg_774,-1.26289,0
Neg_2620,0.8127,0
Neg_979,0.98509,0
Neg_2827,0.52617,0
Neg_2729,0.78708,0
Neg_2277,0.59373,0
Neg_1632,0.59606,0
Neg_2756,-1.0113,0
Neg_1898,0.08357,0
Neg_1391,-0.42193,0
Neg_1059,0.78708,0
Neg_1746,-0.38233,0
Neg_1847,0.36311,0
Neg_1490,0.54015,0
Neg_450,-0.62227,0
Neg_1448,-1.3188,0
Neg_2410,1.13651,0
Neg_1301,0.22334,0
Neg_696,-0.52909,0
Neg_2757,-1.51214,0
Neg_815,0.24197,0
Neg_890,-1.57737,0
Neg_2049,1.35781,0
Neg_634,0.44231,0
Neg_1241,-0.10745,0
Neg_1265,-0.69216,0
Neg_1145,1.25065,0
Neg_364,0.78475,0
Neg_2428,1.1994,0
Neg_2873,0.7335,0
Neg_2762,1.02469,0
Neg_1932,0.85929,0
Neg_218,-0.4033,0
Neg_1471,1.24599,0
Neg_211,-0.85755,0
Neg_88,-0.182,0
Neg_1800,0.99674,0
Neg_1995,-0.01893,0
Neg_2231,0.62634,0
Neg_1090,-0.80164,0
Neg_1457,0.62867,0
Neg_795,-0.61761,0
Neg_1614,1.38809,0
Neg_732,-0.65954,0
Neg_2025,-0.21461,0
Neg_2088,0.22567,0
Neg_2527,0.99906,0
Neg_2021,1.01537,0
Neg_2570,0.28624,0
Neg_215,0.65197,0
Neg_2516,1.1994,0
Neg_1712,1.06895,0
Neg_2010,1.25298,0
Neg_1285,0.33748,0
Neg_2834,0.19538,0
Neg_2013,-0.19364,0
Neg_945,1.04798,0
Neg_1787,1.24366,0
Neg_935,0.57975,0
Neg_2099,-0.73409,0
Neg_2179,-1.40965,0
Neg_2726,-1.40965,0
Neg_1484,0.3072,0
Neg_2381,1.06196,0
Neg_1458,0.4726,0
Neg_216,1.16213,0
Neg_2725,-0.15637,0
Neg_406,0.19771,0
Neg_1363,0.57742,0
Neg_1311,0.49589,0
Neg_1149,-0.84591,0
Neg_1218,-0.13075,0
Neg_1597,0.56578,0
Neg_2745,0.69623,0
Neg_1477,-0.45921,0
Neg_2803,-0.37302,0
Neg_104,0.85231,0
Neg_1900,1.15048,0
Neg_2586,0.48657,0
Neg_2050,-0.36137,0
Neg_1069,-0.87852,0
Neg_336,-0.7504,0
Neg_2260,1.04566,0
Neg_1733,1.07827,0
Neg_1555,-0.63159,0
Neg_2329,1.00605,0
Neg_1878,-0.26819,0
Neg_1893,1.29258,0
Neg_1716,0.93151,0
Neg_2322,0.76844,0
Neg_101,1.16446,0
Neg_16,0.10919,0
Neg_31,1.02935,0
Neg_240,0.19073,0
Neg_1117,-0.83193,0
Neg_2262,0.34913,0
Neg_2861,0.9781,0
Neg_1225,0.74748,0
Neg_261,0.98975,0
Neg_609,0.76146,0
Neg_1352,0.53782,0
Neg_733,-1.01829,0
Neg_2593,0.631,0
Neg_2259,-0.33807,0
Neg_1785,1.33917,0
Neg_847,0.74282,0
Neg_684,-0.08649,0
Neg_1411,0.2047,0
Neg_680,-0.96005,0
Neg_502,0.35146,0
Neg_1097,1.20173,0
Neg_1826,0.67526,0
Neg_702,0.71254,0
Neg_1626,0.95946,0
Neg_2358,0.9548,0
Neg_1026,0.92219,0
Neg_82,1.06196,0
Neg_509,0.61703,0
Neg_1235,1.02469,0
Neg_2118,1.03634,0
Neg_1303,1.02236,0
Neg_72,0.85231,0
Neg_1147,1.19707,0
Neg_2437,0.47027,0
Neg_1770,0.80572,0
Neg_177,1.12952,0
Neg_978,0.91753,0
Neg_724,-0.6479,0
Neg_1766,0.99208,0
Neg_868,-0.94141,0
Neg_1825,0.8989,0
Neg_2020,0.84532,0
Neg_1628,-0.7667,0
Neg_892,0.66827,0
Neg_2692,-1.57038,0
Neg_512,-0.9717,0
Neg_2128,0.57742,0
Neg_1647,0.29788,0
Neg_2419,0.53782,0
Neg_2659,-0.06319,0
Neg_1214,0.4726,0
Neg_411,-0.48483,0
Neg_2321,0.47027,0
Neg_1384,-0.51046,0
Neg_1489,1.3811,0
Neg_2666,1.31821,0
Neg_1905,1.27162,0
Neg_55,1.4673,0
Neg_1178,1.30423,0
Neg_2369,0.26527,0
Neg_1,1.10855,0
Neg_1999,-0.29614,0
Neg_1883,1.06429,0
Neg_1643,0.88492,0
Neg_2885,-1.69385,0
Neg_1786,1.10156,0
Neg_1933,0.5285,0
Neg_814,-0.13773,0
Neg_1593,1.29491,0
Neg_1298,0.88259,0
Neg_285,0.88958,0
Neg_2792,0.54714,0
Neg_2154,1.1994,0
Neg_1689,0.43067,0
Neg_603,0.30953,0
Neg_1021,0.31419,0
Neg_1820,0.93151,0
Neg_222,0.62168,0
Neg_256,-0.24722,0
Neg_704,1.07128,0
Neg_144,1.06196,0
Neg_2067,0.5122,0
Neg_1406,-0.29381,0
Neg_2616,0.86162,0
Neg_648,0.37709,0
Neg_2774,1.041,0
Neg_292,0.44231,0
Neg_2667,1.37412,0
Neg_257,0.74049,0
Neg_1768,-0.97869,0
Neg_2249,0.82435,0
Neg_779,1.33684,0
Neg_2513,0.23033,0
Neg_2425,1.1994,0
Neg_2272,-0.73642,0
Neg_361,0.45862,0
Neg_1745,-0.58966,0
Neg_2902,1.1994,0
Neg_808,0.65663,0
Neg_407,1.09457,0
Neg_191,0.65896,0
Neg_1737,0.92219,0
Neg_1001,0.20004,0
Neg_2120,1.04333,0
Neg_960,1.00139,0
Neg_1356,1.11321,0
Neg_1764,-0.7667,0
Neg_901,0.76146,0
Neg_2556,-0.58034,0
Neg_303,0.89424,0
Neg_654,1.29025,0
Neg_251,0.9385,0
Neg_1958,0.78475,0
Neg_2857,-0.75738,0
Neg_1824,0.20936,0
Neg_9,-0.06552,0
Neg_1397,0.68691,0
Neg_1841,0.43067,0
Neg_1197,1.27162,0
Neg_1357,0.30254,0
Neg_2898,-0.39165,0
Neg_2132,-1.10215,0
Neg_647,1.26696,0
Neg_2646,-0.18665,0
Neg_476,0.22334,0
Neg_231,-1.85924,0
Neg_451,1.26463,0
Neg_1073,0.07192,0
Neg_7,0.50521,0
Neg_1877,0.46794,0
Neg_2912,-1.78703,0
Neg_1968,1.04566,0
Neg_2590,-0.71545,0
Neg_2781,1.30889,0
Neg_940,0.38407,0
Neg_459,1.26929,0
Neg_1657,0.27925,0
Neg_2544,0.61237,0
Neg_2345,0.62401,0
Neg_2406,0.45629,0
Neg_2060,1.02003,0
Neg_2697,0.66595,0
Neg_1979,1.04333,0
Neg_875,-0.62227,0
Neg_798,0.76611,0
Neg_2520,1.16446,0
Neg_2252,0.77776,0
Neg_1502,-0.17035,0
Neg_2316,0.9781,0
Neg_2282,0.56811,0
Neg_2664,0.61004,0
Neg_1274,-1.20931,0
Neg_1290,0.11385,0
Neg_299,0.56578,0
Neg_2528,0.8989,0
Neg_1387,-0.34972,0
Neg_13,1.15281,0
Neg_586,1.13651,0
Neg_1691,0.02999,0
Neg_629,0.42368,0
Neg_1089,0.54947,0
Neg_2884,-0.62227,0
Neg_2610,1.28792,0
Neg_470,1.34849,0
Neg_1649,-1.14641,0
Neg_1177,0.95713,0
Neg_2447,-0.68284,0
Neg_10,-0.78068,0
Neg_2623,1.53019,0
Neg_265,-1.09982,0
Neg_273,0.34913,0
Neg_2305,0.39805,0
Neg_915,1.2227,0
Neg_1945,0.38873,0
Neg_961,0.74049,0
Neg_2662,1.22037,0
Neg_1146,0.77543,0
Neg_1137,1.15747,0
Neg_41,0.71021,0
Neg_1496,-0.42659,0
Neg_2270,0.98043,0
Neg_1721,-0.56403,0
Neg_2196,0.70555,0
Neg_1988,0.82668,0
Neg_2464,0.99674,0
Neg_521,0.46561,0
Neg_1062,1.01304,0
Neg_899,-0.57102,0
Neg_374,0.6543,0
Neg_2106,0.87793,0
Neg_3,1.12253,0
Neg_405,-0.39398,0
Neg_1873,-0.16336,0
Neg_2506,0.25595,0
Neg_2777,1.53485,0
Neg_762,-0.75505,0
Neg_401,-1.99202,0
Neg_1801,-2.01066,0
Neg_2863,0.76611,0
Neg_2412,0.75214,0
Neg_1094,0.99208,0
Neg_1795,0.09289,0
Neg_1144,-4.79442,0
Neg_1201,1.01071,0
Neg_2435,-0.02825,0
Neg_252,1.36247,0
Neg_2676,1.14116,0
Neg_322,0.8127,0
Neg_1525,0.7568,0
Neg_1228,0.7964,0
Neg_2042,0.86628,0
Neg_2308,0.14879,0
Neg_2157,1.28792,0
Neg_2159,0.29555,0
Neg_2734,1.21571,0
Neg_1207,1.239,0
Neg_120,0.47958,0
Neg_2631,-0.16336,0
Neg_595,0.22334,0
Neg_993,-0.02359,0
Neg_1596,-0.48949,0
Neg_2868,1.33451,0
Neg_579,1.43701,0
Neg_1663,-0.74341,0
Neg_1040,1.14349,0
Neg_2240,1.20639,0
Neg_2349,-0.61062,0
Neg_2207,1.09225,0
Neg_1153,-0.6083,0
Neg_580,-0.14472,0
Neg_2390,0.61004,0
Neg_1683,0.09289,0
Neg_2601,1.18776,0
Neg_2888,1.04333,0
Neg_1121,-0.10745,0
Neg_2688,0.55646,0
Neg_1493,-1.15806,0
Neg_1272,0.58674,0
Neg_1242,0.97344,0
Neg_1292,-1.40965,0
Neg_2398,0.85464,0
Neg_1990,0.37243,0
Neg_2241,-1.04391,0
Neg_508,1.1598,0
Neg_307,1.1831,0
Neg_2448,0.49822,0
Neg_600,0.91054,0
Neg_601,0.23732,0
Neg_1217,1.31588,0
Neg_839,0.38407,0
Neg_682,-0.13541,0
Neg_2187,0.16277,0
Neg_2821,1.06196,0
Neg_2789,-4.40772,0
Neg_169,1.55815,0
Neg_320,1.041,0
Neg_2889,1.041,0
