,Isoelectric_point,y
peptide_nm_1,11.400390625,0
peptide_nm_2,11.572265625,0
peptide_nm_3,8.931640625,0
peptide_nm_4,3.96142578125,0
peptide_nm_5,9.90966796875,0
peptide_nm_6,5.248046875,0
peptide_nm_7,11.220703125,0
peptide_nm_8,9.6474609375,0
peptide_nm_9,10.4287109375,0
peptide_nm_10,11.10595703125,0
peptide_nm_11,10.021240234375,0
peptide_nm_12,7.703125,0
peptide_nm_13,10.39990234375,0
peptide_nm_14,9.83984375,0
peptide_nm_15,10.708984375,0
peptide_nm_16,3.68603515625,0
peptide_nm_17,10.8062744140625,0
peptide_nm_18,3.537109375,0
peptide_nm_19,11.67578125,0
peptide_nm_20,7.0,0
peptide_nm_21,12.25,0
peptide_nm_22,6.6875,0
peptide_nm_23,6.8125,0
peptide_nm_24,6.875,0
peptide_nm_25,9.5205078125,0
peptide_nm_26,3.1259765625,0
peptide_nm_27,9.83984375,0
peptide_nm_28,10.708984375,0
peptide_nm_29,10.39453125,0
peptide_nm_30,9.7548828125,0
peptide_nm_31,10.0224609375,0
peptide_nm_32,8.693359375,0
peptide_nm_33,10.013671875,0
peptide_nm_34,6.5,0
peptide_nm_35,4.18701171875,0
peptide_nm_36,4.322265625,0
peptide_nm_37,6.296875,0
peptide_nm_38,4.079833984375,0
peptide_nm_39,5.3046875,0
peptide_nm_40,3.981201171875,0
peptide_nm_41,9.4794921875,0
peptide_nm_43,10.98046875,0
peptide_nm_44,4.96875,0
peptide_nm_45,5.3408203125,0
peptide_nm_46,5.83154296875,0
peptide_nm_47,10.6060791015625,0
peptide_nm_48,10.708984375,0
peptide_nm_49,4.006103515625,0
peptide_nm_50,8.6923828125,0
peptide_nm_51,12.10009765625,0
peptide_nm_52,10.6796875,0
peptide_nm_53,7.3349609375,0
peptide_nm_54,10.708984375,0
peptide_nm_55,5.03515625,0
peptide_nm_56,4.43505859375,0
peptide_nm_57,6.5,0
peptide_nm_58,8.8125,0
peptide_nm_59,11.14453125,0
peptide_nm_60,7.0859375,0
peptide_nm_61,4.1552734375,0
peptide_nm_62,6.75,0
peptide_nm_63,4.43505859375,0
peptide_nm_64,9.90966796875,0
peptide_nm_65,13.0,0
peptide_nm_66,8.376953125,0
peptide_nm_67,4.83251953125,0
peptide_nm_68,9.5302734375,0
peptide_nm_69,13.7109375,0
peptide_nm_70,10.013671875,0
peptide_nm_71,12.25,0
peptide_nm_72,10.013671875,0
peptide_nm_73,11.84130859375,0
peptide_nm_74,9.650390625,0
peptide_nm_75,12.84375,0
peptide_nm_76,4.17236328125,0
peptide_nm_77,10.98046875,0
peptide_nm_78,6.0576171875,0
peptide_nm_79,10.8544921875,0
peptide_nm_80,9.6748046875,0
peptide_nm_81,9.3046875,0
peptide_nm_82,10.06201171875,0
peptide_nm_83,9.64453125,0
peptide_nm_84,8.8974609375,0
peptide_nm_85,6.3125,0
peptide_nm_86,4.006103515625,0
peptide_nm_87,11.6171875,0
peptide_nm_88,7.703125,0
peptide_nm_89,13.55078125,0
peptide_nm_90,9.83984375,0
peptide_nm_91,4.17236328125,0
peptide_nm_92,11.84130859375,0
peptide_nm_93,13.55078125,0
peptide_nm_94,4.656982421875,0
peptide_nm_95,7.8515625,0
peptide_nm_96,13.70703125,0
peptide_nm_97,10.490234375,0
peptide_nm_98,4.1630859375,0
peptide_nm_99,6.8125,0
peptide_nm_100,6.5,0
peptide_nm_101,10.673583984375,0
peptide_nm_102,9.5810546875,0
peptide_nm_103,7.671875,0
peptide_nm_104,8.6953125,0
peptide_nm_105,4.408203125,0
peptide_nm_106,10.91650390625,0
peptide_nm_107,11.400390625,0
peptide_nm_108,8.0693359375,0
peptide_nm_109,6.8125,0
peptide_nm_110,12.1005859375,0
peptide_nm_111,11.06494140625,0
peptide_nm_112,10.65380859375,0
peptide_nm_113,7.0,0
peptide_nm_114,10.06103515625,0
peptide_nm_115,9.7353515625,0
peptide_nm_116,11.400390625,0
peptide_nm_117,4.626953125,0
peptide_nm_118,10.6796875,0
peptide_nm_119,12.1005859375,0
peptide_nm_120,11.568359375,0
peptide_nm_121,9.5205078125,0
peptide_nm_122,6.06103515625,0
peptide_nm_123,5.173828125,0
peptide_nm_124,13.55859375,0
peptide_nm_125,10.44140625,0
peptide_nm_126,9.7314453125,0
peptide_nm_127,10.013671875,0
peptide_nm_128,6.75,0
peptide_nm_129,3.7099609375,0
peptide_nm_130,3.4248046875,0
peptide_nm_131,10.013671875,0
peptide_nm_132,8.759765625,0
peptide_nm_133,5.232421875,0
peptide_nm_134,9.740234375,0
peptide_nm_135,3.697509765625,0
peptide_nm_136,6.75,0
peptide_nm_137,9.833984375,0
peptide_nm_138,4.04345703125,0
peptide_nm_139,9.887939453125,0
peptide_nm_140,11.572265625,0
peptide_nm_141,10.58203125,0
peptide_nm_142,10.025390625,0
peptide_nm_143,9.58203125,0
peptide_nm_144,12.25,0
peptide_nm_145,3.76318359375,0
peptide_nm_146,3.33984375,0
peptide_nm_147,11.14453125,0
peptide_nm_148,4.322265625,0
peptide_nm_149,11.67578125,0
peptide_nm_150,7.703125,0
peptide_nm_151,5.90625,0
peptide_nm_152,11.572265625,0
peptide_nm_153,10.751953125,0
peptide_nm_154,6.8125,0
peptide_nm_155,10.630859375,0
peptide_nm_156,6.875,0
peptide_nm_157,9.46533203125,0
peptide_nm_158,3.95458984375,0
peptide_nm_159,6.9375,0
peptide_nm_160,9.5283203125,0
peptide_nm_161,3.1083984375,0
peptide_nm_162,10.98681640625,0
peptide_nm_163,4.626953125,0
peptide_nm_164,11.400390625,0
peptide_nm_165,3.537109375,0
peptide_nm_166,4.006103515625,0
peptide_nm_167,8.53369140625,0
peptide_nm_168,6.0,0
peptide_nm_169,9.833984375,0
peptide_nm_170,10.7421875,0
peptide_nm_171,5.302734375,0
peptide_nm_172,6.875,0
peptide_nm_173,10.708984375,0
peptide_nm_174,8.748046875,0
peptide_nm_175,6.8125,0
peptide_nm_176,4.85693359375,0
peptide_nm_177,5.765625,0
peptide_nm_178,7.7109375,0
peptide_nm_179,10.7763671875,0
peptide_nm_180,3.991943359375,0
peptide_nm_181,8.759765625,0
peptide_nm_182,7.0,0
peptide_nm_183,11.4638671875,0
peptide_nm_184,4.04345703125,0
peptide_nm_185,4.244384765625,0
peptide_nm_186,11.4638671875,0
peptide_nm_187,10.7421875,0
peptide_nm_188,7.0,0
peptide_nm_189,4.700927734375,0
peptide_nm_190,12.1298828125,0
peptide_nm_191,10.21728515625,0
peptide_nm_192,13.8125,0
peptide_nm_193,10.94287109375,0
peptide_nm_194,3.482421875,0
peptide_nm_195,9.48291015625,0
peptide_nm_196,5.2626953125,0
peptide_nm_197,11.392578125,0
