,PAAC_Xc1.A,PAAC_Xc1.R,PAAC_Xc1.N,PAAC_Xc1.D,PAAC_Xc1.C,PAAC_Xc1.Q,PAAC_Xc1.E,PAAC_Xc1.G,PAAC_Xc1.H,PAAC_Xc1.I,PAAC_Xc1.L,PAAC_Xc1.K,PAAC_Xc1.M,PAAC_Xc1.F,PAAC_Xc1.P,PAAC_Xc1.S,PAAC_Xc1.T,PAAC_Xc1.W,PAAC_Xc1.Y,PAAC_Xc1.V,PAAC_Xc2.lambda1,PAAC_Xc2.lambda2,PAAC_Xc2.lambda3,y
peptide_nm_1,-0.85632,0.03657,0.52411,0.33052,-0.42851,-0.56687,-0.61951,-0.96038,-0.49941,0.69007,-1.21276,-0.51014,-0.51075,-0.86036,1.20418,1.48789,2.06842,-0.59113,-0.52788,-0.93585,-0.69645,-1.02219,-1.43764,0
peptide_nm_2,-0.85632,-0.03115,-0.63272,0.24245,-0.42851,0.50588,-0.61951,-0.96038,3.19704,-0.18227,-0.75032,-0.12274,-0.51075,0.03061,1.03568,-0.8015,-0.74592,-0.59113,-0.52788,-0.93585,0.52001,-1.0991,0.69127,0
peptide_nm_3,1.76274,0.03041,-0.63272,-0.65651,1.15621,0.60141,0.16794,1.70946,2.18433,0.67706,0.8017,-0.51397,-0.51075,-0.86036,0.25224,-0.8015,-0.74592,-0.59113,-0.52788,1.40805,-0.89099,-1.32394,-0.5912,0
peptide_nm_4,-0.33696,-0.72246,1.64265,0.31419,-0.42851,1.74984,4.06505,0.3632,-0.49941,-0.91171,-0.71342,-0.0542,1.26761,-0.86036,1.17293,-0.051,0.17667,0.80928,-0.52788,-0.16119,-0.56837,-1.2447,-0.6964,0
peptide_nm_5,-0.34924,-0.72246,1.58883,1.23896,-0.42851,1.69504,-0.61951,-0.96038,0.79959,0.62631,0.24982,0.37663,1.22555,-0.86036,-0.68437,0.664,1.05562,-0.59113,1.89681,-0.93585,-0.28265,-0.79526,-0.67857,0
peptide_nm_6,-0.37196,-0.0263,1.48928,1.15402,-0.42851,1.59368,1.56489,-0.96038,1.98217,-0.91171,0.64996,-0.5492,1.14774,0.93407,1.91379,-0.8015,-0.74592,2.02091,-0.52788,0.50904,-0.5408,-0.03651,0.20542,0
peptide_nm_7,-0.39508,0.60342,1.38803,-0.65651,-0.42851,1.49059,0.76727,-0.37265,-0.49941,-0.91171,0.56108,-0.56984,-0.51075,-0.86036,-0.68437,-0.8015,-0.74592,-0.59113,-0.52788,-0.24788,0.82721,1.0506,-0.85923,0
peptide_nm_8,-0.85632,-0.04809,0.39507,0.22042,-0.42851,-0.56687,0.08583,-0.36252,-0.49941,0.5114,-0.76166,-0.56274,-0.51075,-0.86036,-0.68437,-0.1235,0.92102,-0.59113,0.59389,1.16364,0.53121,-0.73577,1.04574,0
peptide_nm_9,-0.85632,0.60713,-0.63272,0.20797,0.27116,-0.56687,-0.61951,-0.37101,-0.49941,-0.91171,1.45544,-0.56868,-0.51075,-0.86036,-0.68437,0.53526,-0.74592,-0.59113,0.57797,-0.24595,0.44584,0.2207,0.42646,0
peptide_nm_10,-0.38592,-0.04636,-0.63272,0.22267,0.28305,-0.56687,-0.61951,-0.96038,-0.49941,-0.91171,-1.21276,0.69839,-0.51075,0.011,-0.68437,0.55799,0.08969,-0.59113,-0.52788,-0.93585,-1.10313,0.40888,1.16519,0
peptide_nm_11,-0.85632,-0.72246,0.39463,-0.65651,-0.42851,0.47915,-0.61951,-0.36277,-0.49941,-0.91171,-0.31094,-0.14415,-0.51075,-0.86036,-0.68437,-0.12378,0.0872,-0.59113,3.95731,-0.93585,0.42061,-0.21654,0.53859,0
peptide_nm_12,0.59099,0.66434,0.42408,1.14685,-0.42851,-0.56687,0.83099,0.2691,0.73646,-0.91171,-0.28509,-0.55091,1.14118,1.82063,-0.68437,1.28993,1.82507,-0.59113,-0.52788,-0.93585,0.08017,-0.44998,0.23376,0
peptide_nm_13,-0.35445,0.7202,-0.63272,1.21948,-0.42851,1.6718,0.88941,1.59761,2.07189,-0.91171,-0.73024,0.36267,-0.51075,0.0693,0.213,1.37416,2.82014,-0.59113,-0.52788,-0.18728,-0.39948,-0.77216,-0.23751,0
peptide_nm_14,1.17721,-0.72246,1.59455,0.29367,-0.42851,-0.56687,0.14475,-0.31258,-0.49941,-0.91171,0.25359,-0.07381,1.23002,-0.86036,0.22465,-0.06686,0.15717,-0.59113,-0.52788,-0.17756,0.04853,-1.45063,-0.29655,0
peptide_nm_15,0.78397,-0.72246,0.56499,0.3654,-0.42851,-0.56687,-0.61951,3.21986,2.30192,-0.91171,-1.21276,-0.00527,-0.51075,0.15246,2.24856,-0.8015,1.19662,-0.59113,-0.52788,0.69522,-1.90991,-1.57157,-0.86965,0
peptide_nm_16,-0.85632,-0.72246,-0.63272,1.26692,-0.42851,0.58077,2.47464,-0.30471,0.81875,-0.13135,0.2714,-0.98168,-0.51075,-0.86036,1.15575,-0.05794,0.16814,-0.59113,0.70235,-0.16835,-0.19853,-0.73449,-1.34437,0
peptide_nm_17,3.28782,-0.72246,5.04099,0.31167,-0.42851,0.58848,0.93797,1.67993,2.15464,0.65949,-0.21667,3.18116,3.03677,1.05879,10.43057,7.43265,2.01469,0.80566,0.71062,3.70009,-1.31837,-0.65352,-0.59174,0
peptide_nm_18,-0.85632,-0.72246,0.4923,1.26327,0.34838,0.57859,0.15256,-0.30596,-0.49941,-0.91171,0.26858,-0.98168,-0.51075,-0.86036,-0.68437,0.6828,-0.74592,-0.59113,0.70002,-0.93585,-0.55636,-0.61753,-1.0719,0
peptide_nm_19,1.18161,0.00982,0.48333,-0.65651,-0.42851,0.56945,0.1464,-0.96038,-0.49941,-0.13905,-0.72292,0.38307,2.97833,-0.86036,1.1376,-0.8015,-0.74592,-0.59113,-0.52788,0.58401,-0.79959,-0.52059,-0.6734,0
peptide_nm_20,0.04539,0.57355,1.34251,0.18614,-0.42851,-0.56687,1.4138,0.1886,-0.49941,-0.91171,-0.77929,-0.57911,-0.51075,-0.86036,0.12178,-0.8015,-0.74592,-0.59113,0.55004,1.08158,0.94198,-0.69793,1.85323,0
peptide_nm_21,0.28216,-0.72246,1.86117,-0.65651,-0.42851,-0.56687,-0.61951,1.21566,-0.49941,-0.91171,0.97641,-0.98168,1.4384,-0.86036,-0.68437,0.84365,2.28766,-0.59113,-0.52788,-0.08679,-1.76266,-2.40395,-1.54015,0
peptide_nm_22,-0.38276,-0.72246,0.40463,1.11366,-0.42851,-0.56687,-0.61951,2.66018,-0.49941,0.52464,-0.75746,-0.55884,-0.51075,-0.86036,-0.68437,-0.11719,0.09531,0.68578,-0.52788,0.47684,-0.16588,-0.15523,0.72207,0
peptide_nm_23,0.1747,-0.72246,-0.63272,1.27047,-0.42851,-0.56687,0.15546,-0.3035,-0.49941,-0.91171,-1.21276,-0.06109,-0.51075,0.09457,-0.68437,1.4333,2.00132,-0.59113,0.70462,0.60198,-0.19904,-1.7091,-0.23006,0
