,Hydrophobic,y
peptide_nm_1,0.1428571428571428,0
peptide_nm_2,0.2307692307692307,0
peptide_nm_3,0.5925925925925926,0
peptide_nm_4,0.1666666666666666,0
peptide_nm_5,0.3043478260869565,0
peptide_nm_6,0.3571428571428571,0
peptide_nm_7,0.375,0
peptide_nm_8,0.375,0
peptide_nm_9,0.5,0
peptide_nm_10,0.25,0
peptide_nm_11,0.1538461538461538,0
peptide_nm_12,0.3461538461538461,0
peptide_nm_13,0.1379310344827586,0
peptide_nm_14,0.4736842105263157,0
peptide_nm_15,0.2608695652173913,0
peptide_nm_16,0.2631578947368421,0
peptide_nm_17,0.2972972972972973,0
peptide_nm_18,0.3076923076923077,0
peptide_nm_19,0.5263157894736842,0
peptide_nm_20,0.3157894736842105,0
peptide_nm_21,0.4444444444444444,0
peptide_nm_22,0.3157894736842105,0
peptide_nm_23,0.2777777777777778,0
peptide_nm_24,0.4444444444444444,0
peptide_nm_25,0.0,0
peptide_nm_26,0.2857142857142857,0
peptide_nm_27,0.2142857142857142,0
peptide_nm_28,0.5,0
peptide_nm_29,0.1666666666666666,0
peptide_nm_30,0.3125,0
peptide_nm_31,0.3529411764705882,0
peptide_nm_32,0.3333333333333333,0
peptide_nm_33,0.6153846153846154,0
peptide_nm_34,0.4285714285714285,0
peptide_nm_35,0.25,0
peptide_nm_36,0.25,0
peptide_nm_37,0.4893617021276595,0
peptide_nm_38,0.3703703703703703,0
peptide_nm_39,0.4210526315789473,0
peptide_nm_40,0.2307692307692307,0
peptide_nm_41,0.3214285714285714,0
peptide_nm_43,0.3333333333333333,0
peptide_nm_44,0.5555555555555556,0
peptide_nm_45,0.4827586206896552,0
peptide_nm_46,0.35,0
peptide_nm_47,0.34,0
peptide_nm_48,0.3846153846153846,0
peptide_nm_49,0.375,0
peptide_nm_50,0.2727272727272727,0
peptide_nm_51,0.3333333333333333,0
peptide_nm_52,0.6111111111111112,0
peptide_nm_53,0.4583333333333333,0
peptide_nm_54,0.6666666666666666,0
peptide_nm_55,0.4705882352941176,0
peptide_nm_56,0.4137931034482758,0
peptide_nm_57,0.3333333333333333,0
peptide_nm_58,0.3846153846153846,0
peptide_nm_59,0.6666666666666666,0
peptide_nm_60,0.53125,0
peptide_nm_61,0.3333333333333333,0
peptide_nm_62,0.4545454545454545,0
peptide_nm_63,0.2631578947368421,0
peptide_nm_64,0.2692307692307692,0
peptide_nm_65,0.3888888888888889,0
peptide_nm_66,0.3478260869565217,0
peptide_nm_67,0.1904761904761904,0
peptide_nm_68,0.25,0
peptide_nm_69,0.5862068965517241,0
peptide_nm_70,0.4166666666666667,0
peptide_nm_71,0.5454545454545454,0
peptide_nm_72,0.5,0
peptide_nm_73,0.2777777777777778,0
peptide_nm_74,0.3571428571428571,0
peptide_nm_75,0.2727272727272727,0
peptide_nm_76,0.3888888888888889,0
peptide_nm_77,0.3846153846153846,0
peptide_nm_78,0.5238095238095238,0
peptide_nm_79,0.4193548387096774,0
peptide_nm_80,0.4444444444444444,0
peptide_nm_81,0.3859649122807017,0
peptide_nm_82,0.2413793103448276,0
peptide_nm_83,0.4074074074074074,0
peptide_nm_84,0.4285714285714285,0
peptide_nm_85,0.238095238095238,0
peptide_nm_86,0.4137931034482758,0
peptide_nm_87,0.303030303030303,0
peptide_nm_88,0.4615384615384615,0
peptide_nm_89,0.5,0
peptide_nm_90,0.3846153846153846,0
peptide_nm_91,0.4210526315789473,0
peptide_nm_92,0.3888888888888889,0
peptide_nm_93,0.8095238095238095,0
peptide_nm_94,0.2857142857142857,0
peptide_nm_95,0.4347826086956521,0
peptide_nm_96,0.3076923076923077,0
peptide_nm_97,0.5625,0
peptide_nm_98,0.5714285714285714,0
peptide_nm_99,0.4285714285714285,0
peptide_nm_100,0.3076923076923077,0
peptide_nm_101,0.3214285714285714,0
peptide_nm_102,0.3214285714285714,0
peptide_nm_103,0.4615384615384615,0
peptide_nm_104,0.5652173913043478,0
peptide_nm_105,0.2307692307692307,0
peptide_nm_106,0.3846153846153846,0
peptide_nm_107,0.3571428571428571,0
peptide_nm_108,0.238095238095238,0
peptide_nm_109,0.4615384615384615,0
peptide_nm_110,0.5555555555555556,0
peptide_nm_111,0.3333333333333333,0
peptide_nm_112,0.4074074074074074,0
peptide_nm_113,0.375,0
peptide_nm_114,0.4285714285714285,0
peptide_nm_115,0.4736842105263157,0
peptide_nm_116,0.3846153846153846,0
peptide_nm_117,0.5,0
peptide_nm_118,0.4545454545454545,0
peptide_nm_119,0.1666666666666666,0
peptide_nm_120,0.2727272727272727,0
peptide_nm_121,0.4444444444444444,0
peptide_nm_122,0.3846153846153846,0
peptide_nm_123,0.1176470588235294,0
peptide_nm_124,0.4166666666666667,0
peptide_nm_125,0.3125,0
peptide_nm_126,0.4090909090909091,0
peptide_nm_127,0.2727272727272727,0
peptide_nm_128,0.25,0
peptide_nm_129,0.2142857142857142,0
peptide_nm_130,0.2727272727272727,0
peptide_nm_131,0.4444444444444444,0
peptide_nm_132,0.5,0
peptide_nm_133,0.4117647058823529,0
peptide_nm_134,0.7272727272727273,0
peptide_nm_135,0.3684210526315789,0
peptide_nm_136,0.4285714285714285,0
peptide_nm_137,0.4074074074074074,0
peptide_nm_138,0.1538461538461538,0
peptide_nm_139,0.4444444444444444,0
peptide_nm_140,0.4705882352941176,0
peptide_nm_141,0.5217391304347826,0
peptide_nm_142,0.3076923076923077,0
peptide_nm_143,0.3125,0
peptide_nm_144,0.5833333333333334,0
peptide_nm_145,0.3793103448275862,0
peptide_nm_146,0.4285714285714285,0
peptide_nm_147,0.2941176470588235,0
peptide_nm_148,0.375,0
peptide_nm_149,0.4615384615384615,0
peptide_nm_150,0.2777777777777778,0
peptide_nm_151,0.3571428571428571,0
peptide_nm_152,0.25,0
peptide_nm_153,0.4482758620689655,0
peptide_nm_154,0.4444444444444444,0
peptide_nm_155,0.3333333333333333,0
peptide_nm_156,0.3333333333333333,0
peptide_nm_157,0.2631578947368421,0
peptide_nm_158,0.2413793103448276,0
peptide_nm_159,0.4242424242424242,0
peptide_nm_160,0.4516129032258064,0
peptide_nm_161,0.0,0
peptide_nm_162,0.5,0
peptide_nm_163,0.3076923076923077,0
peptide_nm_164,0.4347826086956521,0
peptide_nm_165,0.5833333333333334,0
peptide_nm_166,0.34375,0
peptide_nm_167,0.4074074074074074,0
peptide_nm_168,0.4642857142857143,0
peptide_nm_169,0.2222222222222222,0
peptide_nm_170,0.3636363636363636,0
peptide_nm_171,0.4642857142857143,0
peptide_nm_172,0.5714285714285714,0
peptide_nm_173,0.5454545454545454,0
peptide_nm_174,0.5,0
peptide_nm_175,0.4705882352941176,0
peptide_nm_176,0.391304347826087,0
peptide_nm_177,0.5,0
peptide_nm_178,0.5,0
peptide_nm_179,0.0714285714285714,0
peptide_nm_180,0.3518518518518518,0
peptide_nm_181,0.75,0
peptide_nm_182,0.4375,0
