,Length,y
Neg_446,31.0,0
Neg_2228,68.0,0
Neg_2386,39.0,0
Neg_2835,52.0,0
Neg_2149,66.0,0
Neg_2248,42.0,0
Neg_2739,88.0,0
Neg_2580,29.0,0
Neg_2765,80.0,0
Neg_939,50.0,0
Neg_1859,28.0,0
Neg_1088,56.0,0
Neg_448,67.0,0
Neg_2831,89.0,0
Neg_358,55.0,0
Neg_2287,54.0,0
Neg_2597,36.0,0
Neg_2648,99.0,0
Neg_152,67.0,0
Neg_2086,37.0,0
Neg_966,45.0,0
Neg_2081,82.0,0
Neg_2579,47.0,0
Neg_542,86.0,0
Neg_270,74.0,0
Neg_447,21.0,0
Neg_2242,65.0,0
Neg_1615,30.0,0
Neg_103,41.0,0
Neg_1048,45.0,0
Neg_628,25.0,0
Neg_2169,43.0,0
Neg_599,92.0,0
Neg_2490,29.0,0
Neg_62,81.0,0
Neg_1129,76.0,0
Neg_190,13.0,0
Neg_1522,73.0,0
Neg_165,65.0,0
Neg_1152,48.0,0
Neg_217,48.0,0
Neg_1140,46.0,0
Neg_2378,45.0,0
Neg_1569,82.0,0
Neg_662,24.0,0
Neg_688,55.0,0
Neg_541,15.0,0
Neg_624,27.0,0
Neg_2108,59.0,0
Neg_2808,74.0,0
Neg_2794,47.0,0
Neg_2286,83.0,0
Neg_373,93.0,0
Neg_2612,78.0,0
Neg_937,81.0,0
Neg_1345,61.0,0
Neg_2671,91.0,0
Neg_2855,22.0,0
Neg_279,77.0,0
Neg_706,87.0,0
Neg_2921,49.0,0
Neg_994,39.0,0
Neg_2453,23.0,0
Neg_2074,28.0,0
Neg_1803,24.0,0
Neg_653,35.0,0
Neg_1943,29.0,0
Neg_1283,49.0,0
Neg_1383,26.0,0
Neg_325,69.0,0
Neg_2702,85.0,0
Neg_2180,54.0,0
Neg_585,47.0,0
Neg_2047,47.0,0
Neg_2392,21.0,0
Neg_919,12.0,0
Neg_2566,89.0,0
Neg_404,30.0,0
Neg_953,62.0,0
Neg_1257,62.0,0
Neg_1680,41.0,0
Neg_1098,13.0,0
Neg_1404,21.0,0
Neg_79,48.0,0
Neg_2483,34.0,0
Neg_2866,13.0,0
Neg_133,88.0,0
Neg_1514,32.0,0
Neg_1790,34.0,0
Neg_2219,68.0,0
Neg_2758,82.0,0
Neg_621,35.0,0
Neg_904,12.0,0
Neg_736,31.0,0
Neg_431,67.0,0
Neg_2469,31.0,0
Neg_2895,83.0,0
Neg_202,63.0,0
Neg_478,34.0,0
Neg_1929,81.0,0
Neg_1179,18.0,0
Neg_116,89.0,0
Neg_2854,40.0,0
Neg_2229,37.0,0
Neg_301,28.0,0
Neg_2264,58.0,0
Neg_58,34.0,0
Neg_37,35.0,0
Neg_1299,11.0,0
Neg_2238,46.0,0
Neg_1065,81.0,0
Neg_2393,85.0,0
Neg_1063,70.0,0
Neg_2681,37.0,0
Neg_1206,68.0,0
Neg_926,19.0,0
Neg_1834,12.0,0
Neg_219,49.0,0
Neg_1051,85.0,0
Neg_2732,18.0,0
Neg_22,20.0,0
Neg_2672,55.0,0
Neg_1925,82.0,0
Neg_1046,34.0,0
Neg_2602,51.0,0
Neg_2626,61.0,0
Neg_664,81.0,0
Neg_1033,86.0,0
Neg_1541,84.0,0
Neg_352,54.0,0
Neg_2763,63.0,0
Neg_2198,85.0,0
Neg_260,24.0,0
Neg_743,47.0,0
Neg_1798,32.0,0
Neg_805,78.0,0
Neg_2446,93.0,0
Neg_1456,19.0,0
Neg_853,14.0,0
Neg_1866,40.0,0
Neg_1972,88.0,0
Neg_1250,100.0,0
Neg_2893,81.0,0
Neg_415,36.0,0
Neg_2440,23.0,0
Neg_1947,33.0,0
Neg_2296,76.0,0
Neg_1491,100.0,0
Neg_1592,64.0,0
Neg_833,54.0,0
Neg_2254,16.0,0
Neg_2786,79.0,0
Neg_1307,75.0,0
Neg_1022,22.0,0
Neg_2289,37.0,0
Neg_2564,37.0,0
Neg_1131,67.0,0
Neg_2814,56.0,0
Neg_2346,31.0,0
Neg_2538,64.0,0
Neg_503,36.0,0
Neg_614,39.0,0
Neg_2227,40.0,0
Neg_1977,69.0,0
Neg_1151,71.0,0
Neg_2315,50.0,0
Neg_1180,68.0,0
Neg_308,41.0,0
Neg_1426,56.0,0
Neg_12,100.0,0
Neg_506,70.0,0
Neg_136,78.0,0
Neg_378,29.0,0
Neg_2058,36.0,0
Neg_2336,52.0,0
Neg_2220,86.0,0
Neg_262,23.0,0
Neg_1888,56.0,0
Neg_2552,51.0,0
Neg_1340,96.0,0
Neg_1753,41.0,0
Neg_941,96.0,0
Neg_689,42.0,0
Neg_403,100.0,0
Neg_2524,70.0,0
Neg_1006,58.0,0
Neg_89,28.0,0
Neg_1956,63.0,0
Neg_2723,58.0,0
Neg_34,62.0,0
Neg_757,29.0,0
Neg_1170,17.0,0
Neg_1405,82.0,0
Neg_1634,58.0,0
Neg_835,97.0,0
Neg_1809,82.0,0
Neg_296,71.0,0
Neg_1989,86.0,0
Neg_636,91.0,0
Neg_1350,43.0,0
Neg_160,12.0,0
Neg_1524,41.0,0
Neg_836,98.0,0
Neg_1885,52.0,0
Neg_1723,97.0,0
Neg_1139,71.0,0
Neg_531,46.0,0
Neg_131,90.0,0
Neg_226,77.0,0
Neg_2031,72.0,0
Neg_1050,57.0,0
Neg_2215,26.0,0
Neg_1008,45.0,0
Neg_755,19.0,0
Neg_1309,21.0,0
Neg_1348,54.0,0
Neg_2829,18.0,0
Neg_1281,31.0,0
Neg_2879,15.0,0
Neg_2182,84.0,0
