,SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y,y
peptide_nm_1,0.0,0.0,-0.272,0.0,0.0,0.0,0.0,-0.401,-0.272,0.0,0.0,-0.272,-0.401,0.0,-0.272,-0.476,-0.476,0.0,0.0,0.0,0
peptide_nm_2,0.0,0.0,-0.285,0.0,-0.285,0.0,-0.488,-0.285,-0.415,-0.285,0.0,0.0,-0.415,-0.285,-0.285,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_3,-0.451,-0.278,0.0,-0.176,0.0,-0.408,-0.278,-0.278,-0.176,-0.408,0.0,0.0,-0.176,-0.176,-0.176,0.0,0.0,-0.352,0.0,0.0,0
peptide_nm_4,-0.191,0.0,-0.191,-0.5,0.0,-0.299,0.0,0.0,-0.299,-0.191,-0.191,-0.299,-0.299,-0.299,0.0,-0.191,-0.191,-0.191,-0.191,0.0,0
peptide_nm_5,-0.197,0.0,-0.306,0.0,0.0,0.0,-0.197,-0.306,-0.383,-0.383,-0.197,-0.306,0.0,-0.306,0.0,-0.306,-0.306,0.0,0.0,-0.306,0
peptide_nm_6,-0.172,0.0,-0.272,-0.345,-0.272,0.0,-0.272,0.0,-0.172,-0.401,-0.172,-0.272,-0.345,-0.272,-0.172,0.0,0.0,-0.272,-0.272,0.0,0
peptide_nm_7,-0.25,0.0,0.0,-0.375,0.0,-0.25,0.0,0.0,-0.25,-0.5,0.0,-0.375,0.0,-0.375,-0.375,0.0,0.0,-0.25,0.0,0.0,0
peptide_nm_8,0.0,0.0,-0.25,-0.25,0.0,-0.25,0.0,-0.375,-0.25,-0.25,0.0,-0.25,0.0,0.0,-0.25,-0.25,-0.375,-0.453,0.0,-0.25,0
peptide_nm_9,0.0,-0.25,-0.25,0.0,0.0,-0.25,0.0,0.0,-0.25,-0.531,0.0,0.0,0.0,0.0,-0.375,-0.375,0.0,-0.25,0.0,-0.25,0
peptide_nm_10,-0.299,-0.299,-0.299,0.0,-0.299,0.0,0.0,0.0,-0.528,0.0,0.0,0.0,0.0,0.0,-0.299,-0.431,-0.299,0.0,0.0,0.0,0
peptide_nm_11,0.0,0.0,0.0,0.0,0.0,-0.285,0.0,0.0,-0.415,-0.415,0.0,-0.285,0.0,-0.285,0.0,-0.285,-0.285,0.0,0.0,-0.523,0
peptide_nm_12,-0.359,0.0,-0.285,-0.285,-0.359,-0.285,-0.181,0.0,-0.181,-0.285,-0.181,-0.181,0.0,0.0,-0.285,-0.359,-0.359,0.0,0.0,0.0,0
peptide_nm_13,-0.168,0.0,-0.266,-0.266,-0.168,-0.394,-0.266,0.0,-0.339,-0.168,0.0,0.0,-0.168,-0.266,-0.266,-0.339,-0.394,-0.168,0.0,0.0,0
peptide_nm_14,-0.473,0.0,-0.224,-0.224,0.0,-0.224,0.0,0.0,-0.342,-0.42,-0.224,-0.342,-0.224,0.0,0.0,-0.224,-0.224,-0.224,0.0,0.0,0
peptide_nm_15,-0.383,0.0,-0.197,0.0,-0.197,-0.506,-0.306,0.0,-0.306,0.0,0.0,-0.197,-0.383,0.0,0.0,0.0,-0.306,-0.306,0.0,0.0,0
peptide_nm_16,0.0,0.0,-0.342,-0.473,0.0,-0.224,-0.224,-0.224,0.0,-0.42,0.0,0.0,-0.342,-0.224,0.0,-0.224,-0.224,-0.224,0.0,-0.224,0
peptide_nm_17,-0.347,0.0,-0.084,-0.141,-0.141,-0.228,-0.141,-0.141,-0.37,-0.141,-0.141,-0.263,-0.426,-0.084,0.0,-0.409,-0.187,-0.294,-0.084,-0.084,0
peptide_nm_18,0.0,-0.285,-0.415,-0.285,0.0,-0.285,0.0,0.0,0.0,-0.488,0.0,-0.285,0.0,-0.285,0.0,-0.415,0.0,0.0,0.0,-0.285,0
peptide_nm_19,-0.473,0.0,0.0,-0.224,0.0,0.0,0.0,-0.224,-0.42,-0.224,-0.342,-0.224,-0.342,-0.224,-0.224,0.0,0.0,-0.342,0.0,0.0,0
peptide_nm_20,-0.342,0.0,-0.224,-0.42,0.0,-0.342,0.0,0.0,-0.224,-0.224,0.0,-0.342,-0.224,0.0,-0.342,0.0,0.0,-0.42,0.0,-0.224,0
peptide_nm_21,-0.352,0.0,0.0,0.0,0.0,-0.431,0.0,0.0,0.0,-0.482,-0.232,-0.352,0.0,0.0,0.0,-0.352,-0.431,-0.232,0.0,0.0,0
peptide_nm_22,-0.224,0.0,-0.342,0.0,0.0,-0.525,0.0,-0.342,-0.224,-0.224,0.0,-0.224,0.0,0.0,0.0,-0.224,-0.224,-0.342,-0.224,0.0,0
peptide_nm_23,-0.352,0.0,-0.352,-0.232,-0.232,-0.232,0.0,0.0,-0.352,0.0,0.0,0.0,0.0,0.0,0.0,-0.431,-0.431,-0.352,0.0,-0.232,0
peptide_nm_24,-0.352,0.0,0.0,-0.352,-0.232,0.0,0.0,-0.352,0.0,-0.352,0.0,0.0,0.0,-0.352,-0.232,-0.431,-0.232,-0.232,0.0,-0.232,0
peptide_nm_25,0.0,0.0,-0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.464,0.0,-0.464,0.0,0.0,0.0,0.0,-0.529,0
peptide_nm_26,0.0,0.0,-0.516,-0.401,-0.272,0.0,0.0,-0.272,0.0,-0.272,0.0,-0.272,0.0,0.0,0.0,-0.272,0.0,-0.272,-0.272,-0.272,0
peptide_nm_27,0.0,0.0,-0.401,0.0,-0.272,-0.272,0.0,-0.401,-0.401,0.0,0.0,0.0,-0.272,-0.272,0.0,-0.401,-0.401,0.0,0.0,0.0,0
peptide_nm_28,-0.232,0.0,-0.232,0.0,0.0,-0.232,0.0,-0.232,-0.352,-0.431,-0.232,-0.352,-0.232,0.0,0.0,-0.352,0.0,-0.431,0.0,0.0,0
peptide_nm_29,-0.232,0.0,-0.352,-0.352,0.0,0.0,0.0,-0.232,-0.482,-0.232,0.0,-0.232,0.0,-0.232,-0.352,-0.232,-0.232,0.0,0.0,-0.232,0
peptide_nm_30,-0.375,-0.25,-0.25,0.0,-0.25,-0.375,0.0,0.0,0.0,-0.25,0.0,-0.375,-0.25,0.0,-0.375,0.0,-0.375,0.0,0.0,-0.25,0
peptide_nm_31,-0.15,-0.15,-0.309,0.0,-0.24,-0.363,0.0,-0.363,-0.363,-0.24,0.0,0.0,-0.309,0.0,-0.15,-0.309,-0.309,-0.24,0.0,-0.15,0
peptide_nm_32,-0.299,-0.299,0.0,-0.299,0.0,-0.431,0.0,0.0,-0.299,-0.299,0.0,-0.431,-0.299,0.0,0.0,0.0,0.0,-0.299,0.0,-0.299,0
peptide_nm_33,-0.523,0.0,-0.285,-0.285,0.0,0.0,0.0,-0.285,-0.285,-0.415,0.0,0.0,0.0,-0.285,-0.285,0.0,0.0,-0.285,0.0,0.0,0
peptide_nm_34,0.0,0.0,-0.401,0.0,0.0,0.0,0.0,0.0,0.0,-0.401,0.0,0.0,0.0,0.0,0.0,0.0,-0.524,-0.516,0.0,0.0,0
peptide_nm_35,-0.375,-0.25,-0.5,0.0,0.0,-0.25,0.0,0.0,-0.25,-0.25,0.0,0.0,-0.25,0.0,-0.25,-0.25,-0.375,0.0,0.0,-0.25,0
peptide_nm_36,0.0,0.0,-0.299,-0.431,-0.299,0.0,0.0,-0.431,0.0,0.0,0.0,-0.299,0.0,0.0,-0.299,-0.5,-0.299,0.0,0.0,0.0,0
peptide_nm_37,-0.344,-0.118,-0.253,-0.118,-0.118,-0.379,0.0,-0.303,-0.194,-0.379,-0.194,-0.303,-0.194,0.0,-0.118,-0.253,-0.194,-0.303,0.0,0.0,0
peptide_nm_38,-0.278,-0.408,-0.176,-0.451,0.0,-0.176,0.0,-0.176,-0.176,-0.278,-0.176,0.0,0.0,-0.176,-0.176,-0.408,-0.278,0.0,0.0,-0.176,0
peptide_nm_39,-0.224,0.0,-0.224,-0.342,0.0,-0.224,-0.224,-0.224,-0.224,-0.342,-0.224,-0.42,-0.224,0.0,0.0,0.0,0.0,-0.42,0.0,-0.224,0
peptide_nm_40,-0.359,-0.181,-0.359,-0.457,-0.181,-0.359,-0.359,-0.181,0.0,0.0,0.0,0.0,-0.285,-0.181,0.0,-0.285,-0.181,0.0,0.0,0.0,0
peptide_nm_41,-0.172,0.0,-0.401,-0.345,-0.272,0.0,0.0,-0.172,-0.401,-0.345,-0.272,0.0,-0.172,-0.172,-0.345,-0.272,0.0,0.0,0.0,-0.172,0
peptide_nm_43,-0.299,0.0,-0.299,0.0,-0.431,-0.299,-0.299,0.0,0.0,0.0,0.0,0.0,-0.299,0.0,-0.431,0.0,0.0,-0.299,-0.299,-0.299,0
peptide_nm_44,-0.482,0.0,-0.431,0.0,-0.352,0.0,-0.352,0.0,0.0,-0.352,-0.232,0.0,-0.232,-0.352,0.0,0.0,0.0,-0.232,0.0,0.0,0
peptide_nm_45,-0.394,0.0,-0.266,-0.266,-0.168,-0.168,-0.168,-0.394,-0.168,-0.266,-0.168,0.0,-0.394,-0.266,-0.168,-0.168,0.0,-0.266,0.0,0.0,0
peptide_nm_46,-0.362,0.0,-0.332,-0.299,-0.098,-0.26,-0.216,-0.26,-0.362,-0.299,-0.098,-0.098,-0.098,-0.26,-0.098,-0.299,-0.098,-0.216,0.0,-0.098,0
peptide_nm_47,-0.186,0.0,-0.332,-0.244,0.0,-0.186,0.0,-0.332,-0.445,-0.397,-0.113,-0.292,0.0,-0.113,-0.292,-0.244,-0.113,-0.186,0.0,-0.113,0
peptide_nm_48,-0.415,0.0,-0.285,0.0,0.0,-0.285,0.0,-0.285,-0.415,-0.285,0.0,-0.285,0.0,0.0,0.0,-0.415,-0.285,-0.285,0.0,0.0,0
peptide_nm_49,-0.375,0.0,-0.375,-0.5,0.0,-0.25,0.0,-0.25,0.0,-0.25,0.0,-0.25,0.0,0.0,-0.375,0.0,0.0,-0.375,0.0,0.0,0
peptide_nm_50,-0.203,-0.203,-0.314,-0.203,-0.203,-0.392,0.0,0.0,-0.203,-0.392,0.0,0.0,-0.314,-0.203,-0.314,-0.203,-0.314,0.0,0.0,-0.203,0
peptide_nm_51,-0.278,0.0,0.0,-0.278,-0.278,-0.176,-0.176,-0.176,0.0,-0.408,0.0,-0.278,0.0,-0.451,-0.408,0.0,-0.352,0.0,0.0,0.0,0
peptide_nm_52,-0.352,0.0,-0.232,-0.232,-0.352,-0.352,0.0,-0.482,-0.352,-0.431,0.0,0.0,0.0,0.0,-0.232,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_53,-0.191,-0.191,0.0,-0.299,-0.299,-0.191,-0.375,-0.191,0.0,-0.375,-0.191,0.0,-0.191,0.0,-0.191,-0.299,-0.299,-0.299,0.0,-0.191,0
peptide_nm_54,-0.528,0.0,0.0,-0.299,-0.299,0.0,0.0,-0.299,-0.431,-0.431,0.0,0.0,0.0,0.0,0.0,-0.299,0.0,0.0,0.0,0.0,0
peptide_nm_55,-0.442,0.0,-0.363,0.0,-0.24,-0.24,-0.24,0.0,0.0,-0.442,0.0,0.0,-0.363,0.0,0.0,-0.24,-0.363,-0.24,0.0,0.0,0
peptide_nm_56,-0.266,0.0,-0.266,-0.266,-0.266,-0.339,0.0,-0.339,0.0,-0.266,0.0,0.0,-0.168,-0.266,-0.266,-0.266,-0.266,-0.339,-0.168,0.0,0
peptide_nm_57,-0.299,0.0,-0.299,0.0,0.0,-0.431,0.0,-0.299,0.0,-0.431,0.0,-0.5,-0.299,0.0,0.0,-0.299,0.0,0.0,0.0,0.0,0
peptide_nm_58,-0.181,-0.285,-0.285,-0.181,0.0,-0.285,-0.181,0.0,-0.359,-0.359,0.0,0.0,0.0,0.0,-0.181,-0.285,-0.285,-0.415,0.0,-0.285,0
peptide_nm_59,-0.528,0.0,0.0,0.0,-0.232,0.0,0.0,-0.232,0.0,-0.431,0.0,-0.232,-0.232,-0.232,-0.232,-0.232,0.0,-0.232,0.0,-0.232,0
peptide_nm_60,-0.32,-0.25,-0.32,-0.156,-0.156,-0.156,-0.25,-0.156,-0.25,-0.418,-0.156,-0.156,-0.156,0.0,-0.156,-0.25,-0.156,-0.375,0.0,0.0,0
peptide_nm_61,-0.375,0.0,-0.299,-0.471,-0.191,-0.191,-0.191,-0.191,0.0,-0.191,0.0,0.0,-0.191,-0.299,-0.299,-0.191,-0.191,-0.299,0.0,0.0,0
peptide_nm_62,-0.447,0.0,0.0,-0.314,0.0,-0.314,0.0,0.0,0.0,-0.447,0.0,0.0,-0.314,-0.447,0.0,-0.314,0.0,-0.314,0.0,0.0,0
peptide_nm_63,-0.342,0.0,-0.342,-0.342,0.0,0.0,0.0,0.0,-0.224,-0.42,0.0,-0.224,-0.224,-0.224,-0.224,-0.342,-0.342,0.0,-0.224,0.0,0
peptide_nm_64,0.0,0.0,-0.181,-0.181,-0.285,-0.285,-0.181,-0.285,-0.359,-0.285,-0.181,-0.359,-0.181,0.0,0.0,-0.359,-0.181,0.0,-0.181,-0.285,0
peptide_nm_65,-0.232,0.0,0.0,0.0,-0.232,-0.232,-0.352,-0.232,-0.352,-0.232,0.0,-0.352,0.0,-0.352,0.0,-0.352,0.0,-0.431,0.0,0.0,0
peptide_nm_66,-0.197,-0.383,-0.306,0.0,-0.197,-0.197,0.0,-0.383,-0.306,0.0,0.0,-0.439,-0.306,0.0,-0.197,-0.306,-0.197,0.0,0.0,0.0,0
peptide_nm_67,-0.209,0.0,-0.323,-0.493,-0.209,-0.323,0.0,-0.209,-0.323,0.0,-0.209,0.0,-0.209,0.0,-0.401,0.0,0.0,0.0,-0.209,-0.209,0
peptide_nm_68,0.0,0.0,-0.375,-0.25,0.0,-0.25,-0.25,0.0,-0.453,0.0,-0.25,0.0,-0.375,0.0,0.0,0.0,-0.25,-0.453,0.0,-0.25,0
peptide_nm_69,-0.513,0.0,0.0,0.0,-0.266,-0.266,-0.168,-0.394,-0.168,-0.168,-0.168,0.0,-0.168,-0.168,-0.266,-0.266,-0.168,-0.168,-0.168,0.0,0
peptide_nm_70,-0.299,0.0,-0.299,-0.299,0.0,0.0,0.0,-0.431,-0.299,-0.299,0.0,-0.299,0.0,0.0,-0.299,0.0,-0.431,-0.299,0.0,0.0,0
peptide_nm_71,-0.314,0.0,0.0,0.0,-0.314,0.0,0.0,0.0,0.0,-0.531,0.0,0.0,0.0,-0.447,0.0,-0.447,-0.314,0.0,0.0,0.0,0
peptide_nm_72,-0.232,0.0,-0.232,-0.232,0.0,-0.232,-0.232,-0.431,-0.232,-0.352,-0.352,0.0,0.0,-0.232,-0.232,-0.352,0.0,-0.232,0.0,0.0,0
peptide_nm_73,-0.232,0.0,-0.232,-0.232,0.0,-0.232,-0.232,-0.352,-0.232,-0.352,0.0,-0.232,0.0,-0.232,-0.431,0.0,-0.431,0.0,0.0,0.0,0
peptide_nm_74,0.0,0.0,-0.272,0.0,-0.401,0.0,-0.272,-0.401,-0.272,-0.272,0.0,-0.401,-0.401,0.0,0.0,-0.272,0.0,0.0,0.0,-0.272,0
peptide_nm_75,0.0,0.0,0.0,0.0,-0.314,0.0,-0.314,-0.314,-0.314,0.0,0.0,-0.314,-0.314,-0.447,0.0,0.0,-0.314,-0.314,-0.314,0.0,0
peptide_nm_76,-0.232,0.0,-0.352,-0.232,-0.431,-0.232,0.0,-0.232,-0.232,0.0,-0.352,0.0,-0.352,-0.232,0.0,-0.352,0.0,0.0,0.0,-0.232,0
peptide_nm_77,-0.415,0.0,-0.181,0.0,0.0,-0.285,-0.415,0.0,0.0,-0.457,-0.181,-0.285,0.0,-0.181,-0.285,-0.181,-0.181,0.0,-0.181,-0.181,0
peptide_nm_78,-0.323,-0.209,-0.209,-0.323,-0.323,-0.323,-0.323,0.0,-0.209,-0.456,-0.209,0.0,-0.209,0.0,0.0,-0.209,0.0,-0.209,0.0,0.0,0
peptide_nm_79,-0.504,-0.16,0.0,-0.326,-0.16,-0.255,0.0,0.0,-0.425,-0.255,0.0,0.0,0.0,0.0,-0.326,-0.255,-0.255,-0.16,0.0,-0.16,0
peptide_nm_80,-0.352,-0.232,0.0,0.0,0.0,-0.513,0.0,-0.232,-0.232,-0.232,0.0,-0.352,-0.232,0.0,0.0,0.0,0.0,-0.431,0.0,-0.232,0
peptide_nm_81,-0.342,0.0,-0.224,-0.269,-0.17,-0.224,-0.17,-0.342,-0.224,-0.342,0.0,-0.269,-0.102,0.0,-0.269,-0.224,-0.308,-0.17,0.0,-0.224,0
peptide_nm_82,-0.266,0.0,-0.168,-0.168,-0.266,-0.339,-0.266,0.0,-0.168,-0.266,0.0,-0.168,-0.339,-0.339,-0.266,-0.168,-0.266,-0.168,0.0,-0.266,0
peptide_nm_83,-0.352,0.0,-0.176,-0.278,-0.176,-0.408,-0.176,0.0,-0.176,-0.176,-0.176,0.0,0.0,0.0,-0.278,-0.278,-0.278,-0.451,0.0,-0.176,0
peptide_nm_84,-0.401,-0.323,-0.209,-0.323,-0.209,-0.209,0.0,-0.209,-0.401,0.0,0.0,0.0,0.0,-0.209,-0.209,-0.209,-0.209,-0.323,-0.209,0.0,0
peptide_nm_85,0.0,-0.209,-0.209,-0.323,0.0,-0.209,0.0,-0.323,-0.323,-0.209,0.0,-0.209,0.0,-0.323,0.0,-0.323,-0.323,-0.209,-0.209,-0.323,0
