,Length,y
Neg_446,-0.42611,0
Neg_2228,0.94162,0
Neg_2386,-0.13038,0
Neg_2835,0.35017,0
Neg_2149,0.86769,0
Neg_2248,-0.01949,0
Neg_2739,1.68093,0
Neg_2580,-0.50004,0
Neg_2765,1.38521,0
Neg_939,0.27624,0
Neg_1859,-0.53701,0
Neg_1088,0.49803,0
Neg_448,0.90465,0
Neg_2831,1.7179,0
Neg_358,0.46107,0
Neg_2287,0.4241,0
Neg_2597,-0.24128,0
Neg_2648,2.08755,0
Neg_152,0.90465,0
Neg_2086,-0.20432,0
Neg_966,0.09141,0
Neg_2081,1.45914,0
Neg_2579,0.16534,0
Neg_542,1.607,0
Neg_270,1.16341,0
Neg_447,-0.79577,0
Neg_2242,0.83072,0
Neg_1615,-0.46307,0
Neg_103,-0.05645,0
Neg_1048,0.09141,0
Neg_628,-0.6479,0
Neg_2169,0.01748,0
Neg_599,1.8288,0
Neg_2490,-0.50004,0
Neg_62,1.42217,0
Neg_1129,1.23735,0
Neg_190,-1.09149,0
Neg_1522,1.12645,0
Neg_165,0.83072,0
Neg_1152,0.20231,0
Neg_217,0.20231,0
Neg_1140,0.12838,0
Neg_2378,0.09141,0
Neg_1569,1.45914,0
Neg_662,-0.68487,0
Neg_688,0.46107,0
Neg_541,-1.01756,0
Neg_624,-0.57397,0
Neg_2108,0.60893,0
Neg_2808,1.16341,0
Neg_2794,0.16534,0
Neg_2286,1.4961,0
Neg_373,1.86576,0
Neg_2612,1.31128,0
Neg_937,1.42217,0
Neg_1345,0.68286,0
Neg_2671,1.79183,0
Neg_2855,-0.7588,0
Neg_279,1.27431,0
Neg_706,1.64397,0
Neg_2921,0.23927,0
Neg_994,-0.13038,0
Neg_2453,-0.72183,0
Neg_2074,-0.53701,0
Neg_1803,-0.68487,0
Neg_653,-0.27825,0
Neg_1943,-0.50004,0
Neg_1283,0.23927,0
Neg_1383,-0.61094,0
Neg_325,0.97859,0
Neg_2702,1.57004,0
Neg_2180,0.4241,0
Neg_585,0.16534,0
Neg_2047,0.16534,0
Neg_2392,-0.79577,0
Neg_919,-1.12846,0
Neg_2566,1.7179,0
Neg_404,-0.46307,0
Neg_953,0.71983,0
Neg_1257,0.71983,0
Neg_1680,-0.05645,0
Neg_1098,-1.09149,0
Neg_1404,-0.79577,0
Neg_79,0.20231,0
Neg_2483,-0.31521,0
Neg_2866,-1.09149,0
Neg_133,1.68093,0
Neg_1514,-0.38914,0
Neg_1790,-0.31521,0
Neg_2219,0.94162,0
Neg_2758,1.45914,0
Neg_621,-0.27825,0
Neg_904,-1.12846,0
Neg_736,-0.42611,0
Neg_431,0.90465,0
Neg_2469,-0.42611,0
Neg_2895,1.4961,0
Neg_202,0.75679,0
