,Flexibility,y
Neg_446,0.46859,0
Neg_2228,-0.09263,0
Neg_2386,-0.14548,0
Neg_2835,1.01599,0
Neg_2149,-0.25077,0
Neg_2248,-0.44002,0
Neg_2739,-0.19717,0
Neg_2580,-0.41613,0
Neg_2765,-1.33024,0
Neg_939,-0.21137,0
Neg_1859,-0.2902,0
Neg_1088,-1.16259,0
Neg_448,1.9483,0
Neg_2831,-0.96611,0
Neg_358,0.6159,0
Neg_2287,-0.30673,0
Neg_2597,0.34436,0
Neg_2648,-0.47976,0
Neg_152,-0.56444,0
Neg_2086,-0.46089,0
Neg_966,0.72978,0
Neg_2081,-0.17787,0
Neg_2579,-0.60408,0
Neg_542,-1.15364,0
Neg_270,-0.01623,0
Neg_447,1.27533,0
Neg_2242,-0.06373,0
Neg_1615,-0.59039,0
Neg_103,0.41641,0
Neg_1048,-0.41402,0
Neg_628,-0.00325,0
Neg_2169,-0.74602,0
Neg_599,-0.93859,0
Neg_2490,-0.78802,0
Neg_62,-0.64826,0
Neg_1129,-0.4915,0
Neg_190,1.11277,0
Neg_1522,-0.06254,0
Neg_165,-0.57978,0
Neg_1152,-0.81332,0
Neg_217,0.25453,0
Neg_1140,0.2848,0
Neg_2378,-0.13406,0
Neg_1569,-0.67552,0
Neg_662,0.17128,0
Neg_688,0.00459,0
Neg_541,-0.1495,0
Neg_624,0.22376,0
Neg_2108,-1.06814,0
Neg_2808,-1.39834,0
Neg_2794,1.0854,0
Neg_2286,-0.82068,0
Neg_373,-0.57506,0
Neg_2612,-1.11687,0
Neg_937,-1.31084,0
Neg_1345,0.40714,0
Neg_2671,-0.90379,0
Neg_2855,-0.73446,0
Neg_279,-0.34274,0
Neg_706,-0.37346,0
Neg_2921,0.34957,0
Neg_994,-0.88182,0
Neg_2453,1.2677,0
Neg_2074,0.42614,0
Neg_1803,-0.72413,0
Neg_653,1.05387,0
Neg_1943,0.24851,0
Neg_1283,-0.44768,0
Neg_1383,-0.20017,0
Neg_325,-0.12352,0
Neg_2702,-1.292,0
Neg_2180,-0.25376,0
Neg_585,-0.64787,0
Neg_2047,0.09605,0
Neg_2392,-0.0503,0
Neg_919,-0.31794,0
Neg_2566,-0.44524,0
Neg_404,1.51538,0
Neg_953,-1.00874,0
Neg_1257,-0.59211,0
Neg_1680,-0.9783,0
Neg_1098,2.15629,0
Neg_1404,-0.17309,0
Neg_79,-0.48608,0
Neg_2483,-0.96237,0
Neg_2866,1.03808,0
Neg_133,-0.14701,0
Neg_1514,-0.54502,0
Neg_1790,-1.25952,0
Neg_2219,-0.50607,0
Neg_2758,-0.31033,0
Neg_621,0.31363,0
Neg_904,3.26593,0
Neg_736,0.33359,0
Neg_431,0.01602,0
Neg_2469,-0.77354,0
Neg_2895,-0.43487,0
Neg_202,-0.73159,0
Neg_478,0.85342,0
Neg_1929,-0.87341,0
Neg_1179,0.53603,0
Neg_116,0.8179,0
Neg_2854,-0.43187,0
Neg_2229,0.44534,0
Neg_301,0.28038,0
Neg_2264,-0.78405,0
Neg_58,-0.51967,0
Neg_37,0.03442,0
Neg_1299,-0.22761,0
Neg_2238,1.10714,0
Neg_1065,-1.11205,0
Neg_2393,0.05975,0
Neg_1063,-0.61861,0
Neg_2681,-0.17473,0
Neg_1206,-0.24391,0
Neg_926,-0.09059,0
Neg_1834,1.38512,0
Neg_219,-0.61279,0
Neg_1051,-0.1335,0
Neg_2732,0.68437,0
Neg_22,0.02833,0
Neg_2672,-0.61189,0
Neg_1925,-1.10264,0
Neg_1046,0.47954,0
Neg_2602,-1.11109,0
Neg_2626,-0.44617,0
Neg_664,-0.57579,0
Neg_1033,-0.05372,0
Neg_1541,-0.34632,0
Neg_352,-1.1077,0
Neg_2763,0.48807,0
Neg_2198,-0.25027,0
Neg_260,1.79078,0
Neg_743,-0.22676,0
Neg_1798,1.50502,0
Neg_805,0.38597,0
Neg_2446,-0.74917,0
Neg_1456,2.43362,0
Neg_853,1.0169,0
Neg_1866,-0.50822,0
Neg_1972,-0.40281,0
Neg_1250,-0.33832,0
Neg_2893,-0.18612,0
Neg_415,-0.81795,0
Neg_2440,-0.69688,0
Neg_1947,-0.65848,0
Neg_2296,-0.60167,0
Neg_1491,-1.08895,0
Neg_1592,-0.19519,0
Neg_833,-0.53348,0
Neg_2254,1.50079,0
Neg_2786,-0.32566,0
Neg_1307,-0.54665,0
Neg_1022,-0.66712,0
Neg_2289,-0.70347,0
Neg_2564,-0.14287,0
Neg_1131,-0.93568,0
Neg_2814,-0.65581,0
Neg_2346,-0.6101,0
Neg_2538,-0.95756,0
Neg_503,-0.30038,0
Neg_614,-0.97518,0
Neg_2227,-0.26117,0
Neg_1977,-1.00137,0
Neg_1151,-0.69268,0
Neg_2315,-1.00005,0
Neg_1180,-1.24416,0
Neg_308,-0.55029,0
Neg_1426,0.13881,0
Neg_12,-1.046,0
Neg_506,-0.66404,0
Neg_136,-0.92276,0
Neg_378,-0.36394,0
Neg_2058,-0.31357,0
Neg_2336,-0.25313,0
Neg_2220,-0.85345,0
Neg_262,-0.17177,0
Neg_1888,-0.16842,0
Neg_2552,-1.37184,0
Neg_1340,0.115,0
Neg_1753,0.43531,0
Neg_941,0.10474,0
Neg_689,0.33954,0
Neg_403,-0.40133,0
Neg_2524,-1.0631,0
Neg_1006,-0.95432,0
