,Moran_CIDH920105.lag1,Moran_CIDH920105.lag2,Moran_CIDH920105.lag3,Moran_BHAR880101.lag1,Moran_BHAR880101.lag2,Moran_BHAR880101.lag3,Moran_CHAM820101.lag1,Moran_CHAM820101.lag2,Moran_CHAM820101.lag3,Moran_CHAM820102.lag1,Moran_CHAM820102.lag2,Moran_CHAM820102.lag3,Moran_CHOC760101.lag1,Moran_CHOC760101.lag2,Moran_CHOC760101.lag3,Moran_BIGC670101.lag1,Moran_BIGC670101.lag2,Moran_BIGC670101.lag3,Moran_CHAM810101.lag1,Moran_CHAM810101.lag2,Moran_CHAM810101.lag3,Moran_DAYM780201.lag1,Moran_DAYM780201.lag2,Moran_DAYM780201.lag3,y
Neg_446,-0.34614,-0.64388,-1.24743,0.75628,-0.70227,-0.49077,-0.65785,-0.83512,-0.11352,0.2195,-1.75218,1.06862,-0.17629,-0.50124,-0.66457,-0.5978,-0.56631,-0.63576,-0.38447,-0.32056,-0.47998,-0.57707,0.01806,0.48671,0
Neg_2228,-0.5091,-0.01901,0.80283,-0.46774,-0.4098,0.59104,0.18169,-0.2704,0.33277,0.22501,0.0764,0.10131,0.17696,-0.03223,0.23458,0.05504,-0.37377,0.37924,-0.83196,0.10268,0.7191,-0.02042,-0.03724,0.76595,0
Neg_2386,1.75891,0.518,-1.47423,1.76227,0.80024,-0.01328,0.17095,-0.20478,-0.96355,0.26389,0.81245,1.76609,0.02782,-0.43118,-1.03877,0.32277,-0.20707,-1.08807,0.62174,-0.96258,-0.05905,1.17386,0.23622,0.63241,0
Neg_2835,-1.45089,0.27577,0.27167,-1.30784,0.37147,0.13021,0.42113,-0.6894,-0.76039,0.20744,0.35392,-1.01658,-0.17521,-0.59005,-0.51678,0.31848,-0.4727,-0.54487,0.06592,-0.22084,0.02182,0.02398,0.04503,-0.87865,0
Neg_2149,-0.23953,-0.79802,0.70622,-0.35084,-0.16818,0.52183,0.44904,-0.09181,0.60662,-0.24502,-0.31653,1.01432,0.26233,-0.12292,0.62378,0.25069,-0.28435,0.44475,0.47218,-0.46974,-0.23932,-0.1802,-0.02741,0.53143,0
Neg_2248,1.51079,-0.37973,0.17738,1.48907,0.51308,1.06459,1.21265,-0.01946,0.5749,-0.93713,-0.14045,-0.81108,1.13887,0.05255,0.62163,1.13476,-0.18074,0.46551,0.7888,-0.34075,0.05043,1.54596,-0.02883,-0.74773,0
Neg_2739,-0.42976,0.02275,0.82625,-0.00362,0.48023,-0.26129,-0.29861,-0.56914,0.50938,0.57468,0.07716,0.25495,-0.25245,-0.44132,0.37529,-0.26428,-0.43256,0.31126,0.49541,0.02616,-0.44483,0.32128,-0.65125,0.84462,0
Neg_2580,-1.44958,-0.89076,1.57707,-0.95012,-1.11461,1.39112,-1.04636,-0.02263,-0.36034,-0.54322,0.60225,0.16732,-1.1545,0.1044,-0.40261,-1.27762,0.11379,-0.27696,-0.00273,0.28758,0.37562,-0.24024,-0.32864,1.07304,0
Neg_2765,0.60507,0.26338,-0.93583,0.44115,1.32418,-0.09304,0.76671,0.48558,0.11389,0.13807,0.18683,0.37914,0.69678,0.49262,0.23083,0.88934,0.25541,0.16321,0.22288,-0.29141,-0.27742,-1.24739,1.3359,0.4213,0
Neg_939,1.49093,0.97333,0.00349,2.11454,1.55217,0.21495,2.24725,1.20378,1.07513,0.30144,1.24964,0.93657,2.52718,1.66339,1.30814,2.19339,1.30381,1.06331,0.73203,0.55951,0.7403,0.93749,0.04928,0.82379,0
Neg_1859,0.84133,1.22851,-1.68182,0.57605,1.34692,-0.58727,-0.20546,0.25844,0.40452,0.47484,0.96972,-0.34185,-0.46994,-0.18876,0.34076,0.11392,-0.19151,-0.34466,-1.07555,0.44065,-0.39014,-0.42692,0.05311,-0.44277,0
Neg_1088,-0.32055,0.71333,0.91972,0.14545,1.01756,-0.86803,-1.28731,1.27861,0.75369,0.27435,-0.06224,0.84812,-1.06431,1.29418,0.58531,-1.19152,1.13516,0.84998,-0.58961,0.81076,0.87555,-0.51935,0.26606,-0.12688,0
Neg_448,0.1847,-0.00957,0.41342,-0.76831,-0.26865,0.98554,-0.13219,-0.24278,0.33811,0.80662,-0.70421,0.7704,-0.08029,0.04312,0.21319,0.01915,-0.04014,0.01192,-0.14732,1.17235,0.06335,-0.25778,-0.17286,-0.03495,0
Neg_2831,-0.25874,0.45318,0.75236,-0.15831,0.64014,0.99258,-0.12524,0.1464,0.64791,0.2222,0.36678,1.50464,-0.32361,0.01854,0.7973,-0.15002,0.10378,0.52481,0.46128,0.43881,0.428,-0.16358,-0.07179,0.03863,0
Neg_358,-0.73627,-0.68326,0.08938,0.04261,-0.00745,-0.39608,-0.01025,1.42815,0.09898,0.05614,0.35414,-0.66901,0.13388,1.52378,0.15043,-0.14254,1.26121,0.1592,-0.22942,0.69687,-0.12976,-1.03019,0.17218,-0.59941,0
Neg_2287,1.02579,0.98934,1.47924,1.26155,0.21861,1.60463,-0.28952,-0.78859,0.80551,0.72082,0.44349,1.41591,-0.36003,-0.7248,0.57711,-0.2794,-0.42286,0.8317,-0.48104,0.25788,0.85542,-0.28256,0.49844,0.46308,0
Neg_2597,-0.68482,0.39507,0.19118,-0.0029,0.36767,-0.02724,-1.4591,0.67524,-0.92335,1.05082,0.2195,-0.78215,-1.43215,0.2726,-1.24276,-1.44357,-0.13319,-0.53973,-0.74239,0.17558,0.21685,0.28384,-0.78636,0.6869,0
Neg_2648,0.38966,0.00715,-0.21984,0.89985,-0.46279,-0.89876,1.37663,-0.16914,0.11433,-0.31322,0.69919,-0.76716,1.22829,-0.17848,0.04865,1.48419,-0.31366,0.24983,1.13122,-0.36534,0.44366,0.49911,0.11416,0.18011,0
Neg_152,-0.3097,-0.2367,0.73691,0.31276,-0.36401,0.22879,-0.46938,-0.07814,0.89691,-0.3594,0.59245,1.33718,-0.50802,-0.19522,1.02773,-0.35448,-0.07616,1.337,-0.70663,0.03172,1.71542,0.19258,0.96094,0.05643,0
Neg_2086,0.95854,0.0682,0.34648,1.68805,0.09112,-0.06394,0.894,0.78714,0.28316,0.51666,0.26202,0.34877,-0.01715,0.50755,0.53795,0.73971,-0.21315,0.38254,0.89362,0.09484,-0.46369,-1.39795,-1.11118,-0.15567,0
Neg_966,0.89982,-0.06246,-1.22449,-0.27746,-0.31141,-0.36595,1.3102,0.9746,-1.13419,-0.09126,-1.13483,1.1987,1.41612,0.94105,-0.8133,1.55876,1.07098,-1.00656,1.06934,0.65535,0.15996,1.12849,0.67761,-0.30553,0
Neg_2081,0.43149,1.01028,0.34565,-0.24652,0.19103,0.23681,-0.18332,0.46371,0.58036,-0.32888,0.27376,0.76097,-0.29188,-0.07175,0.41834,-0.06252,0.06372,0.33311,0.3396,-0.17633,0.87872,0.20332,0.00776,0.04859,0
Neg_2579,-0.40156,-0.55457,-0.12099,-0.32753,-0.06811,0.85296,-0.30011,0.02198,-1.22329,0.16531,-0.70738,2.12779,-0.04492,0.24123,-1.24516,-0.41211,0.41973,-1.32291,-0.60876,1.16553,-1.10931,-0.61586,-0.35154,0.32078,0
Neg_542,-0.0109,0.2275,0.15116,0.36718,0.91277,0.14274,0.08602,0.24995,1.68384,1.21491,0.37215,1.04767,0.07668,0.19986,1.36392,-0.26765,0.07875,1.58409,0.15041,-0.3269,0.82264,0.32213,0.13389,0.60366,0
Neg_270,0.55925,-0.67118,0.23569,-0.27743,0.65064,0.46739,0.02532,-0.38507,0.20274,0.65518,-0.41796,-0.41672,0.28308,-0.75886,0.02454,0.21662,-0.6041,-0.29823,0.06996,-0.48139,0.81386,-0.76365,0.29986,0.13832,0
