,NMBroto_CIDH920105.lag1,NMBroto_CIDH920105.lag2,NMBroto_CIDH920105.lag3,NMBroto_BHAR880101.lag1,NMBroto_BHAR880101.lag2,NMBroto_BHAR880101.lag3,NMBroto_CHAM820101.lag1,NMBroto_CHAM820101.lag2,NMBroto_CHAM820101.lag3,NMBroto_CHAM820102.lag1,NMBroto_CHAM820102.lag2,NMBroto_CHAM820102.lag3,NMBroto_CHOC760101.lag1,NMBroto_CHOC760101.lag2,NMBroto_CHOC760101.lag3,NMBroto_BIGC670101.lag1,NMBroto_BIGC670101.lag2,NMBroto_BIGC670101.lag3,NMBroto_CHAM810101.lag1,NMBroto_CHAM810101.lag2,NMBroto_CHAM810101.lag3,NMBroto_DAYM780201.lag1,NMBroto_DAYM780201.lag2,NMBroto_DAYM780201.lag3,y
peptide_nm_1,-0.13472,2.19266,1.03714,1.97727,2.23775,2.15686,-0.22372,0.18047,0.87772,0.18776,2.13879,0.8,-0.38421,0.15802,0.82345,-0.69416,0.47124,0.57112,-1.14894,1.01681,-1.3489,0.86358,0.51258,2.30774,0
peptide_nm_2,-0.88952,0.35686,-0.39679,-0.38783,-0.20281,-2.35177,-0.18229,-0.47303,0.2907,0.69099,0.71246,1.2625,-0.21226,-0.41459,0.37528,-0.25028,-0.41025,0.59056,0.25118,-0.23969,0.95814,0.55237,0.23965,-0.11409,0
peptide_nm_3,-0.58326,0.20569,-0.62667,0.4437,0.44684,-1.0593,1.36168,0.53289,0.27128,-0.31621,-0.25668,-0.79981,2.07455,0.73606,0.41925,0.95738,0.19033,-0.37269,0.59081,-0.11603,-1.78157,-0.63874,0.60489,-0.35656,0
peptide_nm_4,1.68887,1.45301,1.02969,0.67144,1.25106,0.9087,1.50852,0.98626,0.51901,-0.7956,0.6976,-0.46467,1.43098,0.75222,0.40727,1.4582,0.84493,0.46695,1.0369,0.59066,-0.63546,0.52817,-0.78681,-0.2205,0
peptide_nm_5,-2.47876,0.76361,0.85603,-0.76711,0.41653,0.48497,-0.69209,-0.26735,0.01354,-0.45579,-0.21545,-0.15259,-0.54399,-0.33921,0.02838,-1.03112,-0.08868,0.17594,0.18586,0.49047,0.579,-1.54337,0.34022,-0.09074,0
peptide_nm_6,0.39261,-0.06433,-0.43793,1.24438,-0.41843,-1.54809,-0.50455,-0.85489,-1.07306,-0.91285,0.0957,-0.42881,-0.04271,-0.41483,-0.57806,-0.2492,-0.47391,-0.8172,0.12993,-0.08343,-0.05687,-1.13334,-0.67826,-0.0147,0
peptide_nm_7,-0.5851,-0.28349,1.11449,-0.69728,-0.29086,0.29391,-0.75277,-0.23646,-0.4417,-0.23109,-0.49621,0.28359,-1.03426,-0.72318,0.10148,-0.69265,-0.25294,0.02048,0.53566,0.2324,1.50106,-1.09181,-0.95881,-0.77963,0
peptide_nm_8,-1.9753,1.40767,-1.58743,-0.42315,0.68825,0.07994,0.78465,-0.46212,-0.84635,-1.25586,0.18031,-1.06057,0.79448,-0.74684,-1.34907,0.42632,-0.25947,-0.84654,-0.76202,0.68022,-0.09407,0.89768,0.12998,0.49291,0
peptide_nm_9,0.18842,0.22668,0.36612,1.01905,-0.03591,-0.20531,-2.07165,0.2505,-0.72712,1.77159,1.73981,-0.20524,-2.09968,0.30973,-0.95425,-1.66632,0.36456,-0.83743,0.15745,1.32062,-1.50266,-0.87918,-0.65929,1.55734,0
peptide_nm_10,0.10666,1.21929,0.68371,-0.29819,0.31565,-0.33293,-0.75423,-1.50867,-0.38114,-1.07639,0.29526,-0.26005,-0.4537,-1.82512,-0.9792,-0.50076,-1.42297,-1.1351,-0.04271,0.19775,-0.33004,-2.01689,-0.32235,-0.30284,0
peptide_nm_11,-0.15274,-0.19554,-1.62935,0.31098,0.12342,0.36287,-0.94033,-1.10356,-0.94533,0.74504,-0.46185,-1.44216,-1.28949,-1.20065,-0.73089,-0.59395,-0.97872,-0.28653,0.18467,-0.44318,0.2307,-0.76344,0.01101,-1.27752,0
peptide_nm_12,0.40047,0.88227,-0.18851,-0.7178,0.28971,-0.77534,-0.1813,0.53683,0.25986,0.17866,-0.08014,0.32822,-0.48413,0.54418,0.30921,0.14986,0.83357,0.36913,0.54568,0.60931,0.62004,-0.64582,0.41586,-0.75647,0
peptide_nm_13,1.35796,1.4897,0.83399,1.27149,1.66471,0.67129,1.21121,0.28322,-0.12431,0.44658,0.55125,0.59328,1.74619,0.4919,-0.36024,1.3113,0.34484,-0.45259,2.13468,1.23332,-0.80337,-0.49519,-0.43607,-0.44108,0
peptide_nm_14,-0.68064,0.63203,0.26388,-1.31711,-0.40182,0.61025,-0.38223,1.37785,0.01398,0.51944,0.73596,-0.2137,-0.87667,1.51356,-0.69199,-0.86243,1.19454,-0.5974,-0.67316,0.61624,-0.86265,-1.38749,0.45692,-0.49374,0
peptide_nm_15,0.60674,0.54203,0.16535,1.17231,0.66817,1.03712,2.80339,2.60392,2.54354,1.58293,2.56677,1.51822,3.91486,4.04111,3.36265,3.00997,3.14614,2.8056,5.7365,5.26522,5.02064,-0.02838,0.02378,0.08367,0
peptide_nm_16,0.04692,0.20318,0.96255,0.58629,0.97982,0.41788,0.00985,0.14536,-0.40719,-0.02426,-0.32815,-0.04857,-0.11825,0.05444,-0.57243,0.0686,0.13719,-0.36742,0.00844,-0.03086,0.48502,-0.60022,-0.35443,0.05523,0
peptide_nm_17,0.69235,0.11102,0.04312,1.17785,0.19132,-0.65776,0.73677,-0.27007,-0.0754,1.64703,1.51731,0.91534,0.99077,-0.25631,-0.18392,0.86018,-0.06762,0.06674,0.7246,0.78303,0.28596,-0.90697,-0.38538,-0.0057,0
peptide_nm_18,1.64031,0.14807,0.13212,0.45208,0.59826,-0.2437,0.63,-0.7335,-0.14302,1.21251,-0.50645,0.56532,0.35973,-0.8508,-0.19417,0.91264,-0.84553,-0.4806,0.53683,0.39505,-0.60851,1.11378,-0.43959,-0.1611,0
peptide_nm_19,-0.36214,0.04884,0.25932,-0.45776,0.57007,-1.26931,0.78188,0.47774,0.21399,0.90954,1.19314,0.98269,0.79245,0.59058,0.15282,0.83319,0.5497,0.21959,0.74193,0.6701,0.37217,-0.3576,-0.21629,-0.29747,0
peptide_nm_20,-0.03213,1.07347,-0.69676,-0.05093,1.07371,-0.84641,-1.21596,0.1487,-0.17744,-0.01529,-0.96814,0.0186,-1.85671,-0.05001,-0.90208,-1.26317,0.07504,-0.22636,-0.16286,-0.80718,-0.78398,0.23839,-0.57919,-0.54723,0
peptide_nm_21,-0.20767,1.04312,0.75136,-0.46117,1.07786,0.80638,0.80753,2.44607,0.85991,0.22845,0.95437,0.35601,0.95339,3.32565,0.96517,-0.48882,2.56703,-0.10231,-2.88021,2.46999,-1.91726,1.72225,0.42292,-0.26985,0
peptide_nm_22,0.60101,0.07152,-1.65416,1.94178,0.2912,-0.00511,1.16272,0.14657,-0.06165,-0.01804,-0.68276,0.37604,1.55814,-0.01462,0.44093,0.93262,-0.09928,-0.43833,1.20879,-2.05362,-0.04041,0.68423,-0.83032,-1.17148,0
peptide_nm_23,0.2582,1.85316,0.70104,0.27537,1.07409,0.27466,1.82208,2.0162,1.15178,0.08753,0.10375,0.39809,1.52064,2.09517,1.23732,1.37829,1.88702,1.06114,-0.06587,0.31405,0.68546,0.89086,0.46488,0.17899,0
peptide_nm_24,-2.07021,-0.38555,0.15179,-1.62726,0.97908,-0.8733,-0.11296,0.26192,-1.07585,-0.20197,-0.29903,0.31091,-0.09744,0.05679,-1.29212,-0.3626,-0.15417,-0.98139,-0.46465,-0.12811,0.06289,-0.21888,0.57871,-0.64585,0
peptide_nm_25,-1.43551,-1.28038,1.89747,1.00415,1.46163,2.08474,-1.27376,-0.27827,3.17835,-6.39474,1.90939,8.47504,-0.61713,0.14585,3.56456,-1.24495,-0.50139,2.67419,-0.03402,0.11046,-1.0004,-0.68401,-0.91101,0.40309,0
peptide_nm_26,-1.95562,0.6487,-1.13624,-0.6101,-0.59223,-0.23267,-1.86154,-1.29357,0.43922,0.95124,-0.63723,-0.03121,-1.209,-1.3444,0.58893,-1.40748,-0.92538,0.17133,0.52436,0.2316,0.46639,-0.34153,-1.72287,0.23675,0
peptide_nm_27,-1.53317,0.52743,-0.45725,0.96432,1.57517,-0.02013,-0.90311,1.23685,-1.31033,0.46646,0.24026,0.21514,-0.96187,1.31762,-1.51579,-1.27777,1.3054,-1.94168,0.35245,-0.12003,-1.90492,-0.90293,0.2703,0.05413,0
peptide_nm_28,0.02885,-0.57467,-1.12213,-1.54,0.58357,-0.6338,-0.19741,0.82922,-0.6833,0.13567,-0.29122,0.22488,-0.40391,1.09425,-0.76265,-0.76159,0.65382,-1.66416,-0.63528,0.07975,-1.31638,-1.34773,-0.40225,-0.56311,0
peptide_nm_29,0.96862,0.93865,0.5688,1.4829,1.20642,0.76678,-1.3003,-0.2217,-0.34838,-0.19989,-0.93115,-0.89125,-0.86152,-0.06728,-0.66151,-1.41235,0.14696,-0.48479,-0.17927,0.24137,-0.14298,-0.70384,0.38467,-0.61413,0
peptide_nm_30,0.28698,0.96447,-0.36737,1.30488,1.10436,-0.22856,0.54612,-1.09088,-1.21235,1.15534,0.62409,0.02438,0.91783,-1.05565,-0.91817,0.66629,-0.45914,-0.77183,0.67132,0.26869,0.28814,0.47692,-0.50775,-1.3939,0
peptide_nm_31,0.60818,0.6297,-0.83136,0.45433,0.04869,0.28291,0.06497,0.01028,-0.86342,-0.36766,-0.95386,0.3468,0.15601,0.3716,-0.80601,-0.2906,0.23051,-1.13788,-0.19698,-0.0011,-0.05744,0.05825,-0.84642,0.20973,0
peptide_nm_32,0.87447,-0.15764,-1.22731,0.13601,0.16096,-1.61634,0.3186,-0.42566,0.78717,-2.13012,-0.73619,-1.77934,-0.4864,-0.90638,1.334,0.20279,-0.62951,0.78406,0.02478,0.13151,-1.26298,-2.50056,-1.26383,2.82917,0
peptide_nm_33,-0.58073,-0.3244,-2.03832,0.00373,-0.88369,0.82469,0.85367,0.10422,0.92308,-0.07,-0.00784,0.23658,0.87064,-0.0541,0.64352,0.37468,-0.40201,0.54835,0.40972,-0.26417,-0.08901,0.1542,-0.22647,-0.18074,0
peptide_nm_34,0.2672,-0.41233,-0.56723,0.22796,-0.43869,-0.44017,0.68383,0.19601,0.1396,-0.61935,0.24804,-0.12146,0.47031,0.3368,0.17984,0.12014,-0.46425,-0.38838,-0.80112,0.1579,0.07797,0.10611,-1.05379,-0.53838,0
peptide_nm_35,-0.02814,1.39974,0.17867,0.1339,0.66913,0.47117,-0.03297,0.67734,-0.19888,-0.82033,0.89912,2.04388,-0.54469,0.41569,-0.1881,-0.12442,0.74611,-0.34726,-0.8784,0.47219,0.74528,-1.35835,0.79211,-0.90758,0
peptide_nm_36,-2.0032,0.60573,-1.60593,0.55939,1.23452,1.22878,-0.7556,0.07404,-0.38906,-0.04732,-0.87584,-0.13912,-1.0653,-0.16105,-0.78838,-0.97943,-0.12886,-0.7234,0.19868,-0.63095,-0.85379,1.80636,1.6519,2.09251,0
