,DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,y
peptide_nm_1,0.0,6.93,6.36,6.36,0.0,0.0,0.0,0.0,0.0,7.85,0.0,10.36,0.0,0.0,5.69,3.75,8.42,0.0,0.0,0.0,0
peptide_nm_2,0.0,9.38,0.0,11.08,0.0,11.08,0.0,0.0,4.0,9.38,6.15,4.25,0.0,6.15,4.08,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_3,5.39,23.19,0.0,0.0,9.12,21.48,13.7,8.79,10.35,14.88,7.96,25.04,0.0,0.0,21.48,0.0,0.0,0.0,0.0,18.0,0
peptide_nm_4,11.04,0.0,11.3,12.04,0.0,8.09,3.89,10.61,0.0,0.0,18.54,13.3,18.54,0.0,14.52,12.04,11.21,22.04,0.0,12.71,0
peptide_nm_5,21.04,0.0,8.59,11.05,0.0,14.95,0.0,0.0,14.78,10.23,6.0,6.67,11.3,0.0,0.0,6.77,9.23,0.0,10.23,0.0,0
peptide_nm_6,18.18,19.46,13.48,13.11,0.0,12.59,7.96,0.0,15.19,0.0,6.96,13.46,16.04,14.3,11.42,0.0,0.0,10.22,0.0,25.04,0
peptide_nm_7,9.56,5.07,6.53,0.0,0.0,5.6,5.2,14.06,0.0,0.0,3.23,12.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.56,0
peptide_nm_8,0.0,10.81,7.81,7.31,0.0,0.0,12.31,14.06,0.0,5.2,7.06,8.56,0.0,0.0,0.0,8.56,5.73,0.0,9.56,7.5,0
peptide_nm_9,0.0,6.0,0.0,8.56,7.81,0.0,0.0,7.31,0.0,0.0,3.27,8.56,0.0,0.0,0.0,5.73,0.0,0.0,9.56,12.31,0
peptide_nm_10,5.08,6.08,0.0,5.42,8.42,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,10.08,0.0,4.91,10.08,0.0,0.0,0.0,0
peptide_nm_11,0.0,0.0,11.08,0.0,0.0,5.54,0.0,5.69,0.0,0.0,5.75,4.42,0.0,0.0,0.0,6.15,11.08,0.0,2.3,0.0,0
peptide_nm_12,8.21,14.4,12.5,10.56,0.0,0.0,11.6,12.24,13.58,0.0,11.6,12.19,12.04,7.79,0.0,11.46,8.54,0.0,0.0,0.0,0
peptide_nm_13,23.45,10.89,0.0,8.96,0.0,22.46,15.61,10.27,19.25,0.0,16.0,9.33,0.0,27.03,17.93,8.67,7.81,0.0,0.0,16.9,0
peptide_nm_14,3.69,0.0,8.72,8.95,0.0,0.0,10.21,13.68,0.0,0.0,5.18,6.39,15.26,0.0,12.32,8.63,9.47,0.0,0.0,15.26,0
peptide_nm_15,5.81,0.0,17.57,19.22,0.0,0.0,0.0,6.39,11.86,0.0,0.0,18.23,0.0,16.09,5.05,0.0,13.5,0.0,0.0,13.59,0
peptide_nm_16,0.0,0.0,0.0,12.72,0.0,13.68,3.81,15.26,15.26,12.32,5.29,0.0,0.0,0.0,10.28,10.21,10.21,0.0,8.63,8.95,0
peptide_nm_17,14.18,0.0,24.27,37.96,0.0,49.69,34.6,28.25,36.85,38.99,29.95,12.41,25.75,32.79,14.38,7.45,26.49,61.15,48.5,17.57,0
peptide_nm_18,0.0,0.0,11.08,5.75,8.0,9.38,5.69,9.38,0.0,0.0,3.82,0.0,0.0,0.0,0.0,7.08,0.0,0.0,6.92,0.0,0
peptide_nm_19,9.31,8.95,9.47,0.0,0.0,11.16,8.95,0.0,0.0,10.21,17.05,5.76,7.61,0.0,9.94,0.0,0.0,0.0,0.0,9.83,0
peptide_nm_20,6.06,6.39,9.39,11.16,0.0,0.0,6.35,8.72,0.0,0.0,11.16,8.95,0.0,0.0,13.68,0.0,0.0,0.0,17.05,6.94,0
