,Polarity,y
peptide_nm_1,0.109117060139008,0
peptide_nm_2,0.0740449225637588,0
peptide_nm_3,0.0449636866606508,0
peptide_nm_4,0.0969226919967928,0
peptide_nm_5,0.0709685970576983,0
peptide_nm_6,0.0593518695848394,0
peptide_nm_7,0.1273999573155993,0
peptide_nm_8,0.0599721870556681,0
peptide_nm_9,0.136922293834129,0
peptide_nm_10,0.0510758472167748,0
peptide_nm_11,0.1306055831147105,0
peptide_nm_12,0.039327617181287,0
peptide_nm_13,0.0041058635914143,0
peptide_nm_14,0.0503778447339796,0
peptide_nm_15,0.0461629427729066,0
peptide_nm_16,0.1090030770405839,0
peptide_nm_17,0.0154574128079015,0
peptide_nm_18,0.1259440855121708,0
peptide_nm_19,0.115313389212701,0
peptide_nm_20,0.0200716433416191,0
peptide_nm_21,0.0825623088930716,0
peptide_nm_22,0.0274767139969872,0
peptide_nm_23,0.0558199363110125,0
peptide_nm_24,0.1369214858482209,0
peptide_nm_25,0.1807491509868413,0
peptide_nm_26,0.0733878308806469,0
peptide_nm_27,0.102654840164785,0
peptide_nm_28,0.0998000018416809,0
peptide_nm_29,0.0523012770685396,0
peptide_nm_30,0.0878627985169128,0
peptide_nm_31,0.0233553312588844,0
peptide_nm_32,0.0324738052909715,0
peptide_nm_33,0.0447583170388393,0
peptide_nm_34,0.1698360711358943,0
peptide_nm_35,0.0507278534565405,0
peptide_nm_36,0.1412416370081514,0
peptide_nm_37,0.0259518721958437,0
peptide_nm_38,0.0303999915029632,0
peptide_nm_39,0.1333300540670231,0
peptide_nm_40,0.011123073868613,0
peptide_nm_41,0.0656079511108323,0
peptide_nm_43,0.1752042775066516,0
peptide_nm_44,0.143525031376972,0
peptide_nm_45,0.0360512289888248,0
peptide_nm_46,0.0227776918936959,0
peptide_nm_47,0.0364581681829274,0
peptide_nm_48,0.1613859318700167,0
peptide_nm_49,0.0315499199567231,0
peptide_nm_50,0.0170459244449304,0
peptide_nm_51,0.0606050657047057,0
peptide_nm_52,0.0835469720374706,0
peptide_nm_53,0.1093067516466648,0
peptide_nm_54,0.0457771595046876,0
peptide_nm_55,0.0855694118253274,0
peptide_nm_56,0.0078571136952768,0
peptide_nm_57,0.0727698741749692,0
peptide_nm_58,0.0505055901199847,0
peptide_nm_59,0.0251201105315195,0
