,ABHPRK__1,ABHPRK__2,ABHPRK__3,ABHPRK__4,ABHPRK__5,ABHPRK__6,ABHPRK__7,ABHPRK__8,ABHPRK__9,ABHPRK__10,ABHPRK__11,ABHPRK__12,ABHPRK__13,ABHPRK__14,ABHPRK__15,ABHPRK__16,ABHPRK__17,ABHPRK__18,ABHPRK__19,ABHPRK__20,ABHPRK__21,ABHPRK__22,ABHPRK__23,ABHPRK__24,ABHPRK__25,ABHPRK__26,ABHPRK__27,ABHPRK__28,ABHPRK__29,ABHPRK__30,ABHPRK__31,ABHPRK__32,ABHPRK__33,ABHPRK__34,ABHPRK__35,ABHPRK__36,ABHPRK__37,ABHPRK__38,ABHPRK__39,ABHPRK__40,ABHPRK__41,ABHPRK__42,ABHPRK__43,ABHPRK__44,ABHPRK__45,ABHPRK__46,ABHPRK__47,ABHPRK__48,ABHPRK__49,ABHPRK__50,ABHPRK__51,ABHPRK__52,ABHPRK__53,ABHPRK__54,ABHPRK__55,ABHPRK__56,ABHPRK__57,ABHPRK__58,ABHPRK__59,ABHPRK__60,ABHPRK__61,ABHPRK__62,ABHPRK__63,ABHPRK__64,ABHPRK__65,ABHPRK__66,ABHPRK__67,ABHPRK__68,ABHPRK__69,ABHPRK__70,ABHPRK__71,ABHPRK__72,ABHPRK__73,ABHPRK__74,ABHPRK__75,ABHPRK__76,ABHPRK__77,ABHPRK__78,ABHPRK__79,ABHPRK__80,ABHPRK__81,ABHPRK__82,ABHPRK__83,ABHPRK__84,ABHPRK__85,ABHPRK__86,ABHPRK__87,ABHPRK__88,ABHPRK__89,ABHPRK__90,ABHPRK__91,ABHPRK__92,ABHPRK__93,ABHPRK__94,ABHPRK__95,ABHPRK__96,ABHPRK__97,ABHPRK__98,ABHPRK__99,ABHPRK__100,ABHPRK__101,ABHPRK__102,ABHPRK__103,ABHPRK__104,ABHPRK__105,y
peptide_nm_1,-0.01774,-0.27412,-0.26509,-0.27205,-0.2865,0.0,-0.37377,-0.34299,-0.398,-0.3016,0.0,-0.53423,1.31345,-0.51852,1.94232,-0.01774,0.68204,-0.51323,0.84643,-0.55338,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,-0.25651,-0.61025,-0.46484,0.63208,-0.56203,0.0,-0.85407,-0.80433,-0.85519,-0.71736,-0.25651,0.97298,1.56005,0.11384,0.96322,0.0,-0.54307,-0.49359,-0.52744,-0.43713,0.0,-0.21618,-0.26458,4.0373,-0.25081,-1.51925,-1.14177,-0.10717,-1.11044,-1.09453,0.0,-0.82767,-1.69658,-1.79276,-1.36075,-0.92589,-0.68269,-0.61669,-0.63015,-0.61326,0.0,1.43773,-0.4388,2.82807,-0.39872,2.02145,2.58561,2.85241,3.01431,1.88583,-0.74667,-0.87435,-0.8121,-0.80863,-0.73634,0.0,2.09499,4.25121,2.24626,5.28815,-1.23619,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,2.05043,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_2,0.04316,-0.27412,-0.26509,-0.27205,-0.2865,0.0,-0.37377,-0.34299,-0.398,-0.3016,0.0,-0.53423,-0.57968,-0.51852,-0.5091,0.04316,-0.58435,-0.51323,-0.56241,-0.55338,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,0.44469,-0.61025,1.24748,-0.52199,0.54432,0.0,0.17289,-0.80433,2.13553,1.0477,0.44469,0.06116,1.76774,0.21241,1.16946,0.0,1.1886,1.27897,3.84067,2.03264,0.0,5.43217,3.84455,-0.29822,-0.25081,-0.88325,-1.14177,-0.93502,-0.35856,-0.37942,0.0,1.24957,-0.86227,-0.49929,-0.05345,-0.02716,0.86573,0.7279,-0.63015,-0.61326,0.0,-0.45258,2.14506,-0.39194,-0.39872,1.31446,0.42828,1.36895,0.63723,-0.00742,3.51323,1.73907,3.40329,2.45665,2.6922,0.0,5.06046,2.09854,2.52204,2.74975,1.94158,2.13491,1.53344,-0.39474,-0.39275,0.0,3.6499,3.76337,-0.26815,4.99021,2.26378,-0.13961,-0.14919,5.74514,-0.18655,0
peptide_nm_3,-0.39894,-0.27412,-0.26509,-0.27205,-0.2865,0.0,-0.37377,-0.34299,-0.398,-0.3016,0.0,0.34312,-0.57968,0.53022,-0.5091,-0.39894,-0.58435,-0.51323,-0.56241,-0.55338,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,-0.80514,-0.61025,-0.46484,-0.52199,-0.56203,0.0,0.09389,-0.80433,-0.23213,-0.02668,-0.80514,-1.01644,-0.72451,-0.87193,-0.89291,0.0,-0.54307,-0.49359,-0.52744,-0.43713,0.0,-0.21618,1.54344,-0.29822,-0.25081,-0.14124,-0.78646,0.25709,-0.48387,-0.25506,0.0,-0.82767,-1.69658,-1.25381,-0.33765,-0.92589,0.03197,-0.61669,-0.03317,0.04494,0.0,0.49258,-0.4388,-0.39194,-0.39872,-1.49607,-0.86612,-0.81633,-1.48287,-1.52202,0.62071,-0.87435,-0.8121,-0.80863,-0.73634,0.0,-0.44684,0.65195,-0.51158,-0.42325,-0.47117,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,-0.00411,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_4,2.42336,-0.27412,3.58443,1.0146,2.20308,0.0,-0.37377,1.55571,1.3894,1.38009,0.0,1.44935,0.45294,1.8786,-0.5091,2.42336,2.27879,2.56416,2.38946,1.74999,0.0,-0.3358,-0.34174,1.85883,-0.34322,0.0,3.37402,2.91061,-0.18725,3.14768,-0.73128,-0.61025,-0.46484,-0.52199,-0.56203,0.0,-0.31826,-0.80433,-0.85519,0.07692,-0.73128,-0.45421,-0.10145,-0.35558,-0.89291,0.0,0.36041,-0.49359,-0.52744,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-1.347,-1.14177,-0.48346,-1.11044,-1.09453,0.0,-0.70725,-0.86227,-1.17682,-0.18418,-0.43908,-0.68269,0.05561,-0.63015,-0.61326,0.0,0.61586,-0.4388,1.29473,-0.39872,1.38319,1.48506,1.36895,0.8728,0.86347,-0.74667,-0.19259,-0.8121,-0.03118,0.03508,0.0,0.98985,0.80694,0.933,1.0046,-0.80587,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,0.89475,-0.13961,4.41808,-0.2037,-0.18655,0
peptide_nm_5,0.15437,-0.27412,-0.26509,-0.27205,-0.2865,0.0,-0.37377,-0.34299,-0.398,1.4686,0.0,0.50264,0.50211,-0.51852,-0.5091,0.15437,0.16397,0.29276,0.21245,0.25482,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,-0.35559,-0.61025,0.43209,-0.52199,-0.03797,0.0,-0.29391,-0.36052,-0.85519,0.9548,-0.35559,0.15913,0.58095,0.75458,-0.40445,0.0,-0.54307,-0.49359,0.56459,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-0.66548,-1.14177,-0.46196,0.01738,-1.09453,0.0,1.52234,0.0515,-0.49929,1.73548,-0.92589,0.1619,0.08762,0.08622,-0.61326,0.0,-0.45258,-0.4388,-0.39194,-0.39872,1.88825,1.61808,2.12895,2.75733,1.34775,1.6611,-0.1616,-0.07608,0.00769,0.88771,0.0,-0.44684,-0.48466,-0.51158,-0.42325,0.11091,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,-0.7232,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_6,1.16982,-0.27412,0.82067,-0.27205,0.75083,0.0,2.69132,-0.34299,-0.398,-0.3016,0.0,1.15549,1.16782,2.50185,-0.5091,1.16982,0.63514,0.78874,0.05748,0.72627,0.0,1.00569,3.12897,1.50976,-0.34322,0.0,2.8409,-0.2196,-0.18725,5.3791,-0.82624,-0.61025,-0.46484,-0.52199,-0.56203,0.0,-0.39764,-0.0874,-0.85519,-0.71736,-0.82624,-0.5375,-0.72451,-0.00446,-0.50621,0.0,0.22656,0.25634,-0.52744,-0.43713,0.0,-0.21618,-0.26458,-0.29822,2.48946,0.28939,0.56896,0.21124,-0.20818,-0.5582,0.0,0.02716,0.06831,0.27679,1.58067,0.74319,1.38187,-0.04782,0.51605,1.90985,0.0,0.45757,1.74754,3.85848,-0.39872,0.23432,0.49753,0.47179,0.49589,-0.10208,0.57187,0.86793,1.56581,-0.15557,0.54936,0.0,2.00085,0.60823,-0.51158,3.14638,0.9769,0.74967,-0.37466,0.37775,0.43113,0.0,-0.26043,1.40155,3.85415,-0.25203,1.35702,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_7,0.57604,-0.27412,-0.26509,-0.27205,-0.2865,0.0,-0.37377,-0.34299,2.48933,2.50121,0.0,0.98652,1.043,1.41762,-0.5091,0.57604,-0.58435,0.69575,0.62969,2.00592,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,0.09957,-0.61025,-0.46484,-0.52199,-0.56203,0.0,-0.85407,0.52711,-0.85519,0.60644,0.09957,1.5698,-0.72451,0.79629,-0.11952,0.0,-0.54307,-0.49359,-0.52744,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-0.29196,-0.52591,-0.93502,0.62467,-0.02187,0.0,0.64948,0.92554,-0.79778,-0.38028,-0.92589,-0.68269,-0.61669,-0.63015,-0.61326,0.0,-0.45258,-0.4388,-0.39194,-0.39872,0.93641,0.55292,0.36049,1.23521,0.74988,-0.74667,-0.87435,-0.8121,-0.80863,-0.73634,0.0,-0.44684,-0.48466,-0.51158,-0.42325,-1.23619,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,-0.7232,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_8,0.57604,-0.27412,-0.26509,-0.27205,-0.2865,0.0,-0.37377,-0.34299,-0.398,-0.3016,0.0,0.98652,-0.57968,1.41762,1.53375,0.57604,0.51319,0.69575,-0.56241,-0.55338,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,-0.39894,-0.61025,0.88055,-0.52199,-0.56203,0.0,-0.0325,-0.80433,1.44536,-0.71736,-0.39894,-0.15436,1.23368,-0.87193,0.65387,0.0,0.84226,-0.49359,-0.52744,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,0.1602,-0.52591,0.48415,-0.53207,-0.5582,0.0,1.4496,0.27001,1.19216,0.60019,-0.92589,-0.68269,0.43977,-0.63015,-0.61326,0.0,-0.45258,-0.4388,-0.39194,-0.39872,0.93641,1.05151,1.3251,0.69159,0.74988,0.40706,0.17102,-0.8121,-0.80863,-0.73634,0.0,-0.44684,-0.48466,-0.51158,-0.42325,-0.59071,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,-0.7232,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_9,-0.11671,-0.27412,-0.26509,-0.27205,-0.2865,0.0,-0.37377,-0.34299,-0.398,-0.3016,0.0,-0.53423,1.043,1.41762,1.53375,-0.11671,0.51319,-0.51323,-0.56241,-0.55338,0.0,2.07889,-0.34174,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,0.09957,0.37365,0.88055,0.45453,-0.56203,0.0,-0.85407,-0.13861,-0.85519,0.60644,0.09957,0.70772,0.25459,0.79629,0.65387,0.0,-0.54307,-0.49359,-0.52744,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,0.61236,0.70582,0.48415,-0.53207,-0.5582,0.0,-0.15064,0.27001,0.19719,0.60019,-0.92589,-0.68269,-0.61669,0.47196,-0.61326,0.0,-0.45258,-0.4388,-0.39194,-0.39872,0.04285,0.05434,-0.60412,0.69159,0.74988,0.40706,0.17102,-0.8121,-0.80863,0.54936,0.0,-0.44684,-0.48466,-0.51158,-0.42325,-0.59071,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,-0.7232,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_10,0.11421,-0.27412,-0.26509,-0.27205,-0.2865,0.0,3.38794,3.83415,-0.398,-0.3016,0.0,-0.53423,-0.57968,-0.51852,2.55517,0.11421,0.91229,1.17934,1.15951,-0.55338,0.0,-0.3358,-0.34174,-0.32283,4.42443,0.0,-0.22455,-0.2196,-0.18725,-0.19945,1.92745,3.41477,1.41871,0.88854,1.92726,0.0,-0.85407,0.12768,0.80632,-0.71736,1.92745,3.68582,3.38769,1.53772,2.58734,0.0,-0.54307,1.45622,1.89929,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-1.94988,-1.14177,-0.93502,-1.11044,-1.09453,0.0,-1.75088,-1.69658,-1.79276,-1.36075,0.04774,-0.68269,-0.61669,-0.63015,-0.61326,0.0,-0.45258,-0.4388,-0.39194,-0.39872,2.27676,2.63791,2.96494,2.44324,1.88583,-0.74667,0.55115,0.73354,1.00542,1.19221,0.0,-0.44684,-0.48466,-0.51158,-0.42325,-0.37555,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,-0.7232,-0.13961,-0.14919,-0.2037,-0.18655,0
