,MSS,y
peptide_nm_1,-0.8936,0
peptide_nm_2,0.32355,0
peptide_nm_3,0.78402,0
peptide_nm_4,-0.08879,0
peptide_nm_5,-0.69859,0
peptide_nm_6,-1.0212,0
peptide_nm_7,-0.39998,0
peptide_nm_8,-0.93361,0
peptide_nm_9,1.10734,0
peptide_nm_10,1.68565,0
peptide_nm_11,0.30606,0
peptide_nm_12,-0.89424,0
peptide_nm_13,-0.51884,0
peptide_nm_14,-0.53448,0
peptide_nm_15,-0.94246,0
peptide_nm_16,0.08488,0
peptide_nm_17,-1.42229,0
peptide_nm_18,-0.04362,0
peptide_nm_19,-0.86635,0
peptide_nm_20,0.39738,0
peptide_nm_21,-0.44042,0
peptide_nm_22,1.18587,0
peptide_nm_23,-0.40055,0
peptide_nm_24,-0.89844,0
peptide_nm_25,4.68385,0
peptide_nm_26,-0.96317,0
peptide_nm_27,-1.10102,0
peptide_nm_28,-0.72369,0
peptide_nm_29,-1.33733,0
peptide_nm_30,-1.34196,0
peptide_nm_31,0.61432,0
peptide_nm_32,2.25847,0
peptide_nm_33,-0.05749,0
peptide_nm_34,-0.41151,0
peptide_nm_35,-1.12473,0
peptide_nm_36,0.35965,0
peptide_nm_37,-0.31542,0
peptide_nm_38,0.13389,0
peptide_nm_39,-0.51275,0
peptide_nm_40,-0.54607,0
peptide_nm_41,-1.04113,0
peptide_nm_43,-0.23179,0
peptide_nm_44,-0.93226,0
peptide_nm_45,-1.1209,0
peptide_nm_46,-0.73957,0
peptide_nm_47,-1.26812,0
peptide_nm_48,2.47305,0
peptide_nm_49,1.22532,0
peptide_nm_50,-0.33898,0
peptide_nm_51,0.13684,0
peptide_nm_52,0.06738,0
peptide_nm_53,-1.28429,0
peptide_nm_54,-0.01639,0
peptide_nm_55,-1.30035,0
peptide_nm_56,0.46799,0
peptide_nm_57,-0.6354,0
peptide_nm_58,-0.05226,0
peptide_nm_59,0.22202,0
peptide_nm_60,-0.63377,0
peptide_nm_61,-1.20799,0
peptide_nm_62,-0.64637,0
peptide_nm_63,-0.85148,0
peptide_nm_64,-0.70124,0
peptide_nm_65,-0.59267,0
peptide_nm_66,-0.89031,0
peptide_nm_67,-0.4105,0
peptide_nm_68,1.05105,0
peptide_nm_69,-1.20586,0
peptide_nm_70,0.46407,0
peptide_nm_71,-0.92851,0
peptide_nm_72,0.18586,0
peptide_nm_73,-0.64391,0
peptide_nm_74,-0.75335,0
peptide_nm_75,-0.56451,0
peptide_nm_76,-0.07677,0
peptide_nm_77,-0.40301,0
peptide_nm_78,-0.90829,0
peptide_nm_79,-0.78431,0
peptide_nm_80,2.32624,0
peptide_nm_81,-1.52636,0
peptide_nm_82,0.79386,0
peptide_nm_83,0.65667,0
peptide_nm_84,-0.92807,0
peptide_nm_85,0.20024,0
peptide_nm_86,-0.80215,0
peptide_nm_87,-0.19482,0
peptide_nm_88,-0.82088,0
peptide_nm_89,2.7311,0
peptide_nm_90,0.60599,0
peptide_nm_91,1.03856,0
peptide_nm_92,-0.62576,0
peptide_nm_93,-0.69057,0
peptide_nm_94,-0.34175,0
peptide_nm_95,0.27622,0
peptide_nm_96,0.01738,0
peptide_nm_97,0.20641,0
peptide_nm_98,-0.26665,0
peptide_nm_99,-0.45806,0
peptide_nm_100,0.50668,0
peptide_nm_101,-0.87505,0
peptide_nm_102,0.29003,0
peptide_nm_103,1.45621,0
peptide_nm_104,0.55532,0
peptide_nm_105,2.1468,0
peptide_nm_106,0.38292,0
peptide_nm_107,0.01204,0
peptide_nm_108,-0.63221,0
peptide_nm_109,0.16503,0
peptide_nm_110,-0.96185,0
peptide_nm_111,-1.04104,0
peptide_nm_112,0.49985,0
peptide_nm_113,-1.17206,0
peptide_nm_114,-0.6809,0
peptide_nm_115,0.4031,0
peptide_nm_116,0.81963,0
peptide_nm_117,0.04984,0
peptide_nm_118,-0.98106,0
peptide_nm_119,0.09477,0
peptide_nm_120,-0.25538,0
peptide_nm_121,-0.95425,0
peptide_nm_122,-0.24614,0
peptide_nm_123,-0.13439,0
peptide_nm_124,1.0191,0
peptide_nm_125,0.60336,0
peptide_nm_126,-0.66011,0
peptide_nm_127,0.45979,0
peptide_nm_128,3.25748,0
peptide_nm_129,0.09645,0
peptide_nm_130,-0.22192,0
peptide_nm_131,-0.81769,0
peptide_nm_132,-0.23863,0
peptide_nm_133,0.06949,0
peptide_nm_134,0.23279,0
peptide_nm_135,0.33357,0
peptide_nm_136,-1.28086,0
peptide_nm_137,-1.30396,0
peptide_nm_138,0.32357,0
peptide_nm_139,-1.0456,0
peptide_nm_140,0.00878,0
peptide_nm_141,-0.31073,0
peptide_nm_142,-0.91878,0
peptide_nm_143,1.2865,0
peptide_nm_144,0.71877,0
peptide_nm_145,-1.33953,0
peptide_nm_146,-0.63553,0
peptide_nm_147,1.62409,0
peptide_nm_148,0.45496,0
peptide_nm_149,-0.62945,0
peptide_nm_150,0.33411,0
peptide_nm_151,-0.49332,0
peptide_nm_152,0.47553,0
peptide_nm_153,-0.28891,0
peptide_nm_154,-0.73236,0
peptide_nm_155,0.112,0
peptide_nm_156,-0.29756,0
peptide_nm_157,-1.0855,0
peptide_nm_158,-1.27025,0
peptide_nm_159,-0.68893,0
peptide_nm_160,-1.16759,0
peptide_nm_161,1.72071,0
peptide_nm_162,-0.35415,0
peptide_nm_163,-0.12035,0
peptide_nm_164,0.11481,0
peptide_nm_165,-1.25352,0
peptide_nm_166,-1.19048,0
peptide_nm_167,-0.8781,0
peptide_nm_168,0.75258,0
peptide_nm_169,-1.00736,0
peptide_nm_170,-0.18158,0
peptide_nm_171,0.65409,0
peptide_nm_172,-1.27256,0
peptide_nm_173,-0.69174,0
peptide_nm_174,-0.10208,0
peptide_nm_175,-0.07058,0
peptide_nm_176,-0.56878,0
peptide_nm_177,0.57718,0
peptide_nm_178,1.89107,0
