,Z5__1,Z5__2,Z5__3,Z5__4,Z5__5,Z5__6,Z5__7,Z5__8,Z5__9,Z5__10,Z5__11,Z5__12,Z5__13,Z5__14,Z5__15,Z5__16,Z5__17,Z5__18,Z5__19,Z5__20,Z5__21,Z5__22,Z5__23,Z5__24,Z5__25,Z5__26,Z5__27,Z5__28,Z5__29,Z5__30,Z5__31,Z5__32,Z5__33,Z5__34,Z5__35,Z5__36,Z5__37,Z5__38,Z5__39,Z5__40,Z5__41,Z5__42,Z5__43,Z5__44,Z5__45,Z5__46,Z5__47,Z5__48,Z5__49,Z5__50,Z5__51,Z5__52,Z5__53,Z5__54,Z5__55,Z5__56,Z5__57,Z5__58,Z5__59,Z5__60,Z5__61,Z5__62,Z5__63,Z5__64,Z5__65,Z5__66,Z5__67,Z5__68,Z5__69,Z5__70,Z5__71,Z5__72,Z5__73,Z5__74,Z5__75,y
peptide_nm_1,-0.9902,-0.00384,0.78874,0.93065,-0.54699,0.38792,-0.76313,0.00954,-0.14399,-0.45689,0.1027,-0.6556,0.49587,0.00362,-0.00924,-0.47912,-0.67133,-0.35181,-0.97642,-1.16222,0.27775,0.49634,1.91159,1.01252,2.18916,-1.31551,-0.3634,-0.84298,0.16082,-0.58147,0.34197,1.21145,0.62246,-0.15784,0.60015,-0.2869,-1.30017,-0.12516,0.53212,-1.87324,1.07606,0.11569,0.06636,0.05313,-0.13637,0.08239,0.2308,0.63473,-0.3348,-1.0955,-0.4199,-0.31034,0.40225,-1.58434,0.57571,1.76563,-0.12641,1.19123,-1.32432,-0.56144,-0.22018,-0.50164,-0.07734,1.98388,-1.11991,0.54062,-0.83397,-1.45909,-0.87254,-0.63497,0.12016,1.05769,1.39224,0.38983,0.8539,0
peptide_nm_2,-0.0037,-1.51269,0.32318,-0.38269,-0.93844,1.28298,-0.72617,0.4568,0.63446,-0.01411,-0.81947,0.04142,-0.08625,0.92517,-0.47368,1.67368,0.78186,-0.0838,-0.11567,1.39853,-0.37225,0.96259,-0.11772,0.1205,0.10077,-1.49285,-0.14963,-0.03385,0.62958,-0.35201,-0.08861,-0.92563,0.52988,-0.25406,-1.23608,0.85484,1.92907,-0.28893,0.61596,1.1047,0.62347,1.317,2.12224,0.94882,1.52396,0.27051,-0.81965,-0.94165,-0.19283,-0.14051,-0.21074,-1.35742,-3.64346,0.01568,-0.0502,0.93167,-1.33257,-0.40492,0.41483,0.22925,2.86265,2.16594,-1.25671,0.45231,1.71611,1.16228,2.98318,1.90794,0.97748,2.91198,-0.18342,-0.2185,-0.14636,1.94106,-0.09119,0
peptide_nm_3,-0.99559,-0.68414,0.7968,-0.9734,-0.34918,0.42612,-0.25365,1.30599,0.62197,-0.35655,0.71509,-0.71898,-0.25978,-0.71843,-0.69193,0.91991,-0.18708,0.56704,-0.56826,-0.40331,-1.32954,-0.42182,0.54041,-1.19339,0.9723,1.02318,2.00255,1.87929,1.2671,1.53077,-0.24203,-1.01256,-0.69751,0.72199,-0.04955,0.14733,-0.19433,0.49925,0.41324,-0.07489,0.36344,-0.39094,0.55725,-0.89413,0.22982,-0.15413,-0.1109,-0.81028,-0.38409,-0.57963,1.12306,0.59274,-0.12046,0.19625,-0.22141,-0.6233,-0.25922,-0.02666,-0.55324,0.55794,-0.12825,-0.78375,0.56302,-0.21906,-0.47851,0.88289,-0.47019,0.60531,-1.79129,0.26728,0.51622,-0.99789,-0.10664,-0.15123,0.05127,0
peptide_nm_4,-0.69572,0.187,0.79169,0.2263,-0.23172,-0.62382,-0.84321,-1.04828,-0.51434,-0.96322,-0.16478,0.26206,-0.58103,-0.64321,-0.11526,-2.52993,-1.41051,-0.34162,-0.32763,-0.23017,0.62293,0.43561,1.07695,-0.29936,0.66319,-0.71898,0.67646,-0.12546,-0.22445,-0.41186,0.34169,0.19607,-0.17284,0.32094,0.18058,-0.96125,-0.39241,0.7459,1.17242,1.03513,0.6878,-0.19673,0.21798,0.52271,0.19148,-1.10013,-0.51297,-0.44018,0.2081,-0.49719,0.70439,-0.68343,0.66657,-0.54108,-0.84234,0.8982,0.60585,0.50183,0.23472,1.35288,1.84016,1.2422,1.9244,-0.4781,1.15292,0.15343,-2.19732,-0.91476,-0.24087,-0.71895,0.05659,-0.56035,0.53689,1.19256,0.00563,0
peptide_nm_5,-0.20718,-1.7682,0.26164,0.25059,-1.5574,0.60845,-0.48599,-0.17928,-0.74896,0.19559,0.73324,-0.73176,-0.25109,0.28801,-1.13087,-0.21708,0.10661,0.5376,-1.83844,1.72796,1.22301,0.40499,-0.03688,0.8008,0.40658,-1.4036,-0.50056,-0.70147,-0.43408,-0.70606,0.74651,-0.97999,-0.21932,0.05479,-0.41706,-1.01082,-0.5091,-0.50741,-1.26605,-0.66191,0.21633,0.57093,0.60536,0.56653,1.45328,-0.60237,-1.50355,0.26862,-0.18513,0.18209,0.05213,0.27864,0.64915,-0.5228,0.78591,0.34915,-0.02986,-0.33181,0.11213,0.10146,0.18373,-0.65681,-0.01289,-0.1691,-0.97683,-0.63945,-0.50184,-0.50566,-1.23807,1.27303,-0.22718,0.43226,0.14761,-0.01252,-0.30113,0
peptide_nm_6,0.69545,-0.00171,0.10221,0.21296,-1.32153,0.06898,0.0286,1.02591,-0.66066,-0.70108,0.02455,-0.61324,-0.36101,-0.79122,-0.02397,-1.23891,0.10711,0.22434,-1.03225,-0.67511,0.66859,0.26404,-1.79356,-1.3367,1.68694,-0.79839,-0.6151,-0.05757,-0.53703,-0.03329,0.85285,-0.29942,-0.67125,0.31954,-0.38777,0.05365,-0.54157,-1.22517,-1.17682,0.04892,-0.16182,0.92749,0.57252,1.21185,1.02832,-0.66929,-0.61606,-0.80452,-0.15624,-0.58065,0.85859,-0.60256,-0.31529,0.98491,0.47162,0.80579,1.19045,-0.25997,-0.7478,-0.09961,2.00329,-1.16762,-1.3719,-0.16864,-0.12286,-0.92664,0.95296,0.87939,0.84925,-0.48525,0.44191,-0.1732,-0.67442,-0.51322,-0.33421,0
peptide_nm_7,0.43659,-0.90855,-1.18908,1.05325,0.37837,1.70497,-1.09404,-1.17496,0.2088,0.79815,-0.12428,0.24186,-0.63934,-0.78106,-1.25995,0.05462,-1.93762,-0.01079,0.0357,0.05644,-0.46108,1.24538,1.15176,-0.31487,0.22887,-0.55857,-1.18717,-1.24522,0.06659,-0.23546,-0.44825,1.40384,-0.49709,0.51945,0.04891,-0.8439,-2.31766,0.92662,-0.95135,0.28408,0.55692,0.75787,0.5904,-0.56278,-0.53881,0.03174,0.62627,0.7844,0.04766,0.06293,-0.19312,1.10672,0.76534,1.83714,2.08111,0.20075,-1.41205,-1.5845,-1.90086,-0.81414,0.18533,-0.57747,0.59443,-0.23701,-1.12483,-0.19848,-1.03591,0.02101,-0.34133,-1.31948,-0.41906,0.36084,0.42658,0.21038,0.6269,0
peptide_nm_8,-0.16056,-1.29699,0.99899,-1.95513,-0.69018,1.12341,-0.18531,0.02721,-0.43131,-0.92665,0.80389,0.90327,-0.94539,-0.49766,-1.48887,-0.06749,-0.05973,1.16271,-0.39082,-0.19508,0.45422,0.79701,0.2324,-0.35352,-0.5619,0.29549,0.96711,-1.36458,-1.83376,-0.80315,1.12609,1.24507,0.20406,-0.95251,0.13109,-0.21747,1.20978,0.53215,0.14865,-0.81716,0.64665,0.02285,0.51429,0.61528,-0.64829,-0.26353,0.62927,0.35332,0.23944,-0.51402,0.12104,0.93323,0.83732,0.54363,1.41965,0.58254,1.76206,0.39453,-0.93997,0.02878,-0.11499,1.2247,1.12675,0.89665,0.37298,0.399,-1.42314,-0.3817,0.15115,-0.82971,-0.9051,-0.10375,-0.33034,0.28213,-0.82356,0
peptide_nm_9,1.25309,0.85016,-0.05658,0.44927,-1.12699,1.25343,0.99031,-0.48913,-0.47486,-0.02767,0.91899,-0.12135,0.62749,0.75894,1.06547,0.87765,0.35434,0.24113,-0.37878,-1.27137,-1.37227,0.04963,-0.94573,0.14388,0.17723,-0.36282,-1.05384,-0.74911,-0.81753,-0.09596,-0.60269,0.98219,-1.46642,1.28724,-0.08778,-0.23603,-0.63425,0.24812,-0.29681,-1.67588,0.05343,0.00347,0.35071,-0.71543,3.02499,0.89499,0.3081,1.60958,-0.96221,-0.70175,-0.88264,-0.38547,-0.54274,-0.74802,1.05141,-0.90517,0.6478,-1.29771,2.36093,-1.18583,-0.71534,-0.27942,0.27524,0.09155,-1.5942,-0.4507,0.42923,-0.0538,-0.90666,1.49052,0.12574,-1.2738,0.77098,-1.5321,-0.07606,0
peptide_nm_10,-1.1398,1.43508,1.33381,0.56084,-0.14293,-0.34789,0.61269,0.52811,0.44583,0.58087,-1.37731,-1.54033,-0.95337,-0.58905,-0.7405,0.12157,1.64043,0.50605,0.15241,0.4472,0.98532,0.62889,1.37411,1.06823,0.82232,-1.32766,-0.21297,-0.86401,-0.69304,0.24088,-1.70022,-2.54384,1.3298,2.20808,0.31614,-0.42199,1.16122,-1.15147,-1.93154,-0.48292,0.76382,1.37836,0.60819,0.04729,-0.47445,1.51888,0.56701,-2.98908,-1.07746,0.33858,-2.66228,-1.18755,2.87623,0.47297,0.25397,-0.63582,-0.14391,-0.79766,0.23683,0.07485,-0.12286,-0.61685,-1.20912,-0.43908,-0.60772,0.36775,2.3206,0.639,-0.11164,0.44337,0.08208,-0.12666,-0.61768,-0.0281,-0.11174,0
