,MSW__1,MSW__2,MSW__3,MSW__4,MSW__5,MSW__6,MSW__7,MSW__8,MSW__9,MSW__10,MSW__11,MSW__12,MSW__13,MSW__14,MSW__15,MSW__16,MSW__17,MSW__18,MSW__19,MSW__20,MSW__21,MSW__22,MSW__23,MSW__24,MSW__25,MSW__26,MSW__27,MSW__28,MSW__29,MSW__30,y
peptide_nm_1,-0.79555,1.04307,0.67186,0.84374,0.29658,-1.64932,-1.33918,-0.53002,-1.5036,-0.60488,1.70611,0.85785,1.72525,1.06489,0.69845,1.01025,0.19297,0.08012,0.72234,-0.07874,-2.02357,-0.00596,-1.35011,-1.36245,-0.81348,2.95081,0.34328,1.10044,3.19938,0.33042,0
peptide_nm_2,-0.59861,-1.60312,-1.13709,-1.35843,-1.54261,1.58726,2.30537,1.22749,-1.00435,2.04225,-2.38381,-0.03832,-1.92112,0.19922,-0.43407,1.069,0.30086,0.97635,0.30942,0.19038,-0.29294,0.31814,-1.22399,-0.51831,-0.61016,0.59596,-1.10977,-0.18215,-0.62608,-0.12613,0
peptide_nm_3,0.48204,0.84585,0.40435,0.19568,0.32938,-0.38889,-0.37797,-0.42774,-0.01984,-0.48223,0.59346,1.18446,1.54752,1.22087,1.17856,-0.82739,-0.1838,0.06396,-0.55471,-0.02374,-0.03373,-0.23686,-0.50037,-0.89297,-0.08683,-0.5299,0.58174,0.49741,0.56111,0.4488,0
peptide_nm_4,-2.37925,-0.47562,-1.2187,-0.81968,-0.79341,0.41385,1.0149,0.71729,0.92001,0.41286,-0.10206,-0.94224,-0.59183,-0.11588,-0.73484,-0.01746,-2.52106,0.03559,-1.50852,-0.70553,0.06592,1.51599,0.44187,0.55484,0.87922,-0.62941,0.2465,0.56271,0.87529,0.29323,0
peptide_nm_5,-0.11296,-0.52085,-0.7954,-0.52357,-1.05537,0.02018,0.26892,0.72468,-0.75021,0.72594,-0.21852,0.86517,-0.77999,-0.2648,-0.02043,1.16761,-0.19086,-0.56069,0.17922,0.73966,-0.23192,-1.06858,-0.53722,0.55129,-1.92919,0.22329,-0.42948,0.61048,0.68185,0.07344,0
peptide_nm_6,-0.5742,-1.28152,-0.78905,-1.22914,-1.19246,1.0055,2.01685,0.49272,0.34398,0.2226,-1.07473,-0.47416,-0.78887,-0.91567,-0.26855,1.45475,0.1286,-0.28212,-0.44068,-0.23455,-0.24569,-1.41452,-0.79999,-0.27758,0.18276,-0.68876,0.53043,-0.01898,-0.29479,-0.21445,0
peptide_nm_7,-2.0704,-0.93431,-0.71548,-0.0912,-0.59733,-0.00703,0.55329,0.63459,-0.23324,-0.22236,-0.50708,-1.52399,-0.50193,-0.5065,0.24442,-0.66744,0.11668,-0.48449,-0.01926,0.09116,0.7515,1.18217,1.10566,-0.00041,0.0858,-0.72398,-1.81544,-0.89829,-0.98998,-0.9605,0
peptide_nm_8,0.7757,0.36696,-0.6396,-0.14605,0.38328,-1.36483,-0.55012,0.17295,0.58018,0.12113,1.01594,0.46282,0.54461,0.18089,1.48791,0.7023,-0.39735,0.02696,-0.81557,-0.57697,-0.48708,0.5315,-0.57961,-1.06605,-1.61714,0.80339,0.75574,0.81726,0.90909,-0.47092,0
peptide_nm_9,0.32555,1.10822,-0.15252,-0.53251,0.137,-0.99201,-0.23133,0.49498,0.88313,-0.28668,0.38406,-0.11098,-0.75693,-0.92869,-0.84567,-0.08385,0.15523,-0.57175,-1.22489,-1.19423,0.96523,-0.27568,0.92974,0.96243,1.60863,0.38382,-1.40152,0.26545,-0.52606,-2.36409,0
peptide_nm_10,-1.09942,0.36236,0.22801,0.19814,0.82156,0.34013,0.48419,0.50747,1.15779,0.83189,-0.16698,0.2266,-0.90043,-2.34118,-0.73633,-1.22758,-0.94956,-0.67615,-1.6927,-2.1287,0.52658,-0.08162,-0.07224,3.01727,1.61396,2.10486,-0.73333,-3.02578,-2.06823,0.36282,0
