,QSO3_SC_A,QSO3_SC_R,QSO3_SC_N,QSO3_SC_D,QSO3_SC_C,QSO3_SC_Q,QSO3_SC_E,QSO3_SC_G,QSO3_SC_H,QSO3_SC_I,QSO3_SC_L,QSO3_SC_K,QSO3_SC_M,QSO3_SC_F,QSO3_SC_P,QSO3_SC_S,QSO3_SC_T,QSO3_SC_W,QSO3_SC_Y,QSO3_SC_V,QSO3_G_A,QSO3_G_R,QSO3_G_N,QSO3_G_D,QSO3_G_C,QSO3_G_Q,QSO3_G_E,QSO3_G_G,QSO3_G_H,QSO3_G_I,QSO3_G_L,QSO3_G_K,QSO3_G_M,QSO3_G_F,QSO3_G_P,QSO3_G_S,QSO3_G_T,QSO3_G_W,QSO3_G_Y,QSO3_G_V,QSO3_SC1,QSO3_SC2,QSO3_SC3,QSO3_G1,QSO3_G2,QSO3_G3,y
peptide_nm_1,0.0,0.4654,0.4654,0.4654,0.0,0.0,0.0,0.0,0.0,0.9308,0.0,0.4654,0.0,0.0,0.9308,1.3962,1.3962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.2293,0.1859,0.1194,0.2293,0.1859,0.1194,0
peptide_nm_2,0.0,0.3985,0.0,0.3985,0.0,0.3985,0.0,0.0,1.1954,0.3985,0.3985,0.7969,0.0,0.3985,0.7969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.2589,0.1805,0.1622,0.2589,0.1805,0.1622,0
peptide_nm_3,1.5322,0.3064,0.0,0.0,0.6129,0.3064,0.3064,1.2258,0.6129,0.6129,1.2258,0.3064,0.0,0.0,0.3064,0.0,0.0,0.0,0.0,0.9193,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2491,0.2025,0.2419,0.2491,0.2025,0.2419,0
peptide_nm_4,0.2946,0.0,0.5892,0.2946,0.0,0.5892,1.7675,0.5892,0.0,0.0,0.2946,0.5892,0.2946,0.0,0.5892,0.2946,0.2946,0.2946,0.0,0.2946,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3066,0.1901,0.2087,0.3066,0.1901,0.2087,0
peptide_nm_5,0.2756,0.0,0.5512,0.5512,0.0,0.5512,0.0,0.0,0.2756,0.5512,0.8268,0.8268,0.2756,0.0,0.0,0.5512,0.5512,0.0,0.5512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2704,0.2217,0.2323,0.2704,0.2217,0.2323,0
peptide_nm_6,0.2408,0.2408,0.4817,0.4817,0.0,0.4817,0.7225,0.0,0.4817,0.0,0.9633,0.2408,0.2408,0.4817,0.7225,0.0,0.0,0.4817,0.0,0.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2178,0.2834,0.258,0.2178,0.2834,0.258,0
peptide_nm_7,0.3366,0.6732,0.6732,0.0,0.0,0.6732,0.6732,0.3366,0.0,0.0,1.3463,0.3366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2518,0.2637,0.1479,0.2518,0.2637,0.1479,0
peptide_nm_8,0.0,0.3653,0.3653,0.3653,0.0,0.0,0.3653,0.3653,0.0,0.7307,0.3653,0.3653,0.0,0.0,0.0,0.3653,0.7307,0.0,0.3653,1.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.254,0.1575,0.2232,0.254,0.1575,0.2232,0
peptide_nm_9,0.0,0.7321,0.0,0.3661,0.3661,0.0,0.0,0.3661,0.0,0.0,2.1964,0.3661,0.0,0.0,0.0,0.7321,0.0,0.0,0.3661,0.3661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2201,0.2057,0.2081,0.2201,0.2057,0.2081,0
peptide_nm_10,0.4223,0.4223,0.0,0.4223,0.4223,0.0,0.0,0.0,0.0,0.0,0.0,1.6894,0.0,0.4223,0.0,0.8447,0.4223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.139,0.2138,0.2248,0.139,0.2138,0.2248,0
