,DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,y
peptide_nm_1,-1.08917,0.18503,0.15764,0.19307,-0.41977,-0.56496,-0.68558,-1.1224,-0.51434,0.18158,-1.28942,0.73694,-0.4832,-0.83024,0.06114,-0.38622,0.36392,-0.57674,-0.56951,-1.05964,0
peptide_nm_2,-1.08917,0.52776,-0.63213,0.8415,-0.41977,0.91938,-0.68558,-1.1224,0.0381,0.41564,-0.19613,-0.33252,-0.4832,-0.05029,-0.16377,-0.93464,-0.77851,-0.57674,-0.56951,-1.05964,0
peptide_nm_3,-0.15927,2.45965,-0.63213,-0.68066,1.00511,2.31262,1.07862,0.29451,0.9151,1.257,0.12563,3.30645,-0.4832,-0.83024,2.26693,-0.93464,-0.77851,-0.57674,-0.56951,1.78972,0
peptide_nm_4,0.81549,-0.78441,0.77107,0.97339,-0.41977,0.51882,-0.18465,0.58789,-0.51434,-1.01927,2.00643,1.25154,1.89196,-0.83024,1.29465,0.82616,0.74247,2.40277,-0.56951,0.95233,0
peptide_nm_5,2.54072,-0.78441,0.43455,0.83738,-0.41977,1.43783,-0.68558,-1.1224,1.52693,0.54566,-0.2228,0.09107,0.96444,-0.83024,-0.73372,0.05545,0.47383,-0.57674,0.80579,-1.05964,0
peptide_nm_6,2.0473,1.93785,1.04178,1.12038,-0.41977,1.12167,0.33946,-1.1224,1.58355,-1.01927,-0.05214,1.27955,1.57168,0.98331,0.86159,-0.93464,-0.77851,0.80486,-0.56951,2.90414,0
peptide_nm_7,0.56015,-0.07517,0.17875,-0.68066,-0.41977,0.18525,-0.01595,1.14402,-0.51434,-1.01927,-0.71522,1.07826,-0.4832,-0.83024,-0.73372,-0.93464,-0.77851,-0.57674,-0.56951,0.45369,0
peptide_nm_8,-1.08917,0.7278,0.33769,0.32358,-0.41977,-0.56496,0.89963,1.14402,-0.51434,-0.2238,-0.03436,0.42188,-0.4832,-0.83024,-0.73372,0.31723,-0.00106,-0.57674,0.71572,0.1276,0
peptide_nm_9,-1.08917,0.05493,-0.63213,0.49531,0.80044,-0.56496,-0.68558,0.05594,-0.51434,-1.01927,-0.70811,0.42188,-0.4832,-0.83024,-0.73372,-0.09665,-0.77851,-0.57674,0.71572,0.88901,0
peptide_nm_10,-0.21275,0.06612,-0.63213,0.06394,0.89574,-0.56496,-0.68558,-1.1224,-0.51434,-1.01927,-1.28942,-0.64933,-0.4832,0.44812,-0.73372,-0.21657,0.58915,-0.57674,-0.56951,-1.05964,0
peptide_nm_11,-1.08917,-0.78441,0.74375,-0.68066,-0.41977,0.17721,-0.68558,-0.2052,-0.51434,-1.01927,-0.26724,-0.30276,-0.4832,-0.83024,-0.73372,-0.03523,0.72483,-0.57674,-0.2603,-1.05964,0
peptide_nm_12,0.32724,1.23001,0.92008,0.77006,-0.41977,-0.56496,0.8082,0.85064,1.3612,-1.01927,0.77271,1.05726,1.05924,0.1577,-0.73372,0.74134,0.38021,-0.57674,-0.56951,-1.05964,0
peptide_nm_13,2.9565,0.73899,-0.63213,0.55026,-0.41977,2.44391,1.32458,0.53308,2.14428,-1.01927,1.5549,0.55666,-0.4832,2.59776,1.77101,0.33331,0.28116,-0.57674,-0.56951,1.6156,0
peptide_nm_14,-0.45256,-0.78441,0.4507,0.54888,-0.41977,-0.56496,0.6292,1.08276,-0.51434,-1.01927,-0.36857,0.04206,1.47176,-0.83024,0.98732,0.32746,0.50639,-0.57674,-0.56951,1.35599,0
peptide_nm_15,-0.08681,-0.78441,1.54966,1.95977,-0.41977,-0.56496,-0.68558,-0.09236,1.12365,-1.01927,-1.28942,2.11446,-0.4832,1.21032,-0.02826,-0.93464,1.05318,-0.57674,-0.56951,1.09163,0
peptide_nm_16,-1.08917,-0.78441,-0.63213,1.0668,-0.41977,1.26769,-0.19495,1.33745,1.59322,0.86538,-0.34902,-1.07641,-0.4832,-0.83024,0.70234,0.55853,0.60679,-0.57674,0.59069,0.35713,0
peptide_nm_17,1.35721,-0.78441,2.38164,4.53426,-0.41977,6.09179,3.77,3.43139,4.57501,4.94524,4.03479,1.09576,2.81563,3.32825,1.27509,0.15489,2.81567,7.68992,5.95073,1.72166,0
peptide_nm_18,-1.08917,-0.78441,0.74375,0.10927,0.83012,0.69164,0.04715,0.38962,-0.51434,-1.01927,-0.61034,-1.07641,-0.4832,-0.83024,-0.73372,0.10078,-0.77851,-0.57674,0.3608,-1.05964,0
peptide_nm_19,0.51702,0.46761,0.54383,-0.68066,-0.41977,0.9301,0.46695,-1.1224,-0.51434,0.54261,1.74156,-0.06822,0.49172,-0.83024,0.65485,-0.93464,-0.77851,-0.57674,-0.56951,0.49643,0
peptide_nm_20,-0.04368,0.10949,0.53389,0.85249,-0.41977,-0.56496,0.13214,0.28323,-0.51434,-1.01927,0.69449,0.49014,-0.4832,-0.83024,1.17731,-0.93464,-0.77851,-0.57674,1.72266,0.03895,0
peptide_nm_21,-0.09544,-0.78441,0.22966,-0.68066,-0.41977,-0.56496,-0.68558,-0.044,-0.51434,-1.01927,-0.19969,-1.07641,1.34621,-0.83024,-0.73372,0.56292,0.02744,-0.57674,-0.56951,0.32072,0
peptide_nm_22,1.54353,-0.78441,0.89773,0.39502,-0.41977,-0.56496,-0.68558,-0.58078,-0.51434,0.5013,1.74156,0.49014,-0.4832,-0.83024,-0.73372,1.066,0.37885,0.63318,-0.56951,-0.10035,0
peptide_nm_23,-0.03333,-0.78441,-0.63213,0.37029,-0.41977,-0.56496,0.78116,0.28323,-0.51434,-1.01927,-1.28942,0.22059,-0.4832,0.78293,-0.73372,-0.15807,0.0098,-0.57674,1.58956,0.05795,0
peptide_nm_24,-0.17652,1.46223,-0.63213,-0.68066,-0.41977,1.01047,0.02654,-1.1224,-0.51434,-0.21003,0.7816,-1.07641,-0.4832,0.27565,-0.73372,-0.39499,0.94735,-0.57674,0.51406,0.25107,0
peptide_nm_25,-1.08917,-0.56059,-0.63213,-0.4059,-0.41977,-0.56496,-0.68558,-1.1224,-0.51434,-1.01927,-1.28942,-1.07641,-0.4832,-0.83024,-0.2867,-0.93464,-0.77851,-0.57674,-0.40146,-1.05964,0
peptide_nm_26,-1.08917,-0.78441,0.22842,-0.38117,-0.41977,-0.56496,-0.07133,-1.1224,-0.51434,0.82714,-0.21036,-1.07641,-0.4832,-0.02365,-0.73372,0.07885,-0.77851,0.63047,0.63102,0.85102,0
peptide_nm_27,-1.08917,-0.78441,-0.63213,0.60796,-0.41977,0.47863,-0.68558,-0.00531,-0.51434,-0.00658,-1.28942,-0.40253,-0.4832,-0.06043,0.71352,-0.12444,-0.25614,-0.57674,-0.56951,-1.05964,0
peptide_nm_28,0.41523,-0.78441,0.22966,0.60933,-0.41977,-0.56496,-0.68558,0.39123,-0.51434,0.21371,-0.3899,0.48839,1.57424,-0.83024,0.42295,0.76913,-0.77851,-0.57674,-0.56951,-0.23807,0
peptide_nm_29,0.30137,0.12068,1.14112,0.11064,-0.41977,0.81221,0.02654,-1.1224,-0.51434,0.21371,1.56556,-0.259,-0.4832,-0.83024,-0.73372,0.27628,1.15901,-0.57674,1.14054,-1.05964,0
peptide_nm_30,0.4066,0.12907,0.32776,0.63269,1.50351,-0.56496,-0.68558,0.12364,-0.51434,-1.01927,1.21003,-1.07641,-0.4832,0.5407,0.28745,-0.93464,-0.00106,-0.57674,0.88376,-1.05964,0
peptide_nm_31,1.69708,2.19805,-0.63213,1.24677,4.01424,-0.56496,-0.68558,1.32133,-0.51434,0.62827,2.49175,0.7982,-0.4832,0.88439,0.64088,1.44624,0.66785,-0.57674,3.02536,1.69316,0
peptide_nm_32,0.36347,-0.78441,-0.22607,-0.68066,0.37391,-0.56496,0.22614,-0.56628,-0.51434,-1.01927,0.5025,-0.0122,-0.4832,-0.83024,-0.02407,-0.93464,-0.77851,-0.57674,0.78562,0.27323,0
peptide_nm_33,-0.2093,0.33471,-0.63213,0.08042,-0.41977,0.69164,0.20554,-1.1224,-0.51434,0.03932,-0.32591,0.86297,-0.4832,-0.83024,-0.73372,-0.93464,-0.77851,-0.57674,-0.56951,0.6943,0
peptide_nm_34,-1.08917,-0.78441,-0.63213,-0.17098,-0.41977,-0.56496,-0.68558,-1.1224,-0.51434,-1.01927,-0.83255,-1.07641,-0.4832,-0.83024,-0.73372,-0.93464,-0.61569,-0.57674,-0.56951,-0.61165,0
peptide_nm_35,-0.23863,1.18245,-0.63213,-0.32073,1.77692,-0.56496,-0.68558,0.86192,-0.51434,-1.01927,-0.03436,0.20309,-0.4832,-0.83024,0.46207,0.09786,0.10749,-0.57674,0.88376,-1.05964,0
peptide_nm_36,-1.08917,0.62568,0.24705,0.15461,-0.41977,-0.56496,-0.07648,-1.1224,-0.51434,-0.54658,-1.28942,-1.07641,-0.4832,0.06766,-0.73372,-0.42278,0.36392,-0.57674,-0.56951,-1.05964,0
peptide_nm_37,1.10878,2.5128,1.08151,1.20006,4.59388,-0.56496,2.30069,1.115,-0.51434,0.86232,0.06163,2.38227,2.77207,4.87928,3.57587,1.04846,1.99752,-0.57674,-0.56951,1.33224,0
peptide_nm_38,0.51012,1.6301,-0.63213,1.29348,0.34266,1.46998,0.09866,1.00378,-0.51434,1.30442,1.26158,2.41202,1.88939,-0.83024,-0.73372,0.55853,0.83338,-0.57674,1.60166,-1.05964,0
peptide_nm_39,1.85235,-0.78441,-0.00379,0.85249,-0.41977,-0.56496,0.78116,1.33745,1.37501,0.4294,-0.15347,0.43413,1.70107,-0.83024,0.45788,-0.93464,-0.77851,-0.57674,0.59069,-0.10985,0
peptide_nm_40,0.47044,-0.78441,-0.63213,1.17946,1.60506,2.40774,0.32659,0.10591,0.3889,1.88114,-1.28942,-1.07641,-0.4832,1.39929,1.02085,1.0777,0.87544,-0.57674,-0.56951,-1.05964,0
peptide_nm_41,3.40334,0.86769,-0.63213,0.62719,-0.41977,1.18195,0.36908,-1.1224,-0.51434,1.43445,0.18074,0.86997,2.2686,0.41895,1.20664,0.38742,-0.77851,-0.57674,1.87457,-1.05964,0
peptide_nm_43,0.36347,-0.04719,-0.63213,0.15461,-0.41977,-0.56496,-0.68558,0.23487,0.23422,-1.01927,-1.28942,-1.07641,-0.4832,-0.32295,0.02343,-0.93464,-0.77851,0.11,0.11343,0.53601,0
peptide_nm_44,-0.03161,-0.78441,-0.63213,0.08317,-0.41977,0.83766,-0.68558,-1.1224,0.21626,-1.01927,-0.09658,-1.07641,0.63392,-0.0097,1.26112,-0.93464,-0.77851,-0.57674,-0.56951,0.74338,0
peptide_nm_45,0.09779,1.57973,-0.63213,0.983,-0.41977,1.1431,0.79017,3.23473,1.81972,-0.10754,1.866,3.02814,1.56656,1.0239,0.61433,1.08209,-0.77851,-0.57674,-0.56951,0.63098,0
peptide_nm_46,0.50494,6.07301,5.66115,0.92256,-0.41977,2.65557,0.66011,1.29232,1.89844,1.35796,1.52646,2.42077,5.79674,3.99914,3.45992,2.78147,6.83046,-0.57674,6.24381,2.15856,0
peptide_nm_47,2.4027,0.78096,2.91312,1.91993,-0.41977,5.36436,2.61103,1.6405,-0.51434,0.58697,0.20918,-0.10497,4.96147,-0.83024,-0.73372,3.38839,2.64336,-0.57674,2.76724,3.63706,0
peptide_nm_48,-0.47154,-0.78441,0.74375,0.60796,-0.41977,-0.56496,-0.68558,-0.22938,-0.51434,-0.14884,0.13274,-0.4778,-0.4832,-0.83024,-0.73372,-0.09372,0.1604,-0.57674,-0.56951,0.6943,0
peptide_nm_49,-0.10061,0.39067,0.71022,0.38128,-0.41977,-0.56496,-0.28895,0.41863,-0.51434,0.09898,-0.03436,-1.07641,-0.4832,-0.83024,-0.73372,-0.93464,-0.77851,-0.57674,-0.56951,0.16401,0
peptide_nm_50,0.73785,0.32072,-0.63213,0.67939,2.1722,1.14578,1.66197,0.06239,-0.51434,-1.01927,-0.01836,1.34956,-0.4832,0.46715,0.23716,1.49158,1.80621,-0.57674,1.14726,-1.05964,0
peptide_nm_51,1.22609,0.00177,1.18706,-0.68066,-0.41977,0.18123,0.99363,1.65985,2.94393,2.02953,-0.33302,-1.07641,-0.4832,0.39359,-0.73372,-0.93464,1.12102,-0.57674,-0.56951,-1.05964,0
peptide_nm_52,-0.05403,0.43543,-0.63213,0.88409,-0.41977,-0.56496,0.78116,-0.13588,-0.51434,0.30702,-0.43435,0.13832,-0.4832,0.10951,-0.73372,-0.93464,-0.77851,-0.57674,-0.56951,-1.05964,0
peptide_nm_53,1.41932,1.24959,-0.63213,-0.68066,2.24251,-0.56496,1.02712,0.6572,0.54635,2.3523,0.9167,-1.07641,1.89196,0.3492,0.87836,0.65505,0.20111,-0.57674,0.93754,0.66106,0
peptide_nm_54,-0.66822,-0.78441,-0.63213,-0.68066,-0.41977,-0.56496,0.61246,-1.1224,-0.51434,-0.08918,-0.41657,-0.217,-0.4832,0.2376,-0.73372,-0.19171,-0.77851,-0.57674,-0.56951,-1.05964,0
peptide_nm_55,0.0374,-0.78441,-0.63213,0.08317,-0.41977,-0.56496,-0.68558,1.0199,1.5656,-1.01927,-0.55523,-1.07641,-0.4832,0.36315,0.14775,0.78521,-0.07432,-0.57674,-0.56951,0.30014,0
peptide_nm_56,0.64296,1.18944,-0.63213,0.54064,-0.41977,0.86579,1.98648,0.29774,-0.51434,0.22748,1.866,-1.07641,-0.4832,0.38852,3.04223,0.74134,2.25938,1.84715,-0.56951,0.54709,0
peptide_nm_57,0.64986,-0.78441,-0.22234,0.01723,-0.41977,-0.56496,-0.68558,-0.2729,-0.51434,0.06379,-0.41657,-1.07641,-0.4832,-0.83024,0.44251,-0.04546,-0.77851,-0.57674,-0.56951,-1.05964,0
peptide_nm_58,1.25369,1.22301,-0.63213,1.37453,1.01761,-0.56496,1.41988,0.85064,2.10423,-1.01927,1.00026,1.41082,-0.4832,-0.83024,-0.73372,2.16577,0.55659,-0.57674,0.88242,-0.08294,0
peptide_nm_59,-0.45256,1.21322,0.4507,-0.68066,-0.41977,0.69298,-0.68558,-1.1224,-0.51434,0.31467,-0.03436,-1.07641,-0.4832,0.36062,1.50978,0.27628,-0.77851,-0.57674,0.51406,0.74338,0
peptide_nm_60,1.32098,1.31814,1.25039,0.59697,2.03003,-0.56496,1.97489,3.71832,1.78519,1.68227,0.20207,1.71363,2.69136,1.07589,1.47066,2.30178,1.73565,-0.57674,-0.56951,0.29381,0
peptide_nm_61,-0.06266,1.67346,-0.63213,0.33457,-0.41977,0.37816,0.13214,1.40999,1.35567,1.20499,2.30331,-1.07641,-0.4832,0.56987,0.83226,0.92415,1.05861,-0.57674,-0.56951,1.98285,0
peptide_nm_62,-0.31282,-0.78441,-0.63213,-0.68066,-0.41977,0.14506,0.48498,0.07851,-0.51434,-1.01927,-0.70278,-1.07641,-0.4832,-0.83024,0.12959,-0.26922,-0.77851,-0.57674,-0.56951,0.11968,0
peptide_nm_63,0.10814,0.42284,1.26281,0.05981,-0.41977,1.71915,0.03684,-1.1224,-0.51434,-1.01927,-0.43257,0.49014,-0.4832,-0.83024,1.17731,0.2441,0.73705,1.48621,-0.56951,-1.05964,0
peptide_nm_64,-1.08917,-0.78441,0.88407,0.99399,-0.41977,-0.56496,0.98333,0.43798,1.46754,0.60838,1.11403,0.36062,2.59656,0.35681,1.01247,0.43715,1.43987,1.9864,0.53826,-1.05964,0
peptide_nm_65,0.30137,-0.78441,0.63944,-0.68066,-0.41977,0.20668,-0.68558,0.92801,0.60712,0.24736,1.56556,0.32386,-0.4832,0.61426,-0.73372,-0.09226,-0.77851,-0.57674,-0.56951,0.09752,0
peptide_nm_66,0.78616,0.9922,0.29299,1.02422,0.83012,-0.56496,-0.68558,2.26917,-0.51434,0.30702,-1.28942,0.39563,-0.4832,1.39802,0.21201,0.32161,1.40459,-0.57674,-0.56951,-1.05964,0
peptide_nm_67,1.88513,0.11368,-0.63213,0.61757,-0.41977,-0.56496,0.36007,0.01403,-0.51434,0.49518,-1.28942,0.19259,1.04131,1.58572,1.92747,-0.93464,-0.77851,0.82649,0.91603,-1.05964,0
peptide_nm_68,-1.08917,-0.78441,-0.63213,0.38128,-0.41977,-0.56496,0.89963,0.86192,0.80599,-1.01927,-1.28942,-0.46379,0.42126,-0.83024,0.14217,-0.93464,0.38292,-0.57674,0.37962,-0.2349,0
peptide_nm_69,-0.53192,1.21882,-0.63213,-0.68066,-0.41977,3.05613,-0.68558,1.7614,1.96197,0.05767,1.16203,2.74984,1.56656,0.95034,1.77101,0.62727,1.06539,1.39969,-0.56951,2.65245,0
peptide_nm_70,-0.1541,0.20601,0.61958,0.47607,-0.41977,-0.56496,0.3987,-1.1224,-0.51434,-0.2957,-0.20858,0.16283,-0.4832,-0.83024,-0.73372,-0.93464,-0.06347,-0.57674,-0.56951,-0.25548,0
