,SEP_A,SEP_C,SEP_D,SEP_E,SEP_F,SEP_G,SEP_H,SEP_I,SEP_K,SEP_L,SEP_M,SEP_N,SEP_P,SEP_Q,SEP_R,SEP_S,SEP_T,SEP_V,SEP_W,SEP_Y,y
Neg_446,1.75043,-1.3676,-0.51175,-0.30625,0.0857,-0.05532,-0.53401,-0.06972,-0.5842,0.25781,0.88092,-0.80816,1.58144,-1.26754,0.47792,-0.87215,-1.68436,-0.49632,0.68408,1.02527,0
Neg_2228,0.64311,-0.02094,0.73269,0.08077,0.1636,-1.27718,-0.44206,-0.37849,0.16996,-0.15473,0.05413,0.49491,-0.86212,-0.88641,-0.44093,-0.91017,-0.24352,0.77337,-0.92094,0.27585,0
Neg_2386,0.74646,-0.39637,-0.24778,-0.06436,1.33216,-0.64468,0.93717,1.19701,-0.33281,0.02862,0.88092,-0.53175,-0.00905,-0.44305,-1.52471,-1.13068,-1.67644,0.41939,0.68408,1.02527,0
Neg_2835,0.93839,0.71361,0.58185,-1.70227,0.47521,0.98686,-0.7271,-0.23598,-1.33118,-0.96452,0.88092,1.20568,1.58144,-0.1397,-1.32052,0.22282,-1.24103,0.61946,0.68408,-0.48189,0
Neg_2149,0.25186,-1.28598,-0.43633,0.05312,0.14023,-0.87468,0.93717,-1.7244,0.14841,0.33421,-1.36979,-0.00262,0.47533,0.07809,-0.18962,0.48135,-1.15394,-0.41936,0.68408,0.2592,0
Neg_2248,0.20756,0.71361,-0.63997,-0.7762,-0.29603,0.27531,-1.56383,0.18362,-1.07261,0.60923,-0.29496,0.19481,0.07048,0.27255,-0.80219,-0.04332,-0.32269,0.48095,0.68408,-1.6643,0
Neg_2739,-0.72997,-0.29843,-0.95674,-0.16803,0.03895,0.31843,-0.20299,-0.66351,0.05504,0.18906,0.2103,-0.10529,-0.32714,0.30366,-0.73151,0.23803,-0.75811,-0.34241,-0.64274,-0.35699,0
Neg_2580,-0.21322,0.71361,0.14441,1.45606,-0.74008,-0.13438,0.93717,-0.13306,-0.66321,0.92246,0.88092,-0.12109,-0.86935,-0.80085,0.4151,-1.95952,0.00189,0.17315,0.68408,1.02527,0
Neg_2765,-0.31657,0.06884,-0.70031,-0.27169,1.33216,-0.235,-0.69951,-1.61356,-0.03115,0.29601,0.15518,-0.76867,-0.44281,-0.41194,1.73448,0.12397,-0.88478,-0.45784,-0.73904,-0.0822,0
Neg_939,1.75043,-0.20865,-0.42879,-0.23023,-1.76062,0.44062,-0.77307,0.30238,-1.60411,0.78494,-1.3606,-0.26324,-0.52957,-0.17859,0.27373,0.16959,0.43731,-0.41167,-0.52504,0.08434,0
Neg_1859,1.75043,0.71361,-1.6129,1.45606,-0.78683,0.54124,-0.64434,-0.95644,-1.23062,-0.42975,0.88092,-0.15267,0.33797,-0.06969,1.73448,-0.04332,-0.02977,-2.19692,0.68408,1.02527,0
Neg_1088,-1.20981,0.71361,0.11424,0.26737,0.52196,-0.45781,-0.64434,0.37363,0.01195,-0.42975,0.88092,-0.94242,1.58144,-0.84751,-0.70795,-0.04332,-0.45727,0.14237,-1.73416,-0.40695,0
Neg_448,-0.5528,-0.0291,-0.10448,-0.47211,0.15581,-0.465,-0.45125,-0.39433,-0.19635,0.07446,-1.98529,-0.9977,0.48979,0.56034,0.5486,0.49656,-0.87686,-0.93493,0.68408,0.26753,0
Neg_2831,-0.71521,0.11781,0.16703,-0.15421,0.04674,0.10281,-0.1938,1.19701,-0.9936,-0.49851,0.2103,-0.3817,-0.67416,-0.97974,0.43866,-0.34748,-0.74227,0.19624,0.68408,-0.34866,0
Neg_358,-0.82594,0.71361,-0.31566,-0.12656,0.51417,-0.19906,-0.02829,-1.28896,-0.72785,-0.6895,0.88092,-0.96611,0.32351,0.45144,1.73448,0.28365,-1.43103,-0.65022,-0.43944,1.02527,0
Neg_2287,0.45117,0.71361,0.60447,0.23972,-0.83357,-1.15499,0.93717,-0.1964,-0.419,-0.91105,-1.25036,0.36066,0.80788,-0.53639,-0.44878,-0.3931,-0.06144,-0.31933,0.68408,-0.44025,0
Neg_2597,-0.45683,0.71361,-1.24333,-0.97662,-0.47521,0.74249,-0.38689,0.05695,0.21306,-1.08676,-0.44195,-0.62652,1.58144,-1.46977,0.60358,0.26084,0.19189,0.35783,0.68408,-0.1738,0
Neg_2648,-0.24275,-0.21682,-0.79835,-0.40991,-0.12464,-0.47937,-0.11104,-0.0143,0.14841,-0.94161,0.88092,1.20568,-0.18978,-1.1742,-0.18962,-0.02811,-0.14852,0.02695,0.68408,-0.24874,0
Neg_152,0.26662,0.71361,-0.10448,0.4125,-1.31657,0.03093,-0.91099,-0.72684,-0.19635,-1.48402,0.88092,-0.9977,0.92356,-0.29526,1.01981,-0.56039,-0.59186,1.46592,-0.28963,0.26753,0
Neg_2086,0.70955,0.71361,0.34804,-0.57578,0.23371,1.77748,-0.3593,-1.13062,-2.01352,-0.77353,-1.21362,1.20568,-1.23805,0.17143,-0.57444,0.9528,0.21564,0.38092,0.68408,-0.14882,0
Neg_966,0.274,-0.28211,0.49134,-0.3408,-0.22592,-1.22687,-0.1846,-0.38641,1.24734,-0.48323,0.88092,1.20568,-1.2236,1.26815,0.77635,-0.33227,-1.73978,-0.91954,0.68408,1.02527,0
Neg_2081,-1.12122,-1.29415,-0.44387,0.24663,-0.03116,0.00937,0.93717,0.15987,0.6871,-0.46795,0.88092,0.58968,-0.94888,-0.64528,-1.01423,-0.78851,0.7144,0.45787,0.68408,0.37577,0
Neg_2579,-0.48636,-0.86974,-0.05169,0.64056,0.41289,-0.40031,-0.14782,-0.80602,-0.56983,-0.42211,0.88092,-0.32642,1.58144,-1.08864,0.80777,-0.5908,0.39773,-1.4505,-1.39175,1.02527,0
Neg_542,-0.4273,0.71361,0.13686,-1.39128,1.33216,0.87186,0.93717,-0.43391,-0.23226,-0.23112,0.88092,0.61337,-0.88381,-1.38421,-1.50115,-0.0129,0.33439,-0.11926,-0.11843,1.02527,0
Neg_270,0.0673,-0.81261,-0.80589,-0.36154,-0.71671,1.17373,-1.76611,-0.88519,0.2346,-0.44503,0.10925,1.20568,0.97416,-0.50527,-0.99067,-0.42352,0.21564,0.02695,0.68408,-0.53185,0
Neg_447,-0.634,0.71361,-0.16482,-1.69536,1.33216,1.77748,0.93717,-0.45766,1.24734,-0.85757,0.88092,-0.44488,1.58144,-1.2442,-1.8467,0.43573,1.3319,-1.01958,0.68408,1.02527,0
Neg_2242,-0.08034,-0.04542,-0.13465,-0.73473,-0.59986,-0.27094,0.08205,-1.54231,0.13405,-0.81173,0.02657,0.47122,0.0994,0.54478,0.12452,-0.3855,0.59564,-0.72717,-0.31103,0.25087,0
Neg_1615,-0.70044,-0.6249,0.17458,1.45606,0.05453,0.59874,-2.11552,-0.10139,-0.62011,-1.33887,-0.62568,1.20568,-0.29822,-0.00747,-0.30742,0.04793,-0.72644,0.20393,0.68408,1.02527,0
Neg_103,0.78337,-2.30618,1.41148,-1.10101,1.33216,-0.20625,-1.60061,-0.98811,-2.05661,0.57868,0.88092,1.20568,0.04156,-0.3886,0.06169,1.02884,-0.85311,1.46592,0.68408,-0.06555,0
Neg_1048,-0.84808,0.71361,-0.54946,0.07386,-0.69334,0.33999,-0.9018,-0.38641,-0.18916,-0.16237,-0.23984,0.2422,0.69944,-1.14309,-0.30742,-0.33227,0.36606,0.52712,-0.62134,-1.13971,0
Neg_628,-0.40516,0.71361,0.00865,0.17061,-0.94263,0.44062,-0.77307,-0.27557,-0.08861,-0.59782,0.88092,-1.69267,0.23676,1.26815,-1.14774,0.61062,-0.14061,-0.78103,-1.30615,1.02527,0
Neg_2169,-0.60447,-0.31475,0.46117,0.03239,0.35057,-0.14875,0.93717,-2.3736,-0.23226,0.63215,0.88092,-0.42119,-1.0284,1.26815,0.11666,1.06686,0.33439,-1.58131,0.68408,-0.69006,0
Neg_599,-0.50851,-1.14724,0.87599,0.96538,-0.20255,0.6203,-1.15925,0.6349,0.09095,-1.30831,0.22867,0.25799,-1.06455,0.7159,-0.66868,-0.46914,-0.22769,0.22702,-0.59994,0.02605,0
