,CTDC_hydrophobicity_PRAM900101.G1,CTDC_hydrophobicity_PRAM900101.G2,CTDC_hydrophobicity_PRAM900101.G3,CTDC_hydrophobicity_ARGP820101.G1,CTDC_hydrophobicity_ARGP820101.G2,CTDC_hydrophobicity_ARGP820101.G3,CTDC_hydrophobicity_ZIMJ680101.G1,CTDC_hydrophobicity_ZIMJ680101.G2,CTDC_hydrophobicity_ZIMJ680101.G3,CTDC_hydrophobicity_PONP930101.G1,CTDC_hydrophobicity_PONP930101.G2,CTDC_hydrophobicity_PONP930101.G3,CTDC_hydrophobicity_CASG920101.G1,CTDC_hydrophobicity_CASG920101.G2,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_ENGD860101.G1,CTDC_hydrophobicity_ENGD860101.G2,CTDC_hydrophobicity_ENGD860101.G3,CTDC_hydrophobicity_FASG890101.G1,CTDC_hydrophobicity_FASG890101.G2,CTDC_hydrophobicity_FASG890101.G3,CTDC_normwaalsvolume.G1,CTDC_normwaalsvolume.G2,CTDC_normwaalsvolume.G3,CTDC_polarity.G1,CTDC_polarity.G2,CTDC_polarity.G3,CTDC_polarizability.G1,CTDC_polarizability.G2,CTDC_polarizability.G3,CTDC_charge.G1,CTDC_charge.G2,CTDC_charge.G3,CTDC_secondarystruct.G1,CTDC_secondarystruct.G2,CTDC_secondarystruct.G3,CTDC_solventaccess.G1,CTDC_solventaccess.G2,CTDC_solventaccess.G3,y
peptide_nm_1,-0.11315,1.74732,-1.74846,1.69165,-1.59468,-0.35713,1.13594,-1.35884,-0.18746,2.75876,-1.24725,-1.94215,2.79361,-2.41421,-0.21907,0.37691,1.25035,-1.61986,0.81737,2.29488,-2.79361,1.95229,-1.01245,-0.98034,-1.94215,2.11157,-0.25949,1.54106,-0.434,-0.98034,-0.25651,0.27492,-0.01774,-2.01875,0.52033,2.23056,-2.58441,-0.11315,3.36612,0
peptide_nm_2,0.67292,0.45194,-1.10195,-0.78857,0.59729,0.30965,-1.31034,1.20069,0.55163,0.60038,0.66038,-1.28515,0.30865,-0.18403,-0.12347,2.89829,-2.12105,-0.94131,0.46874,-0.17548,-0.30865,-0.71268,-0.88991,1.36026,-1.28515,-0.9036,2.36752,-1.36919,-0.22961,1.36026,0.44469,-0.48572,0.04316,0.72843,-1.02089,0.07501,-1.97781,0.67292,1.74868,0
peptide_nm_3,-1.20654,0.8668,0.19706,-0.38245,0.98921,-0.53548,-0.0419,0.4789,-0.38516,-1.48619,1.76454,0.03494,-1.29086,1.34405,-0.17304,-0.87626,0.50115,0.42207,-1.40681,0.10633,1.29086,0.66916,0.42324,-0.94903,0.03494,0.65982,-0.76543,0.3946,0.76658,-0.94903,-0.80514,1.11511,-0.39894,0.3806,-0.22174,-0.28995,1.54103,-1.20654,-0.61934,0
peptide_nm_4,1.92118,-0.19257,-1.57336,2.00984,-1.14432,-1.15972,1.52463,-0.58051,-1.38848,2.24355,-0.8147,-1.76421,2.28305,-1.2062,-1.09939,1.83077,-0.1544,-1.75769,1.38391,1.06382,-2.28305,-0.0494,1.11158,-0.83947,-1.76421,0.09154,1.78009,-0.17863,1.24878,-0.83947,-0.73128,-1.03383,2.42336,0.29985,-1.23958,0.89617,-1.84512,1.92118,0.22242,0
peptide_nm_5,0.72609,0.19684,-0.88059,0.88005,-0.78296,-0.2315,0.15885,-0.16596,-0.04821,1.29068,-1.12187,-0.41033,0.51728,0.10686,-0.70539,1.06649,-0.41092,-0.70898,0.52179,0.00497,-0.51728,-0.23685,0.30353,-0.02488,-0.41033,-0.44477,0.92837,0.19521,-0.17985,-0.02488,-0.35559,0.24963,0.15437,-0.06878,-0.20953,0.316,-1.77012,0.72609,1.43016,0
peptide_nm_6,0.73843,-0.72913,0.09006,0.20679,-0.61207,0.36521,0.07588,-0.19134,0.07943,0.61867,-0.67052,-0.0738,0.00874,0.17439,-0.21907,1.43426,-1.2782,-0.24156,-0.03243,0.04685,-0.00874,-0.81928,0.84608,0.07618,-0.0738,-0.98295,1.16347,-1.16131,1.16021,0.07618,-0.82624,-0.01591,1.16982,0.26524,-0.56269,0.22898,-0.85939,0.73843,0.27396,0
peptide_nm_7,2.08676,-1.34825,-0.50089,0.89619,-0.42783,-0.59791,1.02993,-0.92103,-0.45435,0.44033,0.19456,-0.67434,0.98345,0.30382,-1.46187,1.36818,-1.13772,-0.31047,0.88819,0.12714,-0.98345,-1.39669,2.50548,-0.71621,-0.67434,-1.11189,1.9461,-1.03848,2.02375,-0.71621,0.09957,-0.52487,0.57604,1.51106,-1.7134,-0.27142,-0.55135,2.08676,-1.58134,0
peptide_nm_8,0.09974,-0.04811,-0.04126,0.89619,-0.42783,-0.59791,0.2879,0.10054,-0.45435,0.44033,-0.8147,0.25983,0.4961,-0.14919,-0.37442,-0.0196,-0.1544,0.17193,-0.10325,0.68915,-0.4961,-0.18413,1.11158,-0.71621,0.25983,-0.20932,-0.04605,0.25129,0.62881,-0.71621,-0.39894,-0.01591,0.57604,-1.39584,1.60334,0.22898,-0.55135,0.09974,0.58317,0
peptide_nm_9,-0.39701,-0.48149,0.87799,-0.21746,-0.42783,0.66619,-0.45414,-0.41024,0.94683,-0.80805,-0.31007,1.19401,-0.47861,1.20983,-0.91815,-0.48219,-0.64606,1.13675,0.39247,-0.99687,0.47861,-0.18413,0.64695,-0.34643,1.19401,-0.6606,-0.54408,-0.17863,0.62881,-0.34643,0.09957,-0.01591,-0.11671,0.42097,-0.76576,0.22898,0.31116,-0.39701,0.04204,0
peptide_nm_10,1.59001,0.09635,-1.57336,0.27749,1.43502,-1.72154,0.2879,1.46263,-1.69986,1.96613,-0.47828,-1.76421,1.95815,-1.8102,-0.01194,0.90558,0.50115,-1.43609,2.70583,-0.80954,-1.95815,1.02843,-2.60547,1.1327,-1.76421,0.39239,1.44806,0.96783,-2.47105,1.1327,1.92745,-2.05175,0.11421,0.05761,-0.29194,0.22898,-1.84512,1.59001,0.58317,0
peptide_nm_11,0.06153,1.51872,-1.66764,0.58208,-1.51909,0.82825,-0.39706,-0.68528,1.12647,0.60038,-1.20288,0.43948,0.30865,0.93106,-1.46187,1.7596,-0.30568,-1.53505,-0.14138,0.51622,-0.30865,-0.71268,-0.31805,0.90514,0.43948,-0.34818,-0.08436,-0.31092,-0.80189,0.90514,-0.16886,0.7671,-0.80945,-0.61322,0.7286,0.07501,-1.97781,0.06153,2.41468,0
peptide_nm_12,0.06153,0.98533,-1.10195,1.2674,-0.4609,-0.98686,1.42949,-0.99961,-0.88549,0.60038,0.66038,-1.28515,0.90847,-0.4628,-0.45807,-0.23311,1.20713,-0.94131,0.46874,0.51622,-0.90847,1.02843,-1.17584,-0.00509,-1.28515,1.04039,0.22213,1.54106,-1.66032,-0.00509,-0.47564,-0.17251,0.89577,-0.166,-0.43773,0.69088,-0.91626,0.06153,1.08267,0
peptide_nm_13,0.63076,1.37158,-2.03827,1.77943,-0.44266,-1.58593,1.41375,-0.25173,-1.54954,1.43043,0.6818,-2.23667,2.29425,-1.16454,-1.16189,0.77797,1.1341,-1.92404,1.24716,1.23177,-2.29425,1.13993,-1.06738,-0.19341,-2.23667,1.22234,1.0359,1.42246,-1.29524,-0.19341,-0.02076,-0.50732,0.71937,-0.24311,-0.61871,0.9882,-1.66667,0.63076,1.40419,0
peptide_nm_14,0.12589,0.7046,-0.86376,0.4859,0.31882,-0.86403,0.75655,-0.22206,-0.74934,0.68125,0.3008,-1.04309,0.21395,1.01909,-1.46187,-0.0683,0.77717,-0.69132,-0.49461,0.80746,-0.21395,0.85825,0.13341,-0.89137,-1.04309,1.02577,-0.01983,0.998,0.04147,-0.89137,-0.55637,0.30554,0.35728,0.51659,-1.3892,0.75571,-0.30168,0.12589,0.24141,0
peptide_nm_15,-1.00176,2.6087,-1.83981,0.88005,0.1142,-1.11087,0.67505,0.18937,-1.02295,0.13276,2.03758,-2.03499,1.19534,-0.20827,-1.08363,0.10107,1.64124,-1.71575,-1.54731,3.13265,-1.19534,2.01254,-1.6358,-0.53936,-2.03499,2.38066,-0.45747,1.69059,-1.15024,-0.53936,-0.70238,0.95775,-0.32754,-1.07988,-0.53915,2.0565,0.02991,-1.00176,1.05372,0
peptide_nm_16,0.54421,0.33965,-0.86376,1.42371,-1.85326,0.20047,0.44411,-1.08233,0.43061,1.38209,-0.97406,-0.64976,1.03475,-0.12534,-1.004,1.48991,-0.87895,-0.69132,0.75774,0.33419,-1.03475,0.17751,1.30722,-1.20276,-0.64976,-0.11431,0.81896,-0.08812,1.60771,-1.20276,-1.39597,-0.55166,2.69074,-0.09539,-0.59119,0.75571,-1.39117,0.54421,1.15278,0
peptide_nm_17,-0.45072,1.62684,-1.30835,0.46477,-0.06766,-0.46125,0.20768,0.15576,-0.40386,1.48627,-0.29643,-1.39391,1.16785,-0.35732,-0.87406,0.5055,0.7492,-1.26225,-0.00946,1.35748,-1.16785,1.20322,-0.79717,-0.46636,-1.39391,1.69339,-0.38256,0.61149,-0.07494,-0.46636,-0.42589,0.69938,-0.36011,-0.80661,-0.6505,1.79778,-1.23903,-0.45072,2.04568,0
peptide_nm_18,0.67292,-0.08145,-0.53625,1.95273,-2.04819,-0.20895,0.97285,-1.31394,-0.02322,1.11254,-1.20288,-0.13539,0.90847,-0.18403,-0.79267,0.62091,-0.30568,-0.34758,1.07885,-0.17548,-0.90847,0.7797,0.82565,-1.37044,-0.13539,-0.34818,0.52861,0.74735,0.91495,-1.37044,-1.39597,0.14069,1.74838,-0.61322,-1.02089,1.92262,-0.91626,0.67292,0.41667,0
