,Aromaticity,y
Neg_446,-0.95195,0
Neg_2228,-0.28501,0
Neg_2386,-1.47323,0
Neg_2835,-0.54093,0
Neg_2149,-0.73869,0
Neg_2248,0.83532,0
Neg_2739,-0.00415,0
Neg_2580,-0.35876,0
Neg_2765,-0.66524,0
Neg_939,1.43555,0
Neg_1859,-0.31896,0
Neg_1088,0.25818,0
Neg_448,-0.74966,0
Neg_2831,-0.3838,0
Neg_358,-0.8856,0
Neg_2287,0.32231,0
Neg_2597,-0.12658,0
Neg_2648,-0.33061,0
Neg_152,0.6975,0
Neg_2086,-0.59973,0
Neg_966,-0.75502,0
Neg_2081,-0.68495,0
Neg_2579,-0.44175,0
Neg_542,-1.28533,0
Neg_270,0.27378,0
Neg_447,-1.47323,0
Neg_2242,0.01845,0
Neg_1615,-0.93457,0
Neg_103,-1.07909,0
Neg_1048,1.04053,0
Neg_628,0.46595,0
Neg_2169,-0.3458,0
Neg_599,-0.06803,0
Neg_2490,-0.916,0
Neg_62,-0.0767,0
Neg_1129,-0.19745,0
Neg_190,-1.47323,0
Neg_1522,-1.47323,0
Neg_165,0.01845,0
Neg_1152,0.21009,0
Neg_217,0.21009,0
Neg_1140,-0.77063,0
Neg_2378,-0.75502,0
Neg_1569,-0.68495,0
Neg_662,-0.12658,0
Neg_688,1.75875,0
Neg_541,0.68142,0
Neg_624,1.51934,0
Neg_2108,0.17015,0
Neg_2808,0.05541,0
Neg_2794,-0.44175,0
Neg_2286,-1.08384,0
Neg_373,0.78568,0
Neg_2612,-0.23016,0
Neg_937,0.52182,0
Neg_1345,0.38118,0
Neg_2671,0.48016,0
Neg_2855,-1.47323,0
Neg_279,-0.84363,0
Neg_706,-0.5445,0
Neg_2921,0.50553,0
Neg_994,-0.64452,0
Neg_2453,0.63458,0
Neg_2074,0.25818,0
Neg_1803,-0.7999,0
Neg_653,-0.54981,0
Neg_1943,-1.47323,0
Neg_1283,0.17574,0
Neg_1383,-0.8517,0
Neg_325,-0.53643,0
Neg_2702,-1.093,0
Neg_2180,-1.17398,0
Neg_585,0.2459,0
Neg_2047,-0.44175,0
Neg_2392,-0.70371,0
Neg_919,-1.47323,0
Neg_2566,-0.02066,0
Neg_404,1.22008,0
Neg_953,-0.6913,0
Neg_1257,0.35127,0
Neg_1680,0.10334,0
Neg_1098,-0.23016,0
Neg_1404,0.83532,0
Neg_79,0.21009,0
Neg_2483,-0.04736,0
Neg_2866,-0.23016,0
Neg_133,0.17948,0
Neg_1514,-1.47323,0
Neg_1790,-0.04736,0
Neg_2219,-0.28501,0
Neg_2758,-1.07909,0
Neg_621,-1.01152,0
Neg_904,-1.47323,0
Neg_736,-0.95195,0
Neg_431,-0.26727,0
Neg_2469,0.61191,0
Neg_2895,-0.69444,0
Neg_202,-1.21673,0
Neg_478,1.37851,0
Neg_1929,-0.2762,0
Neg_1179,0.32231,0
Neg_116,-0.74695,0
Neg_2854,-0.26124,0
Neg_2229,0.27378,0
Neg_301,0.25818,0
Neg_2264,-0.35876,0
Neg_58,0.42793,0
Neg_37,-1.01152,0
Neg_1299,-1.47323,0
Neg_2238,-0.06803,0
Neg_1065,0.12281,0
Neg_2393,-0.14242,0
Neg_1063,0.37361,0
Neg_2681,-1.47323,0
Neg_1206,0.19029,0
