,Moran_CIDH920105.lag1,Moran_CIDH920105.lag2,Moran_CIDH920105.lag3,Moran_BHAR880101.lag1,Moran_BHAR880101.lag2,Moran_BHAR880101.lag3,Moran_CHAM820101.lag1,Moran_CHAM820101.lag2,Moran_CHAM820101.lag3,Moran_CHAM820102.lag1,Moran_CHAM820102.lag2,Moran_CHAM820102.lag3,Moran_CHOC760101.lag1,Moran_CHOC760101.lag2,Moran_CHOC760101.lag3,Moran_BIGC670101.lag1,Moran_BIGC670101.lag2,Moran_BIGC670101.lag3,Moran_CHAM810101.lag1,Moran_CHAM810101.lag2,Moran_CHAM810101.lag3,Moran_DAYM780201.lag1,Moran_DAYM780201.lag2,Moran_DAYM780201.lag3,y
peptide_nm_1,-0.78327,1.89535,0.59644,0.13302,1.87578,0.48835,-1.19461,-0.35674,1.8598,-1.94924,1.48295,-0.74361,-1.20342,-0.25514,1.58656,-1.62999,0.59079,1.16095,-1.84163,2.00402,-2.06813,-0.35897,-1.27725,2.3011,0
peptide_nm_2,-0.78893,0.71194,-0.07914,0.01245,0.22311,-1.79512,-0.64317,-1.35684,1.77449,-0.01167,-0.04752,0.96036,-1.02861,-1.28417,1.92811,-1.22915,-1.5535,2.73678,0.82081,-0.39122,2.78676,2.40609,1.00545,-0.16135,0
peptide_nm_3,-0.45038,0.44289,-0.49097,0.7933,0.76495,-0.84528,1.17451,-0.06754,-0.61268,-0.07185,0.26558,-1.09945,1.66848,-0.05121,-0.59352,0.96221,-0.13401,-0.90472,0.82966,0.18507,-1.23692,-0.53861,1.77137,-0.05274,0
peptide_nm_4,0.26515,0.56825,-0.53631,-0.03387,0.8903,-0.09328,2.37268,1.71171,0.74477,-1.22109,1.50152,-1.03258,2.49213,1.49188,1.01094,2.71985,1.63071,0.91001,1.76918,0.93444,-0.91843,0.96323,-1.00461,-0.31312,0
peptide_nm_5,-2.10764,1.0494,1.04285,-1.02759,0.83681,0.99642,-0.54006,0.38065,1.14277,-0.04506,0.4607,-0.0326,-0.19782,0.23967,1.08306,-1.23456,0.56665,1.25542,-0.38957,0.36065,1.29551,-1.88623,0.75058,0.07865,0
peptide_nm_6,0.77297,0.25207,-0.10087,1.47191,-0.07703,-1.16561,-0.12582,-0.76319,-1.00131,-1.27502,0.74216,-0.78878,0.40794,-0.3858,-0.73785,-0.00858,-0.62022,-1.14982,0.12563,-0.58458,0.09024,-0.74695,-0.18686,0.62829,0
peptide_nm_7,-0.76518,-0.36939,1.49507,-1.00103,-0.41396,0.59726,-0.51075,0.47679,0.12306,-0.48259,-0.79203,1.06617,-0.9307,-0.36997,0.99007,-0.54635,0.21525,0.90221,0.69282,0.22449,1.99443,-0.80058,-0.60428,-0.35758,0
peptide_nm_8,-1.26569,1.59667,-1.06179,-1.52814,0.76768,-0.16791,2.19016,-0.14256,-0.93509,-1.43763,0.88492,-1.53209,1.99708,-0.36713,-1.42714,1.59788,0.27764,-0.67557,-0.90561,1.02324,0.08209,1.95159,0.51586,1.08282,0
peptide_nm_9,0.57028,0.49217,0.8642,1.48723,0.23768,-0.02873,-2.29923,1.22595,-0.25736,2.40152,1.79587,-0.10806,-2.03892,1.04495,-0.55842,-1.58845,1.11404,-0.47155,0.29868,1.59384,-1.56123,-1.22835,-1.15048,2.10661,0
peptide_nm_10,-1.58942,0.81187,0.28475,-0.65763,0.097,-0.68022,-0.40497,-1.52581,0.25892,-1.14569,0.60002,-0.47307,0.07639,-1.54602,-0.53848,-0.03546,-1.34836,-0.82026,-0.8312,1.05116,-1.45459,-1.96138,0.26897,0.29283,0
peptide_nm_11,0.24105,0.06907,-1.44059,0.74749,-0.1234,0.42268,-0.62908,-0.892,-0.56245,-0.04826,-0.55653,-1.54209,-0.93261,-0.74091,-0.33787,-0.46613,-0.92383,0.07856,0.68912,-0.29867,0.72151,-0.75328,0.28067,-1.15107,0
peptide_nm_12,0.11282,0.9047,-0.29112,-0.32679,0.63615,-0.36597,-0.10245,0.98476,0.62521,0.62334,0.04049,0.6133,-0.38114,0.95469,0.68118,0.28677,1.30527,0.7256,1.02475,1.10963,1.22679,-0.65423,0.88314,-0.73316,0
peptide_nm_13,-0.44337,0.68363,-0.4332,0.61975,1.31445,-0.20381,1.30771,0.28343,-0.27148,0.27885,0.24127,0.27952,1.79751,0.54575,-0.39235,1.53509,0.30975,-0.73243,2.19402,1.06421,-1.51071,-0.23907,-0.08515,-0.01311,0
peptide_nm_14,-1.06402,0.68219,0.47749,-1.2735,-0.15379,1.0861,-2.46973,1.82285,-1.11667,1.01769,1.05143,-1.85205,-2.49041,2.03638,-1.76571,-1.74238,1.62381,-1.11224,-0.60359,1.14766,-0.83328,-1.76058,0.80298,-0.46187,0
peptide_nm_15,0.47032,0.35245,0.31484,1.01355,0.646,0.84042,1.1413,1.37102,0.89281,0.57517,1.40481,-0.21187,1.6626,1.78683,0.90651,1.44371,1.77673,0.97701,2.87158,2.55128,1.6571,0.94608,0.92841,0.99674,0
peptide_nm_16,0.15403,0.35081,1.12787,0.52108,1.03616,0.30867,0.50229,1.11981,-0.2799,0.51943,0.34285,0.08511,0.59166,0.98297,-0.22241,0.96026,1.1364,0.18205,0.39563,0.21008,0.87498,-0.28591,0.0374,0.782,0
peptide_nm_17,1.03004,0.07174,0.25426,1.53793,0.30421,-0.72461,0.84682,-0.66701,-0.32028,1.34801,0.60503,-0.13226,1.20791,-0.48615,-0.45693,1.26835,-0.1427,0.0755,1.0839,1.13959,0.43295,-0.81683,-0.08077,0.40089,0
peptide_nm_18,1.66249,0.39442,0.39178,0.5116,0.94489,-0.23604,1.09342,-1.26409,0.24424,0.97279,-0.64022,0.10308,0.66566,-0.81842,0.26799,1.73784,-0.82138,0.00662,1.01048,0.59689,-0.64763,1.7402,0.23147,0.40545,0
peptide_nm_19,-0.12534,0.22828,0.87301,-0.15743,1.05374,-1.04035,2.34481,1.88377,1.37747,0.8253,0.87335,0.59559,2.47689,2.02053,1.28255,2.4796,1.87492,1.31997,2.38706,1.86069,1.56496,-0.32326,0.08493,-0.10705,0
peptide_nm_20,-0.48233,1.06328,-1.21388,-0.7985,0.84617,-1.73964,-1.68653,0.32996,0.01269,0.25385,-0.49544,-0.00385,-1.65046,0.37212,-0.51934,-1.63539,0.28616,0.0344,0.04932,-0.83888,-0.65514,0.9429,-0.39215,-0.44771,0
peptide_nm_21,-0.16255,1.34734,1.19475,-0.14986,1.52337,1.16991,-1.82491,2.19757,-1.35321,-1.44552,2.26991,-0.80327,-1.85166,2.38531,-1.59249,-2.01179,2.4016,-1.37863,-1.99136,2.06618,-1.29955,2.39774,0.80651,0.08378,0
