,Kytedoolittle,y
Neg_446,-0.17926,0
Neg_2228,-1.33131,0
Neg_2386,-0.93896,0
Neg_2835,1.94776,0
Neg_2149,-0.61359,0
Neg_2248,-0.87593,0
Neg_2739,0.08196,0
Neg_2580,0.56736,0
Neg_2765,-1.09937,0
Neg_939,-0.28602,0
Neg_1859,0.39221,0
Neg_1088,-0.94743,0
Neg_448,0.37315,0
Neg_2831,-1.16458,0
Neg_358,-0.3023,0
Neg_2287,-0.34838,0
Neg_2597,0.51911,0
Neg_2648,-0.35711,0
Neg_152,-1.38999,0
Neg_2086,0.54638,0
Neg_966,0.45147,0
Neg_2081,-0.66097,0
Neg_2579,0.39636,0
Neg_542,-0.90661,0
Neg_270,-0.26187,0
Neg_447,2.89251,0
Neg_2242,-0.22967,0
Neg_1615,-0.30438,0
Neg_103,-0.61028,0
Neg_1048,-0.39796,0
Neg_628,-1.2485,0
Neg_2169,2.02886,0
Neg_599,-0.36951,0
Neg_2490,-0.33647,0
Neg_62,-0.19348,0
Neg_1129,-0.02162,0
Neg_190,1.56347,0
Neg_1522,0.22626,0
Neg_165,-0.05904,0
Neg_1152,-0.34397,0
Neg_217,0.14139,0
Neg_1140,-0.50451,0
Neg_2378,0.49676,0
Neg_1569,-0.31107,0
Neg_662,-1.08458,0
Neg_688,0.9014,0
Neg_541,2.11086,0
Neg_624,-0.72007,0
Neg_2108,-0.33167,0
Neg_2808,-0.07588,0
Neg_2794,-0.92272,0
Neg_2286,-0.03667,0
Neg_373,-0.53787,0
Neg_2612,-0.3421,0
Neg_937,0.171,0
Neg_1345,-0.69882,0
Neg_2671,-0.11925,0
Neg_2855,0.60003,0
Neg_279,-0.76501,0
Neg_706,0.0961,0
Neg_2921,-0.94176,0
Neg_994,-0.06863,0
Neg_2453,-0.67498,0
Neg_2074,-0.80133,0
Neg_1803,-0.32648,0
Neg_653,1.1224,0
Neg_1943,0.32075,0
Neg_1283,-1.3155,0
Neg_1383,-0.66877,0
Neg_325,-0.53881,0
Neg_2702,-1.03113,0
Neg_2180,-0.99823,0
Neg_585,0.32136,0
Neg_2047,-0.01568,0
Neg_2392,-0.06952,0
Neg_919,1.43153,0
Neg_2566,-0.28804,0
Neg_404,-0.06437,0
Neg_953,-0.83621,0
Neg_1257,-0.54826,0
Neg_1680,-1.27546,0
Neg_1098,1.95874,0
Neg_1404,0.52369,0
Neg_79,-0.01232,0
Neg_2483,-0.07879,0
Neg_2866,1.58368,0
Neg_133,-0.07771,0
Neg_1514,0.56461,0
Neg_1790,-0.83148,0
Neg_2219,-1.41697,0
Neg_2758,0.17042,0
Neg_621,-0.52665,0
Neg_904,1.22737,0
Neg_736,-0.79725,0
Neg_431,-1.46504,0
Neg_2469,-0.52417,0
Neg_2895,0.09939,0
Neg_202,-0.49245,0
Neg_478,0.20975,0
Neg_1929,-0.4208,0
Neg_1179,-0.67921,0
Neg_116,-0.33197,0
Neg_2854,0.28246,0
Neg_2229,0.13011,0
Neg_301,2.12069,0
Neg_2264,-0.3945,0
Neg_58,-0.55018,0
Neg_37,0.03609,0
Neg_1299,1.34071,0
Neg_2238,1.31537,0
Neg_1065,-0.77991,0
Neg_2393,0.2,0
Neg_1063,-0.47519,0
Neg_2681,0.28576,0
Neg_1206,0.13435,0
Neg_926,-0.73138,0
Neg_1834,0.85108,0
Neg_219,-0.51782,0
Neg_1051,-0.69778,0
Neg_2732,1.04045,0
Neg_22,2.97905,0
Neg_2672,-0.70475,0
Neg_1925,-1.04421,0
Neg_1046,1.78744,0
Neg_2602,-1.32089,0
Neg_2626,-0.78872,0
Neg_664,-0.36394,0
Neg_1033,-0.32452,0
Neg_1541,-0.42556,0
Neg_352,-1.3645,0
Neg_2763,1.68914,0
Neg_2198,-0.29298,0
Neg_260,0.07288,0
Neg_743,-1.1131,0
Neg_1798,0.84049,0
Neg_805,0.00599,0
Neg_2446,-0.28497,0
Neg_1456,0.84542,0
Neg_853,1.94804,0
Neg_1866,0.2941,0
Neg_1972,-0.62823,0
Neg_1250,-0.08265,0
Neg_2893,0.18891,0
Neg_415,0.13642,0
Neg_2440,0.62687,0
Neg_1947,-0.30574,0
Neg_2296,-1.16282,0
Neg_1491,-1.0973,0
Neg_1592,-0.01587,0
Neg_833,-1.34637,0
Neg_2254,1.42321,0
Neg_2786,0.63423,0
Neg_1307,-0.12537,0
Neg_1022,-0.05693,0
Neg_2289,0.20825,0
Neg_2564,-1.26463,0
Neg_1131,-0.29176,0
Neg_2814,-1.24958,0
Neg_2346,-0.9953,0
Neg_2538,0.38998,0
Neg_503,0.96689,0
Neg_614,-0.11162,0
Neg_2227,-0.30499,0
Neg_1977,-1.03218,0
Neg_1151,-0.51517,0
Neg_2315,-0.83513,0
Neg_1180,-0.76788,0
Neg_308,-0.32536,0
Neg_1426,-1.21923,0
Neg_12,-1.1625,0
Neg_506,0.24038,0
Neg_136,-0.6176,0
Neg_378,-0.39842,0
Neg_2058,-0.23448,0
Neg_2336,-0.67226,0
Neg_2220,-1.15875,0
Neg_262,-1.28085,0
Neg_1888,0.78409,0
Neg_2552,-1.02917,0
Neg_1340,-0.11719,0
Neg_1753,1.19154,0
Neg_941,-0.37155,0
Neg_689,-1.13489,0
Neg_403,-0.98895,0
Neg_2524,-1.08195,0
Neg_1006,-0.94473,0
Neg_89,0.71983,0
Neg_1956,1.14935,0
Neg_2723,-0.94313,0
Neg_34,-0.49129,0
Neg_757,0.54092,0
Neg_1170,-0.31954,0
Neg_1405,-0.57812,0
Neg_1634,-0.03954,0
Neg_835,-0.61754,0
Neg_1809,-1.21244,0
Neg_296,-0.63061,0
Neg_1989,-0.87693,0
Neg_636,-0.18692,0
Neg_1350,0.11878,0
Neg_160,-0.33508,0
Neg_1524,-0.42052,0
Neg_836,-1.14316,0
Neg_1885,-0.83078,0
Neg_1723,-0.14719,0
Neg_1139,-1.0561,0
Neg_531,-0.31966,0
Neg_131,-1.01519,0
Neg_226,-0.37294,0
Neg_2031,-1.30345,0
Neg_1050,0.0606,0
Neg_2215,0.82524,0
Neg_1008,0.88501,0
Neg_755,1.1604,0
Neg_1309,2.37046,0
Neg_1348,-1.00862,0
Neg_2829,-0.12958,0
Neg_1281,-0.60229,0
Neg_2879,-0.71877,0
Neg_2182,-1.25801,0
Neg_513,1.31642,0
Neg_2222,-0.97377,0
Neg_2348,-0.79922,0
Neg_549,1.1835,0
Neg_2669,1.00859,0
Neg_1248,-0.38149,0
Neg_19,-0.50169,0
Neg_1763,-1.28841,0
Neg_2832,-0.91967,0
Neg_1992,-0.85844,0
Neg_2675,-0.36132,0
Neg_203,-0.34895,0
Neg_2314,-0.74179,0
Neg_460,-0.80469,0
Neg_248,-0.9396,0
Neg_418,-0.38765,0
Neg_1007,-1.43925,0
Neg_2178,-0.18069,0
Neg_537,-1.35874,0
Neg_97,-0.86714,0
Neg_1719,-0.79412,0
Neg_1777,-0.64531,0
Neg_771,-0.99637,0
Neg_2070,-0.39117,0
Neg_1418,0.16033,0
Neg_1167,-1.1409,0
Neg_2477,-0.7187,0
Neg_715,-0.24993,0
Neg_616,-0.72141,0
Neg_558,0.2184,0
Neg_64,0.2105,0
Neg_1316,-0.18756,0
Neg_1507,-0.1838,0
Neg_1101,-0.63085,0
Neg_1796,-0.82575,0
Neg_1223,-1.15509,0
Neg_538,-0.148,0
Neg_302,-0.52526,0
Neg_200,-0.91667,0
Neg_1730,-0.66187,0
Neg_876,-0.92035,0
Neg_326,0.67115,0
Neg_1436,-0.90352,0
Neg_727,-0.51448,0
Neg_1831,-0.32094,0
Neg_900,-0.36385,0
Neg_1637,-0.80905,0
Neg_2635,0.29848,0
Neg_2454,-0.38623,0
Neg_1216,-0.39438,0
Neg_2191,-0.48258,0
Neg_1275,-0.44374,0
Neg_2151,-0.89161,0
Neg_1402,2.66564,0
Neg_717,-0.43914,0
Neg_1862,-0.62095,0
Neg_158,0.32992,0
Neg_1740,0.14916,0
Neg_1424,-0.48957,0
Neg_943,1.82132,0
Neg_1688,-1.24071,0
Neg_148,-0.13534,0
Neg_2796,-1.37147,0
Neg_1887,0.46955,0
Neg_2811,-1.01438,0
Neg_859,-1.04865,0
Neg_2155,-1.06336,0
Neg_2045,-1.24449,0
Neg_1104,-0.162,0
Neg_2638,-0.99018,0
Neg_962,-0.54392,0
Neg_2828,-1.02158,0
Neg_1944,-0.5146,0
Neg_523,1.02464,0
Neg_1319,0.86295,0
Neg_562,-1.21233,0
Neg_2456,-0.35855,0
Neg_1500,-0.00814,0
Neg_1913,-0.23614,0
Neg_286,0.42408,0
Neg_2871,-0.39298,0
Neg_456,-1.14425,0
Neg_984,0.63542,0
Neg_1837,0.00733,0
Neg_2617,-1.26703,0
Neg_139,0.91407,0
Neg_1815,0.03822,0
Neg_1157,0.01397,0
Neg_1317,-0.27537,0
Neg_2405,-0.0079,0
Neg_45,-0.98066,0
Neg_1797,-0.57466,0
Neg_2769,-0.66056,0
Neg_1390,-0.44257,0
Neg_1018,-1.0384,0
Neg_602,-0.96358,0
Neg_182,-1.17827,0
Neg_1056,1.31133,0
Neg_2567,-0.58973,0
Neg_849,-0.10727,0
Neg_2338,0.90259,0
Neg_422,-0.33118,0
Neg_1421,-0.28873,0
Neg_2439,-0.09618,0
Neg_563,-0.47837,0
Neg_1622,0.54347,0
Neg_1578,-0.38205,0
Neg_1939,-0.27404,0
Neg_163,-0.84868,0
Neg_287,1.89021,0
Neg_787,-0.59363,0
Neg_1846,-0.61719,0
Neg_1280,-1.47796,0
Neg_1918,0.60604,0
Neg_999,0.21143,0
Neg_314,-0.83183,0
Neg_2192,-0.35308,0
Neg_605,-1.26243,0
Neg_413,0.73385,0
Neg_1861,-0.20163,0
Neg_342,2.73476,0
Neg_398,-0.47258,0
Neg_96,-1.23646,0
