,Refractivity,y
peptide_nm_1,-0.01087,0
peptide_nm_2,0.84044,0
peptide_nm_3,1.1457,0
peptide_nm_4,-0.72502,0
peptide_nm_5,-0.29747,0
peptide_nm_6,-0.90441,0
peptide_nm_7,-0.5613,0
peptide_nm_8,-1.03878,0
peptide_nm_9,-0.60532,0
peptide_nm_10,2.8191,0
peptide_nm_11,0.3494,0
peptide_nm_12,-0.13586,0
peptide_nm_13,-0.66065,0
peptide_nm_14,-1.10021,0
peptide_nm_15,-0.54515,0
peptide_nm_16,-0.94497,0
peptide_nm_17,-1.28925,0
peptide_nm_18,0.22668,0
peptide_nm_19,-0.58651,0
peptide_nm_20,0.36652,0
peptide_nm_21,-0.18595,0
peptide_nm_22,0.83208,0
peptide_nm_23,-1.51823,0
peptide_nm_24,-1.09622,0
peptide_nm_25,3.38916,0
peptide_nm_26,-0.33696,0
peptide_nm_27,-1.04956,0
peptide_nm_28,-1.25951,0
peptide_nm_29,-1.25322,0
peptide_nm_30,-0.28294,0
peptide_nm_31,-0.35222,0
peptide_nm_32,0.43005,0
peptide_nm_33,0.74246,0
peptide_nm_34,-0.97678,0
peptide_nm_35,-1.04356,0
peptide_nm_36,0.69381,0
peptide_nm_37,-0.44371,0
peptide_nm_38,0.48776,0
peptide_nm_39,-0.69487,0
peptide_nm_40,-1.26229,0
peptide_nm_41,-1.22823,0
peptide_nm_43,0.13062,0
peptide_nm_44,-0.0193,0
peptide_nm_45,-0.57684,0
peptide_nm_46,-0.78661,0
peptide_nm_47,-0.49063,0
peptide_nm_48,1.08663,0
peptide_nm_49,0.21672,0
peptide_nm_50,-0.58798,0
peptide_nm_51,-0.37495,0
peptide_nm_52,-0.7405,0
peptide_nm_53,-0.25216,0
peptide_nm_54,-0.73998,0
peptide_nm_55,-0.40549,0
peptide_nm_56,0.27189,0
peptide_nm_57,-0.36799,0
peptide_nm_58,-0.70191,0
peptide_nm_59,1.33292,0
peptide_nm_60,0.3408,0
peptide_nm_61,-1.09919,0
peptide_nm_62,-0.51084,0
peptide_nm_63,-0.59795,0
peptide_nm_64,0.62814,0
peptide_nm_65,-0.17819,0
peptide_nm_66,-0.20179,0
peptide_nm_67,-0.24743,0
peptide_nm_68,0.16378,0
peptide_nm_69,-1.2009,0
peptide_nm_70,-0.63109,0
peptide_nm_71,-1.20496,0
peptide_nm_72,0.15102,0
peptide_nm_73,0.61392,0
peptide_nm_74,-0.34344,0
peptide_nm_75,0.6445,0
peptide_nm_76,-0.06455,0
peptide_nm_77,-1.31449,0
peptide_nm_78,0.48173,0
peptide_nm_79,0.33407,0
peptide_nm_80,1.42646,0
peptide_nm_81,-1.20986,0
