,Charge_density,Charge_phys,Charge_acid,y
Neg_446,-0.3271,-0.42687,-0.58687,0
Neg_2228,0.27508,-0.75417,-1.06732,0
Neg_2386,0.89817,0.29759,0.21245,0
Neg_2835,0.2064,-0.52187,-0.24116,0
Neg_2149,-0.35535,-1.11032,-1.14792,0
Neg_2248,0.1545,0.45703,0.46152,0
Neg_2739,-0.4138,-0.89734,-1.20711,0
Neg_2580,0.7396,-1.50977,-1.53388,0
Neg_2765,-1.13463,-0.45282,-0.5787,0
Neg_939,0.39218,0.64658,0.76225,0
Neg_1859,-0.28371,-0.08311,0.46003,0
Neg_1088,0.37867,-0.52629,0.04372,0
Neg_448,-0.58479,-0.95464,-1.00736,0
Neg_2831,0.12792,0.09695,0.24983,0
Neg_358,-0.47833,-1.25477,-1.40656,0
Neg_2287,0.55925,-0.76829,-0.81744,0
Neg_2597,-1.54043,0.18164,-0.22927,0
Neg_2648,-0.78798,-1.24349,-1.28947,0
Neg_152,-0.27529,-0.16046,0.016,0
Neg_2086,1.34285,-0.1759,0.0971,0
Neg_966,-0.77519,-0.25273,0.08309,0
Neg_2081,0.00262,-0.72681,-0.77736,0
Neg_2579,0.0885,-1.34461,-1.24356,0
Neg_542,-0.10524,-0.34858,-0.4119,0
Neg_270,-0.26955,-0.24487,0.33348,0
Neg_447,-0.31499,2.57031,2.40842,0
Neg_2242,-0.74586,0.27767,0.46711,0
Neg_1615,1.00091,0.31376,0.16998,0
Neg_103,0.9984,0.13872,0.72219,0
Neg_1048,-0.07964,0.05967,-0.09655,0
Neg_628,0.77995,0.19774,0.07911,0
Neg_2169,0.1209,-0.88691,-0.93206,0
Neg_599,0.71293,-0.31331,-0.05992,0
Neg_2490,0.94214,-0.70917,-0.76031,0
Neg_62,-0.41346,-1.30389,-1.16724,0
Neg_1129,1.03628,-1.11089,-0.91597,0
Neg_190,1.01363,-0.41178,-0.47296,0
Neg_1522,0.00511,0.47552,0.55944,0
Neg_165,0.71647,0.40054,0.50858,0
Neg_1152,-0.0962,0.27898,-0.14839,0
Neg_217,-1.0884,-0.17465,-0.24384,0
Neg_1140,0.08757,-1.07899,-0.78671,0
Neg_2378,-0.04622,-0.83419,-1.08583,0
Neg_1569,-0.53336,-0.36139,-0.32321,0
Neg_662,0.18517,-0.37566,-0.65345,0
Neg_688,0.14407,-1.33937,-1.05604,0
Neg_541,0.24978,0.69443,0.59589,0
Neg_624,-0.32874,0.4861,-0.26843,0
Neg_2108,0.00515,-0.85771,-0.51962,0
Neg_2808,-0.0745,-1.0895,-1.1278,0
Neg_2794,-0.96357,-0.81839,-0.87234,0
Neg_2286,0.11708,-1.27468,-1.30673,0
Neg_373,-0.54635,-0.68677,-0.73867,0
Neg_2612,-0.19392,-0.3328,-0.39666,0
Neg_937,-1.08708,-0.43771,-0.62641,0
Neg_1345,0.12018,-0.07966,-0.42709,0
Neg_2671,-0.21978,-0.55198,-0.60844,0
Neg_2855,-0.27489,0.42221,-0.18164,0
Neg_279,-1.43631,-0.16711,-0.25523,0
Neg_706,-0.196,0.03031,-0.31227,0
Neg_2921,-0.13048,-0.26612,-0.45862,0
Neg_994,0.37734,0.35681,0.26967,0
Neg_2453,0.48217,-0.60251,-0.65725,0
Neg_2074,0.63013,0.35049,-0.26421,0
Neg_1803,-0.2405,0.54052,1.66244,0
Neg_653,-0.0647,-0.38853,-0.45051,0
Neg_1943,0.04527,0.11077,0.01423,0
Neg_1283,0.06317,-0.97157,-0.97732,0
Neg_1383,1.10694,-0.47799,-0.53694,0
Neg_325,-0.16606,-1.47953,-1.50466,0
Neg_2702,-0.32184,-0.87873,-0.92415,0
Neg_2180,0.05611,-1.13807,-1.41812,0
