,CTDT_hydrophobicity_PRAM900101.Tr1221,CTDT_hydrophobicity_PRAM900101.Tr1331,CTDT_hydrophobicity_PRAM900101.Tr2332,CTDT_hydrophobicity_ARGP820101.Tr1221,CTDT_hydrophobicity_ARGP820101.Tr1331,CTDT_hydrophobicity_ARGP820101.Tr2332,CTDT_hydrophobicity_ZIMJ680101.Tr1221,CTDT_hydrophobicity_ZIMJ680101.Tr1331,CTDT_hydrophobicity_ZIMJ680101.Tr2332,CTDT_hydrophobicity_PONP930101.Tr1221,CTDT_hydrophobicity_PONP930101.Tr1331,CTDT_hydrophobicity_PONP930101.Tr2332,CTDT_hydrophobicity_CASG920101.Tr1221,CTDT_hydrophobicity_CASG920101.Tr1331,CTDT_hydrophobicity_CASG920101.Tr2332,CTDT_hydrophobicity_ENGD860101.Tr1221,CTDT_hydrophobicity_ENGD860101.Tr1331,CTDT_hydrophobicity_ENGD860101.Tr2332,CTDT_hydrophobicity_FASG890101.Tr1221,CTDT_hydrophobicity_FASG890101.Tr1331,CTDT_hydrophobicity_FASG890101.Tr2332,CTDT_normwaalsvolume.Tr1221,CTDT_normwaalsvolume.Tr1331,CTDT_normwaalsvolume.Tr2332,CTDT_polarity.Tr1221,CTDT_polarity.Tr1331,CTDT_polarity.Tr2332,CTDT_polarizability.Tr1221,CTDT_polarizability.Tr1331,CTDT_polarizability.Tr2332,CTDT_charge.Tr1221,CTDT_charge.Tr1331,CTDT_charge.Tr2332,CTDT_secondarystruct.Tr1221,CTDT_secondarystruct.Tr1331,CTDT_secondarystruct.Tr2332,CTDT_solventaccess.Tr1221,CTDT_solventaccess.Tr1331,CTDT_solventaccess.Tr2332,y
Neg_446,0.38922,0.22987,-0.33541,0.94859,-0.024,-1.63223,0.80295,-0.65254,-0.86836,-1.02371,0.80692,-1.32093,-0.65237,0.2497,-0.59546,-0.01592,-0.35972,0.36815,0.86188,-0.54024,0.04977,0.64394,-1.00593,0.40741,-0.20992,-0.13849,0.20842,0.93674,-0.96156,0.25368,-0.72961,2.0911,0.00953,-1.07397,0.00438,0.04328,0.18128,-0.60923,0.4747,0
Neg_2228,0.40972,-0.16204,0.03819,-0.92559,0.881,-0.34463,-0.51356,0.66129,-0.47913,0.83347,-0.21723,0.22608,0.27555,0.06745,-0.91082,0.32742,-0.41862,0.14464,1.09507,0.08896,0.28912,0.88706,-0.11805,-0.48449,0.30756,-0.34986,0.42177,0.70458,-0.27589,-0.29287,-0.07157,-0.74013,-0.43774,-0.54927,0.99989,0.01655,-0.53496,0.68328,0.93059,0
Neg_2386,1.16637,-1.38248,-1.24748,1.0379,-0.9931,-1.12557,-0.27912,-1.29311,-0.58349,1.42551,-1.80225,-0.83685,-1.82972,-1.21921,-0.71569,1.04134,-1.81381,-0.64521,2.10533,-1.77665,-1.42731,-0.0419,-0.21077,-0.34975,-1.12232,-1.62921,1.34609,0.43161,0.22961,-0.77185,1.21311,0.00493,-0.32252,-0.45722,0.4637,-0.6166,-0.89128,-0.69523,0.90752,0
Neg_2835,0.06603,2.54679,-1.69457,-0.84812,0.5549,-0.04232,-0.09433,0.69608,-0.20265,-0.44847,1.03808,-0.42614,1.1249,-0.26334,-1.16652,0.19373,1.92326,-1.3517,-0.23646,2.31815,-1.36525,-1.08074,-0.65415,1.23194,-1.38073,2.20198,0.02385,-1.14628,-0.24623,0.66867,1.05968,0.9253,1.58678,0.57621,-1.75568,-1.11567,2.38541,-1.66648,-0.03206,0
Neg_2149,-0.93151,1.23981,0.10893,0.68753,-0.34147,0.38993,0.44584,-0.28241,0.68348,-0.47899,0.83017,0.12129,-0.16072,0.75958,0.41487,-0.63899,1.1583,0.20358,-0.57441,0.32616,0.20397,0.84442,-0.20695,-0.78433,0.23458,0.79526,-0.78386,0.19847,-0.0781,-0.85754,-0.01977,-0.30456,0.0338,1.13859,-0.61897,0.23617,0.58582,0.17003,-0.42897,0
Neg_2248,1.66228,-0.89091,-0.852,-0.70692,-0.85251,0.70669,0.09122,-0.35569,0.43976,-0.06142,-1.19109,0.91375,-0.21305,-0.72883,-0.74867,0.79803,-0.64851,-0.98849,-0.13259,0.2682,-1.22144,-0.70682,-0.10774,0.62333,-0.9616,0.55233,0.57407,-0.03996,0.09301,0.3602,0.99593,0.64096,0.74045,1.49835,-0.43653,-1.22359,-1.0052,-0.33027,2.13658,0
Neg_2739,0.24713,0.6826,-0.37967,-0.57276,0.59997,0.29565,0.09401,0.587,-0.17271,-0.29115,-0.12078,0.39904,-0.07134,0.30984,0.2119,0.62091,0.27541,-0.17283,0.29687,0.64711,-0.45714,-0.14241,0.65465,-0.27946,-0.2542,0.51263,0.65324,0.26343,0.4595,-0.01277,0.36642,-0.74013,0.71658,0.18725,-0.01711,0.22857,0.72531,-0.4402,0.15063,0
Neg_2580,2.05712,-1.17682,0.14596,-0.99072,1.15514,-1.20909,-0.42871,1.00529,-1.36041,0.85504,0.39668,-1.67468,-0.48636,0.37429,-1.16652,1.53464,-1.62834,0.90298,2.27724,1.34462,-1.59687,0.87664,0.41045,-1.01538,0.27162,-1.43907,2.25045,0.84218,0.53438,-1.01813,0.44219,-0.74013,-0.89175,-1.37835,0.85036,0.93883,-0.33523,1.60824,1.48165,0
Neg_2765,0.51093,-0.01941,0.17642,-0.12539,0.16487,-0.31525,0.16493,-0.48415,0.50812,-0.37063,0.122,-0.46565,-0.5494,0.09513,1.00206,-0.19227,0.28976,-0.01097,0.94388,-0.47099,-0.05173,0.85013,-0.75492,-0.40504,-0.30745,0.01516,0.54824,0.0612,-0.61094,-0.56706,-0.97621,-0.74013,0.82811,0.15315,-0.47694,0.8368,0.04814,0.23876,0.50445,0
Neg_939,-0.88623,0.49782,-0.29612,-0.57515,-0.69132,0.71775,-0.22569,-1.07422,1.95338,-0.79661,0.25788,-0.80835,-1.37569,0.2141,1.6305,-1.09371,1.69425,-1.11628,0.29418,-0.42859,-0.93208,-0.61926,-0.98666,0.67841,-1.15335,0.72856,-0.95133,-1.28533,-0.8099,0.37023,0.33756,1.57108,-0.40892,0.90445,-0.58081,-0.65123,-0.43585,0.35779,0.04315,0
Neg_1859,-1.59482,0.47301,-0.12147,-0.18267,-0.8353,0.46588,0.36081,-1.37587,1.9199,-0.91131,1.17637,-1.28162,-0.07134,0.44351,0.1025,-1.20391,0.225,0.20968,-0.95873,0.06762,0.2725,-0.44197,-0.55129,1.47303,0.0041,0.0863,-0.68254,-0.49736,-0.8865,1.6348,0.52356,-0.74013,-0.16572,1.01718,-0.75749,0.24229,0.10824,-0.42768,-1.43974,0
Neg_1088,0.63896,-0.36691,0.5398,0.33154,0.17802,-0.38683,-0.94549,-0.31803,-0.55524,0.53973,-0.20985,0.25488,1.14355,-0.54318,0.39091,0.89717,-0.53912,0.17366,-0.14273,0.36667,0.41424,0.76241,0.28168,0.40741,0.14029,-0.13849,0.62045,0.72614,0.75812,-0.08227,0.48213,0.28941,-0.87946,0.57241,0.06105,-0.57546,0.95817,0.43054,-0.80687,0
Neg_448,-0.17269,0.19672,0.21889,0.94859,-0.80323,-0.31951,1.46615,-1.08997,0.42885,-0.19601,0.50464,-0.38831,1.38124,-0.70176,-0.3878,0.21972,0.35789,0.17366,-0.24665,-0.59875,1.53803,0.79202,0.33891,-0.12913,0.19866,-0.01588,0.46198,0.1545,0.51245,-0.26552,-0.51212,-0.74013,0.43969,-0.04095,0.20272,-0.11955,-0.05777,-0.46069,0.08311,0
Neg_2831,0.91991,-0.34204,-0.83866,0.44723,0.13473,0.26953,-0.26722,0.26092,0.31703,0.03391,0.26418,-1.07169,0.98508,-0.89997,-0.58248,0.8088,-0.42699,-0.6772,0.7926,-0.05022,0.32312,0.3848,0.19584,-0.5483,-0.27559,-0.43736,0.62045,0.22972,0.32052,-0.6091,0.2258,-0.4184,-0.06216,-1.29188,1.22984,-0.40449,0.24104,-0.34929,0.39461,0
Neg_358,-0.25941,0.47301,0.76995,-0.18267,1.10475,0.05448,-0.00763,0.66833,0.27975,-0.16195,1.00844,-0.10245,0.73565,0.05588,-0.21476,-0.12392,0.40772,1.00202,-0.53533,-0.46872,1.38617,1.54887,-0.90101,-0.16639,0.71749,0.27363,0.09221,1.15737,-0.51117,-0.60486,-0.42581,-0.21583,0.18478,0.03079,-0.23803,-0.15573,0.83865,0.48005,-0.78709,0
Neg_2287,0.16893,-0.71972,0.82714,-0.52419,0.0898,0.51245,-0.72367,0.08978,0.86773,0.25515,-0.63605,0.32769,-0.50985,-0.30981,-0.52004,0.28363,-0.65759,1.05434,0.13572,-0.97133,0.12541,-0.21659,0.36591,0.49092,0.58962,-1.01645,0.33341,-0.08108,0.6573,0.18395,0.17964,-0.74013,-0.49637,-0.33027,-0.19556,-0.73399,-0.21563,0.16149,-0.32326,0
Neg_2597,0.29111,1.16767,-0.33541,0.17287,0.47487,-0.41568,0.13974,0.76268,-0.93865,-0.30112,0.8501,0.14462,0.75871,-0.29852,-0.18756,-0.33991,0.48603,0.36815,-0.82566,1.34462,-0.80935,1.57472,-0.60125,0.40741,0.06525,1.01758,-0.43905,1.55135,-0.18946,-0.08227,-0.58314,-0.74013,0.59537,-0.00867,0.71679,-1.44077,0.65083,-1.12275,0.81035,0
Neg_2648,0.27008,0.27453,-0.29612,-0.26348,0.2805,-0.30234,-0.63173,0.22547,-0.15539,-0.07401,-0.38987,0.16627,-0.30849,-0.21309,-0.11764,-0.00269,0.38535,-0.35224,0.29418,0.26099,-0.8298,-0.12063,-0.8903,0.11381,-0.56371,0.31568,0.43611,0.13301,-0.70649,-0.14398,-0.08094,-0.16233,0.46018,0.36093,-0.67622,-0.54157,0.46972,-0.54254,0.04315,0
Neg_152,-0.79704,0.03095,1.38584,-1.05683,1.21699,-0.15121,-0.94549,1.09719,-0.01846,-0.9624,1.05424,0.09408,-0.20339,0.72542,0.39091,-0.51664,0.35789,1.30815,-0.24665,0.13263,0.32312,0.49586,0.05278,0.2062,0.92827,0.29066,-0.33038,0.1545,0.51245,-0.26552,-0.51212,-0.74013,-0.13385,0.7661,0.48607,-1.09651,-0.05777,0.57908,-0.80687,0
Neg_2086,-0.06863,1.08084,-0.65632,-1.03112,-0.65893,1.70006,-0.19186,-0.51102,2.32994,-0.6303,0.25273,-0.7903,-0.55553,-0.33175,0.73701,-0.93391,1.77815,-1.47404,0.41731,0.15701,-1.11958,-0.98492,0.14815,0.96071,-1.33352,0.92927,0.38274,-1.32473,-0.79267,1.82144,1.66281,0.04632,0.00953,-0.06785,-0.15146,-0.85227,0.29084,-0.60923,0.73577,0
Neg_966,-1.65552,-1.21235,1.02117,0.56293,-0.29818,-0.74026,0.18496,-0.51102,-0.35395,-0.19601,0.57334,-0.9511,0.787,-0.30532,0.00155,-0.29573,-0.31487,0.41677,0.01316,-1.4764,2.14549,0.49586,-1.09177,-1.30281,1.14715,-1.47191,-1.04351,0.68101,-0.94621,-1.4108,-1.28888,-0.74013,-0.7074,0.28187,-0.36396,0.69459,-1.55179,2.43581,-1.34086,0
Neg_2081,0.18573,-0.06729,-0.71575,0.32011,0.10533,-0.35691,-0.37608,0.30142,-0.63145,0.46252,-1.06275,0.42163,-0.17893,0.18509,-0.109,0.35608,-0.5059,-0.18649,0.31146,0.42518,-0.46994,0.04066,0.49788,-1.12272,-0.4715,-0.28835,0.22134,0.48322,0.11437,-0.60486,0.01723,1.35708,-0.39938,-0.16649,1.20492,-0.55375,0.10824,-0.54871,0.0106,0
Neg_2579,-0.5663,1.13369,0.2506,-0.23186,0.03121,-0.07072,0.96154,-0.78791,0.24409,-1.15566,0.8332,0.17098,0.43391,0.09801,1.06806,-0.80478,0.24089,0.78671,-0.06591,0.98484,-0.42959,0.57312,-0.71855,-0.12184,0.3763,0.69715,-0.86781,0.31801,-0.53565,-0.34519,0.02824,-0.74013,-0.53907,0.1766,-0.45636,0.35477,0.7672,-0.96443,-0.34253,0
