,CTDT_hydrophobicity_PRAM900101.Tr1221,CTDT_hydrophobicity_PRAM900101.Tr1331,CTDT_hydrophobicity_PRAM900101.Tr2332,CTDT_hydrophobicity_ARGP820101.Tr1221,CTDT_hydrophobicity_ARGP820101.Tr1331,CTDT_hydrophobicity_ARGP820101.Tr2332,CTDT_hydrophobicity_ZIMJ680101.Tr1221,CTDT_hydrophobicity_ZIMJ680101.Tr1331,CTDT_hydrophobicity_ZIMJ680101.Tr2332,CTDT_hydrophobicity_PONP930101.Tr1221,CTDT_hydrophobicity_PONP930101.Tr1331,CTDT_hydrophobicity_PONP930101.Tr2332,CTDT_hydrophobicity_CASG920101.Tr1221,CTDT_hydrophobicity_CASG920101.Tr1331,CTDT_hydrophobicity_CASG920101.Tr2332,CTDT_hydrophobicity_ENGD860101.Tr1221,CTDT_hydrophobicity_ENGD860101.Tr1331,CTDT_hydrophobicity_ENGD860101.Tr2332,CTDT_hydrophobicity_FASG890101.Tr1221,CTDT_hydrophobicity_FASG890101.Tr1331,CTDT_hydrophobicity_FASG890101.Tr2332,CTDT_normwaalsvolume.Tr1221,CTDT_normwaalsvolume.Tr1331,CTDT_normwaalsvolume.Tr2332,CTDT_polarity.Tr1221,CTDT_polarity.Tr1331,CTDT_polarity.Tr2332,CTDT_polarizability.Tr1221,CTDT_polarizability.Tr1331,CTDT_polarizability.Tr2332,CTDT_charge.Tr1221,CTDT_charge.Tr1331,CTDT_charge.Tr2332,CTDT_secondarystruct.Tr1221,CTDT_secondarystruct.Tr1331,CTDT_secondarystruct.Tr2332,CTDT_solventaccess.Tr1221,CTDT_solventaccess.Tr1331,CTDT_solventaccess.Tr2332,y
peptide_nm_1,2.40779,-1.5318,0.42614,0.8108,1.617,-1.67186,-0.34015,0.93012,-1.18158,0.02883,0.00988,-1.44151,-2.14674,1.00472,-1.04676,2.12597,-1.35419,0.3638,4.61267,-0.58678,-0.7963,0.95462,0.33611,-0.8899,0.58329,-1.65475,2.60167,1.55983,0.7774,-1.19233,0.37485,-0.48838,0.34769,-0.26056,-0.96499,1.52937,-2.03542,0.90589,3.6619,0
peptide_nm_2,0.61892,0.18404,0.01292,-0.86713,-0.75469,2.16852,-0.9342,-1.31505,3.20882,0.14288,0.17476,-0.0583,-0.4869,0.5657,-0.24132,-1.5873,1.74238,-1.55232,0.66536,0.11046,-0.11564,-1.19252,1.136,0.96976,-1.0259,1.06531,0.7545,-1.0029,-1.31574,3.06126,1.53335,-0.48838,-0.18949,-0.71933,0.38494,0.24939,-0.33849,0.45405,1.51854,0
peptide_nm_3,-1.16995,-0.4759,1.80357,-0.33978,-0.19961,0.35384,0.3079,0.35689,-0.02367,-0.65543,-0.73209,2.38893,0.1515,-0.75137,1.1837,-1.27786,0.33485,1.32185,-1.10412,-0.84824,0.37056,0.95462,-0.86373,-0.05305,1.41087,-0.14825,-1.09268,0.77798,-0.96688,-0.08269,-0.78365,-0.48838,-0.23832,0.56522,-0.36502,-0.56515,-0.99115,0.00221,-0.62482,0
peptide_nm_4,0.71084,-0.03976,-1.1549,0.13546,-0.04165,-1.38562,-0.17109,-0.64004,-1.18158,-0.56618,-0.01163,-1.44151,0.1626,-1.00588,-1.04676,-0.1881,-0.32608,-1.19131,1.6655,-0.38215,-0.39044,1.31215,-1.46365,-0.5018,-0.99991,-0.23559,0.84941,0.2001,-1.31574,-0.80637,-0.69298,0.60367,3.48157,-0.66747,1.14794,-0.8687,-0.85494,-0.48238,2.06921,0
peptide_nm_5,0.42673,0.652,-0.14987,0.88925,2.5253,-1.07336,0.66139,1.78997,-0.49736,-0.53102,2.12336,-1.06427,1.77652,-0.29905,-0.60743,-0.4902,0.74431,-0.04265,-0.13895,0.93447,0.68879,0.15723,0.30884,-0.12913,0.00649,1.31259,-0.6347,0.28044,0.74569,-0.43576,0.16422,-0.48838,0.56078,0.36503,1.98031,-0.43821,-0.18422,0.27605,1.74882,0
peptide_nm_6,0.07081,0.24759,-0.71661,-0.1054,1.21331,-0.20886,-0.38815,0.82397,-0.34531,-0.68077,-0.30156,-0.21199,-0.67133,-0.49121,0.74312,-0.99134,-0.01964,-0.93727,0.86197,-0.89666,-0.25609,-0.46665,-0.88595,1.23837,-0.82666,0.27952,-0.13488,-0.31274,-0.9798,1.19133,-1.25563,2.3024,1.15074,0.2084,0.74603,-0.92716,-0.27564,-0.92379,0.86182,0
peptide_nm_7,0.1961,1.67111,-1.77773,1.50115,1.21331,-0.79406,0.04868,1.04477,-0.67982,1.62545,0.17476,-0.33494,1.83688,-1.33674,-1.04676,0.02178,1.49841,-1.55232,1.01926,1.01687,-0.36846,-0.83619,-0.94372,0.96976,-1.62359,1.39172,0.31789,-0.66409,-0.71105,0.65706,0.52932,1.18609,0.69929,-0.95789,1.03491,-1.26332,2.48973,-1.50393,-1.01453,0
peptide_nm_8,0.75986,0.29843,0.6098,0.0054,0.68851,0.08374,0.61033,0.54796,0.3237,-1.33969,1.46083,0.21835,1.39425,0.18521,-0.40241,-0.51458,0.03457,1.2154,1.01926,1.01687,0.64282,1.53938,-1.46365,-0.48077,0.76719,0.95651,-0.26425,1.59458,-1.31574,-0.78546,0.12771,-0.48838,1.20717,1.90481,-1.56495,0.55193,-0.22536,0.58458,1.68741,0
peptide_nm_9,0.75986,-0.61669,0.13229,0.50398,0.68851,0.08374,-0.51296,0.05116,0.82546,-0.15364,0.60345,-1.44151,0.06638,-0.82942,-0.40241,0.02178,-0.45337,0.10832,0.31146,0.56367,-1.37973,0.11404,0.61607,-0.48077,-0.18912,-0.34912,0.31789,0.23938,1.103,-0.78546,0.12771,-0.48838,0.19142,-0.00365,1.55488,-0.05315,-0.22536,0.58458,0.33644,0
peptide_nm_10,1.57989,-1.5318,0.1757,2.58897,-0.69505,-1.67186,2.95903,-1.25859,-1.18158,1.89501,-0.21496,-1.44151,-0.93959,0.73864,-1.04676,1.3383,-1.91721,0.71218,-1.10412,0.31646,-0.69023,-1.78641,2.08133,-1.4478,0.33251,-1.65475,1.74678,-0.33556,2.80711,-1.74714,0.16422,1.79499,-0.13177,-1.91212,1.27126,0.3869,-0.80129,0.63205,0.8277,0
peptide_nm_11,2.02834,-0.38791,-0.58397,-0.2439,1.21331,-0.57461,-0.23214,0.54796,0.07282,0.14288,1.24649,-1.44151,1.17294,-1.33674,-1.04676,1.76496,0.52252,-1.55232,1.5501,0.67697,-0.74769,-1.19252,1.136,0.96976,-0.4282,0.5213,0.7545,-1.0029,1.70768,0.65706,0.52932,-0.48838,-0.82433,1.06986,0.38494,0.24939,0.22715,-0.19861,1.51854,0
peptide_nm_12,0.87261,-0.43366,-0.91822,1.50115,0.47859,-0.88184,-0.62529,-0.14756,-0.27841,1.15103,-0.16819,-1.44151,0.509,0.18521,-0.66015,1.30905,-0.74614,-0.55594,0.59458,0.29174,0.44057,-0.36107,1.34398,-0.86758,-0.76291,-0.61024,1.71503,-0.21236,1.94956,-1.17013,-0.51488,0.5163,0.69929,-0.76704,1.55488,0.18888,0.13665,1.31556,0.20135,0
peptide_nm_13,1.82699,-0.55132,-1.52192,0.64643,-0.00498,-1.67186,0.7708,-0.60533,-1.18158,2.79032,-1.05007,-1.14511,-0.24978,-1.06496,-1.04676,0.99873,-0.87161,-1.25577,1.5501,-0.21326,-1.10886,-0.76831,0.20756,-0.67073,-1.36744,-0.72216,1.37822,-0.11556,0.62789,-0.97436,0.0273,0.40866,1.0802,-0.12293,0.10638,-0.61502,-0.82332,0.73376,2.60414,0
peptide_nm_14,2.73304,-0.38791,-0.18604,1.41805,0.77597,-0.94036,1.64002,0.54796,-0.76344,2.11964,-0.18248,-0.51937,2.2795,-1.33674,-1.04676,2.43541,-0.69735,0.29283,-0.51429,0.48813,0.7271,0.98508,1.136,-1.4478,-0.02973,-0.56672,2.93752,1.06756,1.70768,-1.74714,-0.14004,-0.48838,0.86859,-0.71933,1.46821,-0.75908,1.35844,0.6716,0.67418,0
peptide_nm_15,-0.72643,-1.21983,-0.14987,0.88925,0.3784,-0.77411,0.66139,0.09633,-0.49736,1.08633,-1.09183,-0.30979,0.26757,-0.99084,-0.60743,0.6069,-1.25183,-0.04265,-0.13895,-1.84656,1.3783,-0.49065,0.66334,-1.4478,0.00649,-1.35801,-0.23779,0.58844,0.74569,-1.4193,-0.93109,0.6533,-0.47805,-0.28559,0.20768,-0.02565,-1.72688,0.98805,-0.09341,0
peptide_nm_16,1.79343,-0.00661,-0.98189,-1.07487,2.08797,-0.57461,-1.16822,1.37597,0.07282,0.63707,0.17476,-1.44151,0.06638,-0.49121,-1.04676,0.64754,0.1159,-1.09103,1.25519,0.48813,-0.95837,0.19323,-1.03037,-0.23902,-1.22513,0.15863,1.48217,1.06756,-1.31574,-0.14434,-1.47875,-0.48838,3.83119,0.87106,0.6016,-0.75908,0.22715,-0.63372,1.79999,0
peptide_nm_17,0.24243,-0.96769,-0.60032,0.04638,0.20684,0.04166,0.09485,0.00352,0.15874,0.36628,-0.64739,-1.10044,-0.50964,-0.71128,-0.51715,0.50671,-1.11511,-0.4149,1.51374,-0.85182,-0.34075,-0.51728,0.03204,-0.25558,-0.54283,-1.02876,0.48536,0.10324,0.05101,-0.2651,-0.2409,-0.14431,-0.51126,-0.83371,0.46507,0.10433,-1.19858,0.6418,0.65105,0
peptide_nm_18,1.32363,0.18404,0.01292,-0.86713,0.55731,-1.12323,-0.9342,-0.07304,-0.55438,-0.59841,-0.3611,-0.7499,-0.4869,-0.70259,-0.24132,1.0945,1.13245,-0.86039,-1.10412,-0.45604,-0.74769,0.58915,-0.81373,-0.84341,-1.0259,-0.02271,1.48217,1.25578,-1.31574,-0.54504,-1.47875,-0.48838,2.98473,-1.31573,0.38494,-0.50697,0.22715,-0.19861,1.51854,0
peptide_nm_19,-1.0254,0.37469,-0.98189,0.17159,-0.53602,0.15689,0.2359,0.13396,-0.34531,1.13126,-0.18248,-0.51937,0.80409,-0.49121,-1.04676,0.20057,0.52252,-1.09103,-0.51429,-0.26721,0.7271,-0.59863,-1.46365,0.96976,-0.82666,0.15863,-0.94341,0.31467,-1.31574,0.65706,0.19464,0.90701,-0.4011,-0.32173,0.16829,-0.25485,-0.52704,1.10671,0.11128,0
peptide_nm_20,1.32363,-0.00661,-0.58397,1.83354,0.33864,-1.30611,1.17198,-0.28004,-0.76344,1.13126,-0.89697,-0.0583,1.54179,-1.33674,-1.04676,1.0945,0.1159,-0.62974,0.66536,0.48813,-0.11564,0.58915,0.26945,-0.23902,-0.82666,-0.20405,1.48217,0.69111,0.69988,-0.54504,0.19464,0.90701,1.29182,-0.71933,1.46821,-0.75908,1.35844,-0.63372,-0.45162,0
peptide_nm_21,-0.00288,-1.12808,1.5929,0.70928,0.44154,-0.51006,-0.14955,0.69408,-0.73885,0.23009,-0.83392,1.48765,1.36822,-1.33674,-1.04676,-0.16752,-1.48667,2.35505,1.39397,-2.15556,2.63564,2.40576,-1.00489,-1.02117,1.75164,-1.27074,0.11243,2.41833,-0.78219,-1.32287,-1.47875,-0.48838,-0.82433,-1.07015,0.72904,0.87226,-1.23686,0.33888,0.17751,0
